# Pion Beam-Spin Asymmetry (KIN-8) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  1029.500000  32.192811  992.750000  31.611874  0.018173  0.022307 
-158.40  1049.250000  32.502912  1130.000000  33.708335  -0.037054  0.021473 
-144.00  1192.250000  34.632903  1197.250000  34.705041  -0.002092  0.020519 
-129.60  1455.250000  38.258152  1537.000000  39.363649  -0.027321  0.018337 
-115.20  1702.500000  41.420101  1931.250000  44.041944  -0.062951  0.016607 
-100.80  2029.250000  45.209931  2146.500000  46.485178  -0.028079  0.015523 
-86.40  2095.750000  45.919081  2391.000000  49.101882  -0.065805  0.014950 
-72.00  2095.500000  45.960599  2309.750000  48.244783  -0.048635  0.015108 
-57.60  1748.250000  42.046830  1845.500000  43.140743  -0.027061  0.016757 
-43.20  1401.250000  37.628965  1389.500000  37.451635  0.004210  0.019023 
-28.80  1168.000000  34.358442  1177.000000  34.507271  -0.003838  0.020765 
-14.40  1039.750000  32.385353  1002.750000  31.808944  0.018115  0.022221 
0.00  942.250000  30.833202  952.750000  31.033212  -0.005541  0.023085 
14.40  1022.250000  32.143208  972.000000  31.336884  0.025197  0.022503 
28.80  1189.500000  34.678940  1059.250000  32.732839  0.057921  0.021171 
43.20  1396.000000  37.563288  1218.000000  35.131865  0.068095  0.019632 
57.60  1632.750000  40.627147  1439.750000  38.145234  0.062815  0.018102 
72.00  1925.500000  44.029849  1675.750000  41.107264  0.069351  0.016687 
86.40  1785.250000  42.410948  1644.500000  40.729303  0.041038  0.017130 
100.80  1654.250000  40.791393  1510.000000  38.987196  0.045587  0.017814 
115.20  1487.500000  38.705572  1319.750000  36.452857  0.059756  0.018906 
129.60  1279.000000  35.850371  1202.250000  34.830800  0.030932  0.020136 
144.00  1135.750000  33.798166  1040.500000  32.401729  0.043768  0.021495 
158.40  1023.000000  32.101386  976.000000  31.300998  0.023512  0.022422 
172.80  923.000000  30.442564  936.000000  30.716496  -0.006993  0.023262 
