# Kaon Beam-Spin Asymmetry (KIN-8)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  43.500000  6.642670  36.000000  6.103280  0.094340  0.113069 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  37.250000  6.179600  39.250000  6.339360  -0.026144  0.115687 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  34.000000  5.830950  51.750000  7.215430  -0.206997  0.105777 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  43.500000  6.642670  50.250000  7.154540  -0.072000  0.103851 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  55.250000  7.495830  46.000000  6.873860  0.091358  0.100074 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  57.500000  7.623980  70.750000  8.429860  -0.103314  0.088179 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  54.500000  7.424620  51.250000  7.224090  0.030733  0.097923 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  50.500000  7.237060  63.000000  8.015610  -0.110132  0.094657 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  49.000000  7.088720  47.250000  6.941720  0.018182  0.103059 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  56.000000  7.483310  57.000000  7.549830  -0.008850  0.094068 
38  11  1  -28.80  -36.00  -21.60  2.50  0.00  5.00  45.000000  6.800740  52.250000  7.378180  -0.074550  0.102841 
39  12  1  -14.40  -21.60  -7.20  2.50  0.00  5.00  50.250000  7.154540  42.000000  6.576470  0.089431  0.104972 
40  13  1  0.00  -7.20  7.20  2.50  0.00  5.00  36.000000  6.103280  43.250000  6.740730  -0.091483  0.114181 
41  14  1  14.40  7.20  21.60  2.50  0.00  5.00  56.750000  7.636260  53.000000  7.365460  0.034169  0.096607 
42  15  1  28.80  21.60  36.00  2.50  0.00  5.00  53.000000  7.365460  47.750000  7.022290  0.052109  0.100894 
43  16  1  43.20  36.00  50.40  2.50  0.00  5.00  45.250000  6.796140  47.750000  6.932710  -0.026882  0.104372 
44  17  1  57.60  50.40  64.80  2.50  0.00  5.00  40.000000  6.422620  47.000000  6.946220  -0.080460  0.108408 
45  18  1  72.00  64.80  79.20  2.50  0.00  5.00  48.000000  6.928200  40.500000  6.509610  0.084746  0.107238 
46  19  1  86.40  79.20  93.60  2.50  0.00  5.00  50.500000  7.150170  48.000000  6.928200  0.025381  0.101029 
47  20  1  100.80  93.60  108.00  2.50  0.00  5.00  47.750000  6.932710  53.250000  7.361220  -0.054455  0.099939 
48  21  1  115.20  108.00  122.40  2.50  0.00  5.00  45.250000  6.796140  45.000000  6.708200  0.002770  0.105805 
49  22  1  129.60  122.40  136.80  2.50  0.00  5.00  52.250000  7.292980  50.250000  7.154540  0.019512  0.099654 
50  23  1  144.00  136.80  151.20  2.50  0.00  5.00  47.750000  6.932710  35.500000  6.010410  0.147147  0.109103 
51  24  1  158.40  151.20  165.60  2.50  0.00  5.00  46.750000  6.950720  41.000000  6.500000  0.065527  0.108206 
52  25  1  172.80  165.60  180.00  2.50  0.00  5.00  39.750000  6.329490  41.250000  6.495190  -0.018519  0.111931 
55  1  2  -172.80  -180.00  -165.60  7.50  5.00  10.00  94.250000  9.756410  88.500000  9.440600  0.031464  0.074248 
56  2  2  -158.40  -165.60  -151.20  7.50  5.00  10.00  63.500000  8.085480  68.000000  8.321660  -0.034221  0.088199 
57  3  2  -144.00  -151.20  -136.80  7.50  5.00  10.00  87.250000  9.390820  89.250000  9.562300  -0.011331  0.075924 
58  4  2  -129.60  -136.80  -122.40  7.50  5.00  10.00  90.000000  9.552490  104.500000  10.253000  -0.074550  0.071869 
59  5  2  -115.20  -122.40  -108.00  7.50  5.00  10.00  104.250000  10.316900  130.000000  11.510900  -0.109925  0.065594 
60  6  2  -100.80  -108.00  -93.60  7.50  5.00  10.00  97.000000  9.912110  114.250000  10.732500  -0.081657  0.068939 
61  7  2  -86.40  -93.60  -79.20  7.50  5.00  10.00  130.250000  11.453700  117.000000  10.874300  0.053589  0.063791 
62  8  2  -72.00  -79.20  -64.80  7.50  5.00  10.00  134.500000  11.678000  111.000000  10.712100  0.095723  0.064313 
63  9  2  -57.60  -64.80  -50.40  7.50  5.00  10.00  94.750000  9.813890  116.000000  10.885800  -0.100830  0.069173 
64  10  2  -43.20  -50.40  -36.00  7.50  5.00  10.00  96.750000  10.040500  124.750000  11.294400  -0.126411  0.067759 
65  11  2  -28.80  -36.00  -21.60  7.50  5.00  10.00  88.500000  9.506580  111.000000  10.594800  -0.112782  0.070935 
66  12  2  -14.40  -21.60  -7.20  7.50  5.00  10.00  67.000000  8.336670  82.500000  9.185590  -0.103679  0.082588 
67  13  2  0.00  -7.20  7.20  7.50  5.00  10.00  87.750000  9.450530  95.000000  9.810710  -0.039672  0.074488 
68  14  2  14.40  7.20  21.60  7.50  5.00  10.00  95.000000  10.000000  90.500000  9.676000  0.024259  0.074975 
69  15  2  28.80  21.60  36.00  7.50  5.00  10.00  79.250000  8.954750  83.250000  9.310610  -0.024615  0.079443 
70  16  2  43.20  36.00  50.40  7.50  5.00  10.00  101.500000  10.228600  117.250000  11.042500  -0.072000  0.068608 
71  17  2  57.60  50.40  64.80  7.50  5.00  10.00  119.250000  11.019900  94.750000  9.877370  0.114486  0.068742 
72  18  2  72.00  64.80  79.20  7.50  5.00  10.00  131.250000  11.605500  117.000000  10.988600  0.057402  0.064285 
73  19  2  86.40  79.20  93.60  7.50  5.00  10.00  119.750000  11.127100  121.250000  11.110200  -0.006224  0.065247 
74  20  2  100.80  93.60  108.00  7.50  5.00  10.00  112.500000  10.694600  99.500000  10.006200  0.061321  0.068932 
75  21  2  115.20  108.00  122.40  7.50  5.00  10.00  109.750000  10.550500  94.750000  9.750000  0.073350  0.070031 
76  22  2  129.60  122.40  136.80  7.50  5.00  10.00  92.000000  9.656600  99.000000  10.074700  -0.036649  0.073000 
77  23  2  144.00  136.80  151.20  7.50  5.00  10.00  99.250000  10.009400  67.250000  8.257570  0.192192  0.076513 
78  24  2  158.40  151.20  165.60  7.50  5.00  10.00  91.250000  9.601430  76.500000  8.782080  0.087928  0.077260 
79  25  2  172.80  165.60  180.00  7.50  5.00  10.00  76.500000  8.782080  74.500000  8.667470  0.013245  0.081708 
82  1  3  -172.80  -180.00  -165.60  12.50  10.00  15.00  42.000000  6.480740  44.000000  6.633250  -0.023256  0.107804 
83  2  3  -158.40  -165.60  -151.20  12.50  10.00  15.00  49.750000  7.075490  52.000000  7.211100  -0.022113  0.099271 
84  3  3  -144.00  -151.20  -136.80  12.50  10.00  15.00  70.000000  8.440970  60.750000  7.814250  0.070746  0.087715 
85  4  3  -129.60  -136.80  -122.40  12.50  10.00  15.00  82.750000  9.182180  71.000000  8.500000  0.076423  0.081140 
86  5  3  -115.20  -122.40  -108.00  12.50  10.00  15.00  84.000000  9.233090  82.250000  9.120720  0.010526  0.078060 
87  6  3  -100.80  -108.00  -93.60  12.50  10.00  15.00  103.500000  10.265200  118.500000  11.028400  -0.067568  0.067694 
88  7  3  -86.40  -93.60  -79.20  12.50  10.00  15.00  164.000000  12.903500  139.000000  11.947800  0.082508  0.057868 
89  8  3  -72.00  -79.20  -64.80  12.50  10.00  15.00  132.250000  11.648500  143.250000  12.214200  -0.039927  0.061197 
90  9  3  -57.60  -64.80  -50.40  12.50  10.00  15.00  102.750000  10.274400  106.500000  10.470200  -0.017921  0.070092 
91  10  3  -43.20  -50.40  -36.00  12.50  10.00  15.00  85.500000  9.347460  91.250000  9.666310  -0.032532  0.076035 
92  11  3  -28.80  -36.00  -21.60  12.50  10.00  15.00  72.500000  8.767840  59.750000  7.909650  0.096408  0.088818 
93  12  3  -14.40  -21.60  -7.20  12.50  10.00  15.00  57.250000  7.709570  65.000000  8.215840  -0.063395  0.091975 
94  13  3  0.00  -7.20  7.20  12.50  10.00  15.00  46.250000  7.048940  47.250000  7.119520  -0.010695  0.107147 
95  14  3  14.40  7.20  21.60  12.50  10.00  15.00  41.000000  6.689540  54.000000  7.516650  -0.136842  0.105226 
96  15  3  28.80  21.60  36.00  12.50  10.00  15.00  72.500000  8.767840  63.500000  8.085480  0.066176  0.087420 
97  16  3  43.20  36.00  50.40  12.50  10.00  15.00  90.250000  9.679230  71.500000  8.710630  0.115920  0.080064 
98  17  3  57.60  50.40  64.80  12.50  10.00  15.00  113.500000  10.799300  109.250000  10.615400  0.019080  0.067972 
99  18  3  72.00  64.80  79.20  12.50  10.00  15.00  113.750000  10.796400  99.000000  10.259100  0.069330  0.069925 
100  19  3  86.40  79.20  93.60  12.50  10.00  15.00  120.750000  11.115900  115.500000  10.891500  0.022222  0.065859 
101  20  3  100.80  93.60  108.00  12.50  10.00  15.00  100.500000  10.179600  100.250000  10.121100  0.001245  0.071506 
102  21  3  115.20  108.00  122.40  12.50  10.00  15.00  82.500000  9.117290  77.500000  8.909260  0.031250  0.079654 
103  22  3  129.60  122.40  136.80  12.50  10.00  15.00  79.500000  8.951260  73.000000  8.616840  0.042623  0.081416 
