# Pion Beam-Spin Asymmetry (KIN-8)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  290.500000  17.099000  233.500000  15.341900  0.108779  0.043585 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  273.750000  16.630200  297.500000  17.302500  -0.041575  0.041978 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  266.250000  16.345900  244.500000  15.736100  0.042584  0.044392 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  268.250000  16.406900  283.000000  16.896700  -0.026757  0.042706 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  272.750000  16.600100  290.500000  17.099000  -0.031514  0.042292 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  278.750000  16.742500  268.000000  16.408800  0.019662  0.042868 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  262.000000  16.225000  313.500000  17.758800  -0.089487  0.041628 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  278.250000  16.746300  286.750000  17.016500  -0.015044  0.042251 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  262.250000  16.261500  268.500000  16.443100  -0.011776  0.043570 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  269.000000  16.439300  260.000000  16.163200  0.017013  0.043575 
