# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5       61.25       8.12019
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5       51.75       7.55397
     30         3         1          -144    -151.2    -136.8         2.5         0           5          51       7.48331
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5          71       8.57321
     32         5         1        -115.2    -122.4      -108         2.5         0           5       74.75       8.80696
     33         6         1        -100.8      -108     -93.6         2.5         0           5        79.5       9.15833
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5        72.5       8.76784
     35         8         1           -72     -79.2     -64.8         2.5         0           5       72.25        8.7714
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5        58.5       8.16241
     37        10         1         -43.2     -50.4       -36         2.5         0           5       61.75       8.26514
     38        11         1         -28.8       -36     -21.6         2.5         0           5          72        8.9861
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5       56.75       7.95692
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5       56.25       7.80625
     41        14         1          14.4       7.2      21.6         2.5         0           5        71.5       8.63858
     42        15         1          28.8      21.6        36         2.5         0           5       58.25       8.16624
     43        16         1          43.2        36      50.4         2.5         0           5       68.25       8.61322
     44        17         1          57.6      50.4      64.8         2.5         0           5        63.5       8.31414
     45        18         1            72      64.8      79.2         2.5         0           5          75       8.94427
     46        19         1          86.4      79.2      93.6         2.5         0           5        70.5       8.93728
     47        20         1         100.8      93.6       108         2.5         0           5       66.25        8.3479
     48        21         1         115.2       108     122.4         2.5         0           5          60       8.13941
     49        22         1         129.6     122.4     136.8         2.5         0           5          72       8.77496
     50        23         1           144     136.8     151.2         2.5         0           5       61.75       8.11249
     51        24         1         158.4     151.2     165.6         2.5         0           5          74        8.8176
     52        25         1         172.8     165.6       180         2.5         0           5          74        8.8176
     55         1         2        -172.8      -180    -165.6         7.5         5          10       132.5       11.7527
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10       132.5       11.6458
     57         3         2          -144    -151.2    -136.8         7.5         5          10      138.25       12.1115
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       134.5       11.8374
     59         5         2        -115.2    -122.4      -108         7.5         5          10         131       11.9269
     60         6         2        -100.8      -108     -93.6         7.5         5          10         145          12.5
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10         149       12.8062
     62         8         2           -72     -79.2     -64.8         7.5         5          10      145.25        12.696
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       152.5       12.6738
     64        10         2         -43.2     -50.4       -36         7.5         5          10      101.25       10.8253
     65        11         2         -28.8       -36     -21.6         7.5         5          10         119       11.4127
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10          93       10.2713
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10       88.75       9.95301
     68        14         2          14.4       7.2      21.6         7.5         5          10          94       10.2591
     69        15         2          28.8      21.6        36         7.5         5          10      100.25       10.6037
     70        16         2          43.2        36      50.4         7.5         5          10      118.25       11.4209
     71        17         2          57.6      50.4      64.8         7.5         5          10      116.75       11.5461
     72        18         2            72      64.8      79.2         7.5         5          10      126.75       11.7606
     73        19         2          86.4      79.2      93.6         7.5         5          10      143.75       12.3617
     74        20         2         100.8      93.6       108         7.5         5          10      119.25         11.41
     75        21         2         115.2       108     122.4         7.5         5          10       135.5       12.0882
     76        22         2         129.6     122.4     136.8         7.5         5          10      131.25       11.8189
     77        23         2           144     136.8     151.2         7.5         5          10      119.75       11.2944
     78        24         2         158.4     151.2     165.6         7.5         5          10      121.75       11.3275
     79        25         2         172.8     165.6       180         7.5         5          10         105       10.5475
     82         1         3        -172.8      -180    -165.6        12.5        10          15       41.25       6.59071
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15          46       7.05337
     84         3         3          -144    -151.2    -136.8        12.5        10          15       72.75       8.69267
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15       86.25       9.66631
     86         5         3        -115.2    -122.4      -108        12.5        10          15       126.5       11.5488
     87         6         3        -100.8      -108     -93.6        12.5        10          15       133.5       12.0052
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15       157.5       13.0144
     89         8         3           -72     -79.2     -64.8        12.5        10          15         110        11.068
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15          84       9.82344
     91        10         3         -43.2     -50.4       -36        12.5        10          15          80       9.48683
     92        11         3         -28.8       -36     -21.6        12.5        10          15       40.75        7.0578
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15       36.25       6.39824
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15       40.75       6.78694
     95        14         3          14.4       7.2      21.6        12.5        10          15       31.75        6.0879
     96        15         3          28.8      21.6        36        12.5        10          15       48.25       7.61167
     97        16         3          43.2        36      50.4        12.5        10          15       72.75       8.97566
     98        17         3          57.6      50.4      64.8        12.5        10          15       80.75       9.73717
     99        18         3            72      64.8      79.2        12.5        10          15      112.25        11.322
    100        19         3          86.4      79.2      93.6        12.5        10          15       134.5       11.9948
    101        20         3         100.8      93.6       108        12.5        10          15         128        11.694
    102        21         3         115.2       108     122.4        12.5        10          15       94.25       10.0716
    103        22         3         129.6     122.4     136.8        12.5        10          15      104.75       10.4911
    104        23         3           144     136.8     151.2        12.5        10          15       83.75        9.3039
    105        24         3         158.4     151.2     165.6        12.5        10          15       54.25       7.59523
    106        25         3         172.8     165.6       180        12.5        10          15        33.5       6.05186
    109         1         4        -172.8      -180    -165.6        17.5        15          20         1.5       1.45774
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20        3.75       2.01556
    111         3         4          -144    -151.2    -136.8        17.5        15          20           8       3.04138
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20       11.75       3.47311
    113         5         4        -115.2    -122.4      -108        17.5        15          20        35.5       6.11351
    114         6         4        -100.8      -108     -93.6        17.5        15          20        55.5       7.73789
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20       65.75       8.50368
    116         8         4           -72     -79.2     -64.8        17.5        15          20       51.75       7.79824
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20          39       6.63325
    118        10         4         -43.2     -50.4       -36        17.5        15          20       19.25        4.8926
    119        11         4         -28.8       -36     -21.6        17.5        15          20       10.25       3.52668
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20        8.25       3.03109
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20        9.75       3.17214
    122        14         4          14.4       7.2      21.6        17.5        15          20        7.25       3.07205
    123        15         4          28.8      21.6        36        17.5        15          20       10.75       3.50892
    124        16         4          43.2        36      50.4        17.5        15          20        27.5       5.53399
    125        17         4          57.6      50.4      64.8        17.5        15          20        45.5       7.15017
    126        18         4            72      64.8      79.2        17.5        15          20       56.25       8.12019
    127        19         4          86.4      79.2      93.6        17.5        15          20        65.5       8.35913
    128        20         4         100.8      93.6       108        17.5        15          20        68.5       8.46316
    129        21         4         115.2       108     122.4        17.5        15          20          37        6.2849
    130        22         4         129.6     122.4     136.8        17.5        15          20       26.25       5.33268
    131        23         4           144     136.8     151.2        17.5        15          20       11.75       3.47311
    132        24         4         158.4     151.2     165.6        17.5        15          20        4.25       2.27761
    133        25         4         172.8     165.6       180        17.5        15          20        5.75       2.46221
    136         1         5        -172.8      -180    -165.6        22.5        20          25       -0.25          0.25
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25        -0.5      0.353553
    138         3         5          -144    -151.2    -136.8        22.5        20          25           1             1
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25         2.5       1.76777
    140         5         5        -115.2    -122.4      -108        22.5        20          25        2.75          1.75
    141         6         5        -100.8      -108     -93.6        22.5        20          25          15       3.87298
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25       10.75       3.32603
    143         8         5           -72     -79.2     -64.8        22.5        20          25       10.75       3.50892
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25          10        3.3541
    145        10         5         -43.2     -50.4       -36        22.5        20          25        0.75       1.52069
    146        11         5         -28.8       -36     -21.6        22.5        20          25           1             1
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25           1             1
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25           1             1
    149        14         5          14.4       7.2      21.6        22.5        20          25       -0.25          0.25
    150        15         5          28.8      21.6        36        22.5        20          25         4.5       2.26385
    151        16         5          43.2        36      50.4        22.5        20          25        9.75       3.17214
    152        17         5          57.6      50.4      64.8        22.5        20          25          18       4.52769
    153        18         5            72      64.8      79.2        22.5        20          25       11.75       3.64863
    154        19         5          86.4      79.2      93.6        22.5        20          25          13         3.937
    155        20         5         100.8      93.6       108        22.5        20          25        12.5       3.79144
    156        21         5         115.2       108     122.4        22.5        20          25        4.75          2.25
    157        22         5         129.6     122.4     136.8        22.5        20          25        0.75       1.03078
    158        23         5           144     136.8     151.2        22.5        20          25           1             1
    159        24         5         158.4     151.2     165.6        22.5        20          25         1.5       1.45774
    160        25         5         172.8     165.6       180        22.5        20          25           0             0
    163         1         6        -172.8      -180    -165.6        27.5        25          30           0             0
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30        0.75       1.03078
    165         3         6          -144    -151.2    -136.8        27.5        25          30        0.75       1.03078
