# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5        25.5       5.35023
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5       18.25       4.65698
     30         3         1          -144    -151.2    -136.8         2.5         0           5          24       5.14782
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5       31.25        5.6734
     32         5         1        -115.2    -122.4      -108         2.5         0           5       29.25        5.7173
     33         6         1        -100.8      -108     -93.6         2.5         0           5       21.25       5.21416
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5          32       5.87367
     35         8         1           -72     -79.2     -64.8         2.5         0           5       19.75       4.87981
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       21.25       4.96865
     37        10         1         -43.2     -50.4       -36         2.5         0           5          21       5.22015
     38        11         1         -28.8       -36     -21.6         2.5         0           5       16.75       4.42295
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5       19.25       4.76314
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5          16       4.58258
     41        14         1          14.4       7.2      21.6         2.5         0           5        18.5       4.65027
     42        15         1          28.8      21.6        36         2.5         0           5       21.25       4.96865
     43        16         1          43.2        36      50.4         2.5         0           5       27.25       5.53963
     44        17         1          57.6      50.4      64.8         2.5         0           5       18.75       4.64354
     45        18         1            72      64.8      79.2         2.5         0           5       23.25       5.16599
     46        19         1          86.4      79.2      93.6         2.5         0           5        28.5       5.73367
     47        20         1         100.8      93.6       108         2.5         0           5       21.75        5.0806
     48        21         1         115.2       108     122.4         2.5         0           5       28.75       5.72822
     49        22         1         129.6     122.4     136.8         2.5         0           5        25.5       5.23211
     50        23         1           144     136.8     151.2         2.5         0           5       25.25       5.35607
     51        24         1         158.4     151.2     165.6         2.5         0           5       24.75       5.12957
     52        25         1         172.8     165.6       180         2.5         0           5       32.75       5.96343
     55         1         2        -172.8      -180    -165.6         7.5         5          10        31.5       6.09303
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10        49.5       7.42462
     57         3         2          -144    -151.2    -136.8         7.5         5          10          53       7.53326
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       52.75       7.61988
     59         5         2        -115.2    -122.4      -108         7.5         5          10       67.75       8.54766
     60         6         2        -100.8      -108     -93.6         7.5         5          10        62.5       8.32917
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10        68.5       8.89522
     62         8         2           -72     -79.2     -64.8         7.5         5          10          81       9.47365
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       67.25       8.69986
     64        10         2         -43.2     -50.4       -36         7.5         5          10          49       7.76209
     65        11         2         -28.8       -36     -21.6         7.5         5          10       36.25       6.86932
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10       45.75       7.40355
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10        47.5       7.37394
     68        14         2          14.4       7.2      21.6         7.5         5          10       42.25       7.11952
     69        15         2          28.8      21.6        36         7.5         5          10       46.25        7.3951
     70        16         2          43.2        36      50.4         7.5         5          10        51.5       7.96084
     71        17         2          57.6      50.4      64.8         7.5         5          10          64       8.30662
     72        18         2            72      64.8      79.2         7.5         5          10       66.25       8.49632
     73        19         2          86.4      79.2      93.6         7.5         5          10       68.25       8.68548
     74        20         2         100.8      93.6       108         7.5         5          10          66           8.5
     75        21         2         115.2       108     122.4         7.5         5          10        42.5       7.02673
     76        22         2         129.6     122.4     136.8         7.5         5          10          45       7.07107
     77        23         2           144     136.8     151.2         7.5         5          10        32.5       6.07248
     78        24         2         158.4     151.2     165.6         7.5         5          10       46.25       7.13705
     79        25         2         172.8     165.6       180         7.5         5          10          48       7.19375
     82         1         3        -172.8      -180    -165.6        12.5        10          15          24       5.02494
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15       14.75       4.03887
     84         3         3          -144    -151.2    -136.8        12.5        10          15        26.5       5.44289
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15       41.75       6.86021
     86         5         3        -115.2    -122.4      -108        12.5        10          15        38.5        6.5479
     87         6         3        -100.8      -108     -93.6        12.5        10          15          46       7.31437
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15       65.25       8.79986
     89         8         3           -72     -79.2     -64.8        12.5        10          15       59.25       8.30286
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15          38       6.74537
     91        10         3         -43.2     -50.4       -36        12.5        10          15       38.75       6.54313
     92        11         3         -28.8       -36     -21.6        12.5        10          15       25.75       5.68441
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15       33.25       6.35905
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15       28.75       5.72822
     95        14         3          14.4       7.2      21.6        12.5        10          15        26.5       5.66789
     96        15         3          28.8      21.6        36        12.5        10          15          39       6.72681
     97        16         3          43.2        36      50.4        12.5        10          15       43.75       7.09313
     98        17         3          57.6      50.4      64.8        12.5        10          15       62.75       8.47423
     99        18         3            72      64.8      79.2        12.5        10          15       58.75       8.23483
    100        19         3          86.4      79.2      93.6        12.5        10          15          56       7.81025
    101        20         3         100.8      93.6       108        12.5        10          15          45       7.24569
    102        21         3         115.2       108     122.4        12.5        10          15       38.25       6.64737
    103        22         3         129.6     122.4     136.8        12.5        10          15       37.75       6.36887
    104        23         3           144     136.8     151.2        12.5        10          15       32.75       5.96343
    105        24         3         158.4     151.2     165.6        12.5        10          15       17.75       4.53459
    106        25         3         172.8     165.6       180        12.5        10          15        20.5       4.59619
    109         1         4        -172.8      -180    -165.6        17.5        15          20           0       1.11803
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20           4             2
    111         3         4          -144    -151.2    -136.8        17.5        15          20        0.25       1.08972
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20          13       3.77492
    113         5         4        -115.2    -122.4      -108        17.5        15          20       19.75       4.61655
    114         6         4        -100.8      -108     -93.6        17.5        15          20       24.25       5.26189
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20       30.75       6.00521
    116         8         4           -72     -79.2     -64.8        17.5        15          20       30.25       6.21993
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20          22       4.94975
    118        10         4         -43.2     -50.4       -36        17.5        15          20       16.75       4.27931
    119        11         4         -28.8       -36     -21.6        17.5        15          20       10.25       3.52668
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20           6       2.69258
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20           2       1.80278
    122        14         4          14.4       7.2      21.6        17.5        15          20           7       2.87228
    123        15         4          28.8      21.6        36        17.5        15          20        4.75          2.75
    124        16         4          43.2        36      50.4        17.5        15          20          16        4.4441
    125        17         4          57.6      50.4      64.8        17.5        15          20          28       5.52268
    126        18         4            72      64.8      79.2        17.5        15          20       39.25       6.62854
