#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
# BCM4A  | Beam Current Threshold: > 10.00 uA 
#                                     
# DAQ Mode: coin | Trigger: trig5              
# electron arm: HMS                        
#                                              
#---Acceptance Cuts--- 
# SHMS Momentum Acceptance (P.gtr.dp): [-10.000, 22.000] %
# HMS  Momentum Acceptance (H.gtr.dp): [-8.000, 8.000] %
#                                     
# ---Particle Identification (PID) Cuts---
# NOTE: Coincidence time background selection is done by averaging a sample (left) and (right) of the main coincidence peak, where the sample is assumed to have the same structure on both sides.
# The sample background is then scaled to the background underneath the main coin peak, and subtracted.
#                                              
# --> electrons (HMS): 
# HMS Cherenkov NPE Sum (H.cer.npeSum) >= 2.000
# HMS Calorimeter (H.cal.etottracknorm) Etot/Etrak >= 0.800
#                                              
# --> Kaons     (SHMS): 
# SHMS Aerogel NPE Sum   (P.aero.npeSum)  >= 1.500
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) <= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.700, 1.300]
# eK Coincidence Time (CTime.eKCoinTime_ROC2): abs( eK_coin_peak - offset(43.530) ) <= 2.200 ns
# eK Coincidence Time Background: abs( eK_coin_peak - offset(43.530) ) > 2.200 && abs( eK_coin_peak - offset(43.530) ) <= (5.000 x 2.200) ns
# Kaon Missing Mass: [1.070, 1.155] GeV/c^2
#                                              
# --> Pions     (SHMS): 
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) >= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.500, 1.500]
# ePi Coincidence Time (CTime.ePiCoinTime_ROC2): abs( ePi_coin_peak - offset(43.390) ) <= 2.300 ns
# ePi Coincidence Time Background: abs( ePi_coin_peak - offset(43.390) ) > 2.300 && abs( ePi_coin_peak - offset(43.390) ) <= (5.000 x 2.300) ns
# Pion Missing Mass: [0.890, 0.980] GeV/c^2
#                                              
# --> Protons   (SHMS): 
# SHMS Aerogel NPE Sum   (P.aero.npeSum)  <= 1.500
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) <= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.500, 1.500]
# eP Coincidence Time (CTime.epCoinTime_ROC2): abs( eP_coin_peak - offset(43.870) ) <= 3.300 ns
# eP Coincidence Time Background: abs( eP_coin_peak - offset(43.870) ) > 3.300 && abs( eP_coin_peak - offset(43.870) ) <= (5.000 x 3.300) ns
# Proton Missing Mass: [-0.300, 0.300] GeV/c^2
#                       
# Units: charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
#! Run[i,0]/             charge[f,1]/        avg_current[f,2]/            hTrkEff[f,3]/        hTrkEff_err[f,4]/            pTrkEff[f,5]/        pTrkEff_err[f,6]/    tgt_boil_factor[f,7]/     tgt_boil_factor_err[f,8]/      hadAbs_factor[f,9]/      hadAbs_factor_err[f,10]/             cpuLT[f,11]/      cpuLT_err_Bi[f,12]/     cpuLT_err_Bay[f,13]/               tLT[f,14]/        tLT_err_Bi[f,15]/       tLT_err_Bay[f,16]/          S1X_rate[f,17]/     shms_Ps1_3of4_rate[f,18]/    hms_Ps3_elreal_rate[f,19]/     coin_Ps5_rate[f,18]/         edtm_rate[f,19]/        Ps1_factor[f,20]/        Ps3_factor[f,21]/        Ps5_factor[f,22]/       hTrkEff_pos[f,23]/   hTrkEff_err_pos[f,24]/       hTrkEff_neg[f,25]/   hTrkEff_err_neg[f,26]/       pTrkEff_pos[f,27]/   pTrkEff_err_pos[f,28]/       pTrkEff_neg[f,29]/   pTrkEff_err_neg[f,30]/         edtm_accp[f,31]/       edtm_scaler[f,32]/        trig5_accp[f,33]/      trig5_scaler[f,34]/
   5128                  62.2189                  30.9286                  0.99863              0.000151311                 0.904063               0.00314929                        1                       -1                        1                       -1                  1.00601                     -nan                     -nan                 0.962926               0.00133197               0.00133267                  1651.33                       430.501                       1.45824                0.0644323                0.0100025                     8193                       33                        1                 0.998526               0.00022477                 0.998718              0.000207962                 0.898874               0.00459189                 0.908337               0.00441526                    19376                    20122                   130397                   129618
   5129                  96.4109                  33.9068                 0.998462               0.00012951                 0.897902               0.00259916                        1                       -1                        1                       -1                  1.00645                     -nan                     -nan                 0.956753               0.00120617               0.00120653                   3304.7                       470.005                       1.59547                0.0696383                0.0100024                     8193                       33                        1                 0.998358              0.000190857                  0.99858              0.000177525                 0.901655               0.00366765                 0.893755               0.00374931                    27211                    28441                   199287                   198010
   5130                  74.0193                   33.584                 0.998511              0.000145279                 0.894896               0.00301036                        1                       -1                        1                       -1                  1.00626                     -nan                     -nan                 0.958439               0.00134437               0.00134492                  1781.18                       465.856                        1.5806                0.0693037               0.00999996                     8193                       33                        1                 0.998508              0.000206948                 0.998525              0.000206609                 0.892952               0.00435932                 0.896163               0.00424623                    21124                    22040                   153702                   152746
   5131                  142.645                  34.2483                 0.998648              9.99642e-05                 0.898734               0.00212078                        1                       -1                        1                       -1                   1.0063                     -nan                     -nan                  0.95753              0.000988084              0.000988293                  1815.72                       474.067                       1.60896                0.0697256                0.0100007                     8193                       33                        1                 0.998725              0.000138297                 0.998541              0.000148094                 0.902146               0.00298312                 0.895058               0.00306801                    39884                    41653                   292238                   290409
   5132                  210.965                  34.2727                 0.998503              8.68581e-05                 0.899632               0.00174825                        1                       -1                        1                       -1                  1.00635                     -nan                     -nan                 0.957405               0.00081393              0.000814045                  1815.69                       474.376                       1.60804                0.0692785                0.0100003                     8193                       33                        1                 0.998564              0.000121339                 0.998467              0.000125194                 0.899259               0.00249448                 0.899994               0.00249083                    58935                    61557                   429152                   426444
   5133                  186.046                   34.377                 0.998709              8.72572e-05                 0.897515               0.00189012                        1                       -1                        1                       -1                  1.00656                     -nan                     -nan                 0.956212              0.000879536              0.000879673                  2604.04                       475.167                       1.59391                0.0691339                 0.010001                     8193                       33                        1                 0.998679              0.000125921                 0.998732               0.00012312                 0.896663               0.00269706                 0.897769               0.00269966                    51755                    54125                   376603                   374148
   5134                  86.2156                  34.2018                 0.998688              0.000108575                 0.895451               0.00228362                        1                       -1                        1                       -1                  1.00617                     -nan                     -nan                 0.960536               0.00122615               0.00122662                  1807.67                       472.785                       1.60442                0.0694832                 0.010002                     4097                       17                        1                  0.99872              0.000153005                 0.998685              0.000154929                 0.894106               0.00326641                 0.896848               0.00324898                    24218                    25213                   176234                   175153
   5135                  126.141                  34.1055                 0.998724              8.84608e-05                  0.90179               0.00183163                        1                       -1                        1                       -1                  1.00627                     -nan                     -nan                 0.960104               0.00101753               0.00101779                  2955.35                        471.59                       1.59872                0.0692895                0.0100028                     4097                       17                        1                 0.998661              0.000129439                 0.998783              0.000122981                  0.89843               0.00266185                  0.90515                0.0025607                    35520                    36996                   257878                   256271
   5136                  88.3501                  34.5858                 0.998751              0.000104442                 0.900562               0.00221357                        1                       -1                        1                       -1                  1.00629                     -nan                     -nan                 0.959449               0.00123405                0.0012345                  1838.12                       478.426                       1.61697                0.0705154                0.0100011                     4097                       17                        1                 0.998653              0.000154456                 0.998806              0.000145867                 0.898722               0.00318052                 0.901669               0.00314428                    24512                    25548                   181266                   180133
   5137                  113.443                  34.5879                 0.998703              9.38246e-05                 0.899224               0.00194811                        1                       -1                        1                       -1                  1.00651                     -nan                     -nan                 0.958114               0.00110608               0.00110639                  1819.76                       478.044                       1.61883                0.0706044                0.0100014                     4097                       17                        1                 0.998759              0.000130799                 0.998618               0.00013819                 0.896962               0.00281164                 0.901482               0.00274298                    31429                    32803                   233079                   231571
   5138                   118.38                  34.8259                 0.998601              9.54366e-05                 0.897548               0.00192929                        1                       -1                        1                       -1                  1.00649                     -nan                     -nan                 0.957733               0.00109118               0.00109147                  1833.92                       481.763                       1.62907                0.0710301                0.0100018                     4097                       17                        1                 0.998614              0.000135279                 0.998585              0.000136758                 0.895251               0.00278368                 0.899794               0.00271522                    32561                    33998                   243010                   241444
   5139                  108.835                  34.5259                 0.998772              9.33787e-05                 0.899624               0.00199203                        1                       -1                        1                       -1                  1.00645                     -nan                     -nan                 0.958294               0.00112587               0.00112619                  1819.46                       477.348                       1.61451                0.0701606                0.0100023                     4097                       17                        1                 0.998786              0.000132469                 0.998746              0.000134394                 0.897582                0.0028638                 0.901468               0.00281867                    30215                    31530                   222593                   221166
