# Kaon Beam-Spin Asymmetry (KIN-13) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
-158.40  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
-144.00  0.750000  1.030776  2.000000  1.414214  -0.454545  0.613132 
-129.60  -0.250000  0.250000  3.000000  1.732050  -1.181818  0.229031 
-115.20  0.000000  0.000000  0.500000  1.060660  -1.000000  0.000000 
-100.80  1.000000  1.000000  0.000000  1.118034  1.000000  2.236068 
-86.40  2.750000  1.750000  1.750000  1.436141  0.222222  0.493596 
-72.00  13.750000  3.913119  16.500000  4.286606  -0.090909  0.191076 
-57.60  102.500000  10.577098  118.500000  11.363314  -0.072398  0.070065 
-43.20  394.000000  20.982178  371.250000  20.547183  0.029729  0.038369 
-28.80  622.250000  27.580543  662.000000  28.209064  -0.030952  0.030713 
-14.40  726.500000  29.826571  671.250000  28.977386  0.039528  0.029741 
0.00  714.000000  29.816103  658.750000  29.095736  0.040248  0.030343 
14.40  665.250000  28.916900  704.000000  29.521186  -0.028300  0.030175 
28.80  618.500000  27.278623  559.500000  26.341487  0.050085  0.032175 
43.20  361.750000  20.268515  362.000000  20.267001  -0.000345  0.039603 
57.60  109.750000  10.957302  151.500000  12.732835  -0.159809  0.063586 
72.00  24.000000  5.267828  27.000000  5.315071  -0.058824  0.146908 
86.40  4.500000  2.263848  3.750000  2.304887  0.090909  0.393853 
100.80  1.500000  1.457738  0.750000  1.030776  0.333333  0.748111 
115.20  1.750000  1.436137  0.000000  0.000000  1.000000  0.000000 
129.60  0.750000  1.030776  0.750000  1.030776  0.000000  0.971825 
144.00  0.000000  0.000000  1.750000  1.436141  -1.000000  0.000000 
158.40  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
172.80  -0.500000  0.353553  1.000000  1.000000  -3.000000  4.898979 
