# Pion Beam-Spin Asymmetry (KIN-13) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  0.000000  0.000000  4.000000  1.999995  -1.000000  0.000000 
-158.40  1.000000  1.000000  1.000000  1.000000  0.000000  0.707107 
-144.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
-129.60  2.000000  1.414214  0.000000  0.000000  1.000000  0.000000 
-115.20  0.000000  0.000000  0.000000  0.000000  nan  nan 
-100.80  1.000000  1.000000  0.750000  1.030776  0.142857  0.832493 
-86.40  6.750000  2.657534  8.750000  3.010397  -0.129032  0.257073 
-72.00  77.750000  8.905753  79.500000  9.020808  -0.011129  0.080606 
-57.60  511.500000  22.904712  563.250000  24.118195  -0.048151  0.030907 
-43.20  1421.500000  38.417134  1555.250000  40.186298  -0.044932  0.018658 
-28.80  2285.750000  49.255069  2499.500000  51.382190  -0.044669  0.014861 
-14.40  2445.250000  51.295089  2444.250000  51.273137  0.000205  0.014833 
0.00  2415.500000  51.062515  2311.000000  50.209561  0.022109  0.015149 
14.40  2415.500000  51.050188  2261.750000  49.543545  0.032872  0.015203 
28.80  1935.500000  45.330757  1856.000000  44.564551  0.020968  0.016764 
43.20  1121.750000  34.089063  1077.250000  33.495364  0.020236  0.021730 
57.60  448.000000  21.459234  396.500000  20.270015  0.060983  0.034898 
72.00  95.000000  9.874209  90.000000  9.617694  0.027027  0.074483 
86.40  18.500000  4.513868  13.250000  3.766628  0.165354  0.182191 
100.80  3.750000  2.304886  7.000000  2.872282  -0.302326  0.335735 
115.20  2.250000  1.785357  2.750000  1.749997  -0.100000  0.503487 
129.60  1.500000  1.457738  0.500000  1.060664  0.500000  0.875002 
144.00  2.000000  1.414214  -0.250000  0.250000  1.285714  0.399917 
158.40  1.000000  1.000000  -0.250000  0.250000  1.666667  1.257079 
172.80  -0.500000  0.353553  0.000000  0.000000  1.000000  0.000000 
