# Pion Beam-Spin Asymmetry (KIN-4)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  571.500000  24.075400  594.250000  24.524200  -0.019515  0.029475 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  562.750000  23.860300  566.000000  23.921700  -0.002879  0.029933 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  513.750000  22.782900  532.500000  23.170600  -0.017921  0.031054 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  461.000000  21.616000  471.500000  21.814600  -0.011260  0.032932 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  368.750000  19.373000  383.000000  19.761100  -0.018956  0.036805 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  330.750000  18.332000  332.000000  18.289300  -0.001886  0.039073 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  256.000000  16.116800  279.500000  16.848600  -0.043884  0.043497 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  199.750000  14.232400  199.750000  14.232400  0.000000  0.050382 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  166.500000  12.975900  170.000000  13.133900  -0.010401  0.054863 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  134.500000  11.678000  153.500000  12.465000  -0.065972  0.059182 
38  11  1  -28.80  -36.00  -21.60  2.50  0.00  5.00  105.250000  10.304700  124.000000  11.191500  -0.081788  0.066135 
39  12  1  -14.40  -21.60  -7.20  2.50  0.00  5.00  110.500000  10.600700  98.250000  9.959290  0.058683  0.069542 
40  13  1  0.00  -7.20  7.20  2.50  0.00  5.00  97.750000  10.028100  115.000000  10.781900  -0.081081  0.069032 
41  14  1  14.40  7.20  21.60  2.50  0.00  5.00  87.250000  9.390820  86.250000  9.337420  0.005764  0.076327 
42  15  1  28.80  21.60  36.00  2.50  0.00  5.00  109.000000  10.559400  106.000000  10.356200  0.013953  0.068780 
43  16  1  43.20  36.00  50.40  2.50  0.00  5.00  153.750000  12.462400  125.250000  11.288800  0.102151  0.059976 
44  17  1  57.60  50.40  64.80  2.50  0.00  5.00  178.750000  13.474500  186.250000  13.772700  -0.020548  0.052776 
45  18  1  72.00  64.80  79.20  2.50  0.00  5.00  192.250000  13.944100  228.500000  15.219200  -0.086156  0.048871 
46  19  1  86.40  79.20  93.60  2.50  0.00  5.00  262.750000  16.410700  257.750000  16.103200  0.009606  0.044167 
47  20  1  100.80  93.60  108.00  2.50  0.00  5.00  344.250000  18.679900  310.000000  17.783400  0.052350  0.039374 
48  21  1  115.20  108.00  122.40  2.50  0.00  5.00  364.000000  19.241900  373.250000  19.504800  -0.012547  0.037160 
49  22  1  129.60  122.40  136.80  2.50  0.00  5.00  478.250000  22.032600  472.500000  21.866100  0.006048  0.032648 
50  23  1  144.00  136.80  151.20  2.50  0.00  5.00  535.250000  23.236600  503.250000  22.620500  0.030814  0.031216 
51  24  1  158.40  151.20  165.60  2.50  0.00  5.00  536.250000  23.338500  533.750000  23.244600  0.002336  0.030784 
52  25  1  172.80  165.60  180.00  2.50  0.00  5.00  606.250000  24.818100  613.250000  24.908600  -0.005740  0.028833 
55  1  2  -172.80  -180.00  -165.60  7.50  5.00  10.00  2647.000000  51.739700  2575.750000  51.061800  0.013642  0.013917 
56  2  2  -158.40  -165.60  -151.20  7.50  5.00  10.00  2489.250000  50.201500  2469.750000  50.063100  0.003932  0.014297 
57  3  2  -144.00  -151.20  -136.80  7.50  5.00  10.00  2255.750000  47.825900  2439.500000  49.675200  -0.039135  0.014676 
58  4  2  -129.60  -136.80  -122.40  7.50  5.00  10.00  2028.750000  45.321800  2076.000000  45.823000  -0.011511  0.015700 
59  5  2  -115.20  -122.40  -108.00  7.50  5.00  10.00  1617.250000  40.536200  1640.750000  40.725500  -0.007213  0.017637 
60  6  2  -100.80  -108.00  -93.60  7.50  5.00  10.00  1083.500000  33.171900  1205.750000  34.979500  -0.053402  0.021028 
61  7  2  -86.40  -93.60  -79.20  7.50  5.00  10.00  677.500000  26.256000  755.250000  27.680100  -0.054266  0.026591 
62  8  2  -72.00  -79.20  -64.80  7.50  5.00  10.00  392.000000  19.956200  397.750000  20.138600  -0.007281  0.035898 
63  9  2  -57.60  -64.80  -50.40  7.50  5.00  10.00  209.750000  14.622300  233.000000  15.386700  -0.052513  0.047880 
64  10  2  -43.20  -50.40  -36.00  7.50  5.00  10.00  97.500000  10.031200  106.000000  10.356200  -0.041769  0.070817 
65  11  2  -28.80  -36.00  -21.60  7.50  5.00  10.00  60.250000  7.822240  49.250000  7.084310  0.100457  0.095907 
66  12  2  -14.40  -21.60  -7.20  7.50  5.00  10.00  33.750000  5.836310  29.750000  5.482930  0.062992  0.125862 
67  13  2  0.00  -7.20  7.20  7.50  5.00  10.00  23.500000  4.911720  28.500000  5.396760  -0.096154  0.139712 
68  14  2  14.40  7.20  21.60  7.50  5.00  10.00  30.250000  5.584580  27.250000  5.309190  0.052174  0.133838 
69  15  2  28.80  21.60  36.00  7.50  5.00  10.00  56.750000  7.636260  46.000000  6.873860  0.104623  0.099443 
70  16  2  43.20  36.00  50.40  7.50  5.00  10.00  100.750000  10.115000  102.250000  10.158100  -0.007389  0.070617 
71  17  2  57.60  50.40  64.80  7.50  5.00  10.00  258.750000  16.211500  225.500000  15.120400  0.068663  0.045668 
72  18  2  72.00  64.80  79.20  7.50  5.00  10.00  426.750000  20.816200  392.250000  19.954600  0.042125  0.035177 
73  19  2  86.40  79.20  93.60  7.50  5.00  10.00  697.500000  26.610600  692.500000  26.563600  0.003597  0.027050 
74  20  2  100.80  93.60  108.00  7.50  5.00  10.00  1132.250000  33.921800  1073.750000  32.944100  0.026519  0.021426 
75  21  2  115.20  108.00  122.40  7.50  5.00  10.00  1706.000000  41.590300  1541.250000  39.571900  0.050735  0.017657 
76  22  2  129.60  122.40  136.80  7.50  5.00  10.00  2110.000000  46.246600  2032.500000  45.421600  0.018709  0.015645 
77  23  2  144.00  136.80  151.20  7.50  5.00  10.00  2360.500000  48.924700  2328.250000  48.545700  0.006878  0.014699 
78  24  2  158.40  151.20  165.60  7.50  5.00  10.00  2609.500000  51.333500  2407.000000  49.403900  0.040367  0.014192 
79  25  2  172.80  165.60  180.00  7.50  5.00  10.00  2626.250000  51.620600  2653.500000  51.784400  -0.005161  0.013849 
82  1  3  -172.80  -180.00  -165.60  12.50  10.00  15.00  3466.750000  59.262700  3572.250000  60.151400  -0.014988  0.011995 
83  2  3  -158.40  -165.60  -151.20  12.50  10.00  15.00  3553.250000  59.962000  3743.750000  61.616300  -0.026107  0.011778 
84  3  3  -144.00  -151.20  -136.80  12.50  10.00  15.00  3580.500000  60.206900  3800.250000  62.027700  -0.029773  0.011707 
85  4  3  -129.60  -136.80  -122.40  12.50  10.00  15.00  3248.500000  57.448900  3596.750000  60.359900  -0.050875  0.012158 
86  5  3  -115.20  -122.40  -108.00  12.50  10.00  15.00  2551.750000  50.900000  2825.500000  53.536200  -0.050909  0.013720 
87  6  3  -100.80  -108.00  -93.60  12.50  10.00  15.00  1644.000000  40.853400  1807.500000  42.844200  -0.047371  0.017133 
88  7  3  -86.40  -93.60  -79.20  12.50  10.00  15.00  825.750000  28.979500  945.250000  31.003000  -0.067476  0.023908 
89  8  3  -72.00  -79.20  -64.80  12.50  10.00  15.00  373.000000  19.570400  394.500000  20.096600  -0.028013  0.036536 
90  9  3  -57.60  -64.80  -50.40  12.50  10.00  15.00  89.750000  9.555760  110.250000  10.662400  -0.102500  0.071163 
91  10  3  -43.20  -50.40  -36.00  12.50  10.00  15.00  14.250000  3.897110  6.750000  2.657540  0.357143  0.209115 
92  11  3  -28.80  -36.00  -21.60  12.50  10.00  15.00  2.750000  1.750000  3.000000  1.732050  -0.043478  0.428807 
93  12  3  -14.40  -21.60  -7.20  12.50  10.00  15.00  2.000000  1.414210  -0.250000  0.250000  1.285714  0.399916 
94  13  3  0.00  -7.20  7.20  12.50  10.00  15.00  1.500000  1.457740  0.000000  0.000000  1.000000  0.000000 
95  14  3  14.40  7.20  21.60  12.50  10.00  15.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
96  15  3  28.80  21.60  36.00  12.50  10.00  15.00  4.000000  2.000000  -0.500000  0.353553  1.285714  0.282784 
97  16  3  43.20  36.00  50.40  12.50  10.00  15.00  9.000000  3.000000  14.000000  3.741660  -0.217391  0.203528 
98  17  3  57.60  50.40  64.80  12.50  10.00  15.00  119.750000  11.070800  87.750000  9.450530  0.154217  0.069280 
99  18  3  72.00  64.80  79.20  12.50  10.00  15.00  404.000000  20.285500  344.500000  18.944000  0.079492  0.036997 
100  19  3  86.40  79.20  93.60  12.50  10.00  15.00  1018.000000  32.140300  850.500000  29.451200  0.089644  0.023242 
101  20  3  100.80  93.60  108.00  12.50  10.00  15.00  1722.500000  41.810600  1644.500000  40.913000  0.023166  0.017370 
102  21  3  115.20  108.00  122.40  12.50  10.00  15.00  2629.500000  51.637000  2441.750000  49.807800  0.037022  0.014138 
103  22  3  129.60  122.40  136.80  12.50  10.00  15.00  3439.500000  59.024400  3029.750000  55.453200  0.063338  0.012494 
104  23  3  144.00  136.80  151.20  12.50  10.00  15.00  3745.250000  61.704400  3421.500000  58.882300  0.045174  0.011888 
105  24  3  158.40  151.20  165.60  12.50  10.00  15.00  3686.250000  61.173400  3427.750000  58.964500  0.036337  0.011935 
106  25  3  172.80  165.60  180.00  12.50  10.00  15.00  3615.500000  60.538200  3444.000000  59.131200  0.024294  0.011984 
