# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5      219.75       15.0021
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5      244.75       15.7341
     30         3         1          -144    -151.2    -136.8         2.5         0           5      247.75       15.9079
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5      220.25       15.0395
     32         5         1        -115.2    -122.4      -108         2.5         0           5         260       16.2788
     33         6         1        -100.8      -108     -93.6         2.5         0           5      262.75       16.3726
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5         271       16.6508
     35         8         1           -72     -79.2     -64.8         2.5         0           5       247.5       15.9491
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5         247       15.8351
     37        10         1         -43.2     -50.4       -36         2.5         0           5      242.75         15.75
     38        11         1         -28.8       -36     -21.6         2.5         0           5      215.75       14.8682
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5       218.5       15.0125
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5         204       14.4568
     41        14         1          14.4       7.2      21.6         2.5         0           5      208.75       14.6309
     42        15         1          28.8      21.6        36         2.5         0           5      231.25       15.4818
     43        16         1          43.2        36      50.4         2.5         0           5      233.25       15.4657
     44        17         1          57.6      50.4      64.8         2.5         0           5      216.75       14.9436
     45        18         1            72      64.8      79.2         2.5         0           5      268.75       16.5548
     46        19         1          86.4      79.2      93.6         2.5         0           5       268.5       16.5567
     47        20         1         100.8      93.6       108         2.5         0           5      272.75       16.7126
     48        21         1         115.2       108     122.4         2.5         0           5      245.25       15.8489
     49        22         1         129.6     122.4     136.8         2.5         0           5      240.75       15.7659
     50        23         1           144     136.8     151.2         2.5         0           5      256.25       16.1536
     51        24         1         158.4     151.2     165.6         2.5         0           5         217       14.8997
     52        25         1         172.8     165.6       180         2.5         0           5      246.75       15.8371
     55         1         2        -172.8      -180    -165.6         7.5         5          10       262.5       16.4507
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10       296.5       17.4177
     57         3         2          -144    -151.2    -136.8         7.5         5          10      323.75       18.1401
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10      410.25       20.4619
     59         5         2        -115.2    -122.4      -108         7.5         5          10       435.5       21.1808
     60         6         2        -100.8      -108     -93.6         7.5         5          10      537.25       23.4667
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10       537.5        23.492
     62         8         2           -72     -79.2     -64.8         7.5         5          10         508       22.8692
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10      451.75       21.5827
     64        10         2         -43.2     -50.4       -36         7.5         5          10      371.25       19.6135
     65        11         2         -28.8       -36     -21.6         7.5         5          10       336.5        18.765
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10         305       17.7834
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10      288.75       17.3295
     68        14         2          14.4       7.2      21.6         7.5         5          10       302.5       17.8361
     69        15         2          28.8      21.6        36         7.5         5          10         314       18.0693
     70        16         2          43.2        36      50.4         7.5         5          10      377.75       19.7627
     71        17         2          57.6      50.4      64.8         7.5         5          10       462.5       21.8375
     72        18         2            72      64.8      79.2         7.5         5          10       471.5       22.0142
     73        19         2          86.4      79.2      93.6         7.5         5          10       531.5       23.2836
     74        20         2         100.8      93.6       108         7.5         5          10      458.75       21.6579
     75        21         2         115.2       108     122.4         7.5         5          10      438.25       21.1645
     76        22         2         129.6     122.4     136.8         7.5         5          10       422.5       20.7816
     77        23         2           144     136.8     151.2         7.5         5          10         306       17.7412
     78        24         2         158.4     151.2     165.6         7.5         5          10       319.5       18.0659
     79        25         2         172.8     165.6       180         7.5         5          10       245.5       15.9256
     82         1         3        -172.8      -180    -165.6        12.5        10          15       70.75       8.50368
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15      105.75       10.4791
     84         3         3          -144    -151.2    -136.8        12.5        10          15         141       11.9791
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15      204.25       14.4114
     86         5         3        -115.2    -122.4      -108        12.5        10          15       289.5       17.1792
     87         6         3        -100.8      -108     -93.6        12.5        10          15      379.25       19.7532
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15      430.25       21.1232
     89         8         3           -72     -79.2     -64.8        12.5        10          15       413.5       20.6549
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15      295.75       17.6724
     91        10         3         -43.2     -50.4       -36        12.5        10          15      252.25       16.2615
     92        11         3         -28.8       -36     -21.6        12.5        10          15      172.25       13.5808
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15         124       11.4127
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15       82.25       9.45714
     95        14         3          14.4       7.2      21.6        12.5        10          15       132.5       11.9111
     96        15         3          28.8      21.6        36        12.5        10          15      150.25        12.696
     97        16         3          43.2        36      50.4        12.5        10          15      230.25       15.5302
     98        17         3          57.6      50.4      64.8        12.5        10          15       289.5        17.432
     99        18         3            72      64.8      79.2        12.5        10          15      350.25       19.0049
    100        19         3          86.4      79.2      93.6        12.5        10          15      345.75       18.9687
    101        20         3         100.8      93.6       108        12.5        10          15       303.5       17.6529
    102        21         3         115.2       108     122.4        12.5        10          15      206.75       14.5624
    103        22         3         129.6     122.4     136.8        12.5        10          15      147.75       12.3212
    104        23         3           144     136.8     151.2        12.5        10          15         136       11.8216
    105        24         3         158.4     151.2     165.6        12.5        10          15       103.5       10.2652
    106        25         3         172.8     165.6       180        12.5        10          15       73.75       8.67828
    109         1         4        -172.8      -180    -165.6        17.5        15          20        2.75          1.75
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20           4             2
    111         3         4          -144    -151.2    -136.8        17.5        15          20        9.75       3.17214
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20       34.75       6.02599
    113         5         4        -115.2    -122.4      -108        17.5        15          20        68.5       8.46316
    114         6         4        -100.8      -108     -93.6        17.5        15          20      134.25       11.8401
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20         222       15.1905
    116         8         4           -72     -79.2     -64.8        17.5        15          20         205       14.7054
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20         127        11.758
    118        10         4         -43.2     -50.4       -36        17.5        15          20       93.75       10.1396
    119        11         4         -28.8       -36     -21.6        17.5        15          20        42.5       7.11512
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20          32       5.97913
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20        27.5       5.41987
    122        14         4          14.4       7.2      21.6        17.5        15          20          20       4.74342
    123        15         4          28.8      21.6        36        17.5        15          20        56.5       8.03897
    124        16         4          43.2        36      50.4        17.5        15          20      101.25       10.5919
    125        17         4          57.6      50.4      64.8        17.5        15          20         151       12.7377
    126        18         4            72      64.8      79.2        17.5        15          20         161       12.9808
    127        19         4          86.4      79.2      93.6        17.5        15          20       140.5       12.0882
    128        20         4         100.8      93.6       108        17.5        15          20         106       10.4762
    129        21         4         115.2       108     122.4        17.5        15          20        57.5       7.70552
    130        22         4         129.6     122.4     136.8        17.5        15          20        28.5       5.39676
    131        23         4           144     136.8     151.2        17.5        15          20        9.75       3.36341
    132        24         4         158.4     151.2     165.6        17.5        15          20        4.75          2.25
    133        25         4         172.8     165.6       180        17.5        15          20         3.5       2.03101
    136         1         5        -172.8      -180    -165.6        22.5        20          25           0             0
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25           1             1
    138         3         5          -144    -151.2    -136.8        22.5        20          25           0             0
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25           0             0
    140         5         5        -115.2    -122.4      -108        22.5        20          25           6       2.44949
    141         6         5        -100.8      -108     -93.6        22.5        20          25       24.75       5.12957
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25          57       7.63217
    143         8         5           -72     -79.2     -64.8        22.5        20          25        59.5       8.07001
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25       43.75        7.1807
    145        10         5         -43.2     -50.4       -36        22.5        20          25       28.25       5.84701
    146        11         5         -28.8       -36     -21.6        22.5        20          25           6       2.69258
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25           2       1.41421
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25        0.75       1.03078
    149        14         5          14.4       7.2      21.6        22.5        20          25         1.5       1.45774
    150        15         5          28.8      21.6        36        22.5        20          25        5.25       2.48747
    151        16         5          43.2        36      50.4        22.5        20          25          30       5.91608
    152        17         5          57.6      50.4      64.8        22.5        20          25       69.25       8.81405
    153        18         5            72      64.8      79.2        22.5        20          25        49.5       7.33996
    154        19         5          86.4      79.2      93.6        22.5        20          25       25.25       5.11737
    155        20         5         100.8      93.6       108        22.5        20          25          13       3.77492
    156        21         5         115.2       108     122.4        22.5        20          25         2.5       1.76777
    157        22         5         129.6     122.4     136.8        22.5        20          25           1             1
    158        23         5           144     136.8     151.2        22.5        20          25           2       1.41421
    159        24         5         158.4     151.2     165.6        22.5        20          25           0             0
    160        25         5         172.8     165.6       180        22.5        20          25           0             0
    163         1         6        -172.8      -180    -165.6        27.5        25          30           0             0
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30           0             0
    165         3         6          -144    -151.2    -136.8        27.5        25          30           0             0
    166         4         6        -129.6    -136.8    -122.4        27.5        25          30           0             0
    167         5         6        -115.2    -122.4      -108        27.5        25          30           0             0
    168         6         6        -100.8      -108     -93.6        27.5        25          30           1             1
    169         7         6         -86.4     -93.6     -79.2        27.5        25          30           1             1
    170         8         6           -72     -79.2     -64.8        27.5        25          30           5       2.23607
    171         9         6         -57.6     -64.8     -50.4        27.5        25          30        5.25       2.94746
    172        10         6         -43.2     -50.4       -36        27.5        25          30        1.25       1.85405
    173        11         6         -28.8       -36     -21.6        27.5        25          30         0.5       1.06066
    174        12         6         -14.4     -21.6      -7.2        27.5        25          30           1             1
    175        13         6   1.42109e-14      -7.2       7.2        27.5        25          30           0             0
    176        14         6          14.4       7.2      21.6        27.5        25          30       -0.25          0.25
    177        15         6          28.8      21.6        36        27.5        25          30       -0.25          0.25
    178        16         6          43.2        36      50.4        27.5        25          30           2       1.80278
    179        17         6          57.6      50.4      64.8        27.5        25          30        8.75       3.21131
    180        18         6            72      64.8      79.2        27.5        25          30        5.25       2.48747
    181        19         6          86.4      79.2      93.6        27.5        25          30       -0.25          0.25
    182        20         6         100.8      93.6       108        27.5        25          30           0             0
    183        21         6         115.2       108     122.4        27.5        25          30           0             0
    184        22         6         129.6     122.4     136.8        27.5        25          30       -0.25          0.25
    185        23         6           144     136.8     151.2        27.5        25          30           0             0
    186        24         6         158.4     151.2     165.6        27.5        25          30           0             0
    187        25         6         172.8     165.6       180        27.5        25          30           0             0
    190         1         7        -172.8      -180    -165.6        32.5        30          35           0             0
    191         2         7        -158.4    -165.6    -151.2        32.5        30          35           0             0
    192         3         7          -144    -151.2    -136.8        32.5        30          35           0             0
    193         4         7        -129.6    -136.8    -122.4        32.5        30          35           0             0
    194         5         7        -115.2    -122.4      -108        32.5        30          35           0             0
    195         6         7        -100.8      -108     -93.6        32.5        30          35           0             0
    196         7         7         -86.4     -93.6     -79.2        32.5        30          35           0             0
    197         8         7           -72     -79.2     -64.8        32.5        30          35           0             0
    198         9         7         -57.6     -64.8     -50.4        32.5        30          35        -0.5      0.353553
    199        10         7         -43.2     -50.4       -36        32.5        30          35           1             1
    200        11         7         -28.8       -36     -21.6        32.5        30          35           0             0
    201        12         7         -14.4     -21.6      -7.2        32.5        30          35           0             0
    202        13         7   1.42109e-14      -7.2       7.2        32.5        30          35           0             0
    203        14         7          14.4       7.2      21.6        32.5        30          35           0             0
    204        15         7          28.8      21.6        36        32.5        30          35           0             0
    205        16         7          43.2        36      50.4        32.5        30          35           2       1.41421
    206        17         7          57.6      50.4      64.8        32.5        30          35        -0.5      0.353553
    207        18         7            72      64.8      79.2        32.5        30          35           0             0
    208        19         7          86.4      79.2      93.6        32.5        30          35           2       1.41421
    209        20         7         100.8      93.6       108        32.5        30          35           0             0
    210        21         7         115.2       108     122.4        32.5        30          35           0             0
    211        22         7         129.6     122.4     136.8        32.5        30          35           1             1
    212        23         7           144     136.8     151.2        32.5        30          35           0             0
    213        24         7         158.4     151.2     165.6        32.5        30          35           0             0
    214        25         7         172.8     165.6       180        32.5        30          35           0             0
    217         1         8        -172.8      -180    -165.6        37.5        35          40           0             0
    218         2         8        -158.4    -165.6    -151.2        37.5        35          40           0             0
    219         3         8          -144    -151.2    -136.8        37.5        35          40           0             0
    220         4         8        -129.6    -136.8    -122.4        37.5        35          40           0             0
    221         5         8        -115.2    -122.4      -108        37.5        35          40           0             0
    222         6         8        -100.8      -108     -93.6        37.5        35          40           0             0
    223         7         8         -86.4     -93.6     -79.2        37.5        35          40           0             0
    224         8         8           -72     -79.2     -64.8        37.5        35          40           0             0
    225         9         8         -57.6     -64.8     -50.4        37.5        35          40        1.75       1.43614
    226        10         8         -43.2     -50.4       -36        37.5        35          40           0             0
    227        11         8         -28.8       -36     -21.6        37.5        35          40           0             0
    228        12         8         -14.4     -21.6      -7.2        37.5        35          40           0             0
    229        13         8   1.42109e-14      -7.2       7.2        37.5        35          40           0             0
    230        14         8          14.4       7.2      21.6        37.5        35          40           0             0
    231        15         8          28.8      21.6        36        37.5        35          40           0             0
    232        16         8          43.2        36      50.4        37.5        35          40           0             0
    233        17         8          57.6      50.4      64.8        37.5        35          40           1             1
    234        18         8            72      64.8      79.2        37.5        35          40           0             0
    235        19         8          86.4      79.2      93.6        37.5        35          40        -0.5      0.353553
    236        20         8         100.8      93.6       108        37.5        35          40           1             1
    237        21         8         115.2       108     122.4        37.5        35          40           1             1
    238        22         8         129.6     122.4     136.8        37.5        35          40        -0.5      0.353553
    239        23         8           144     136.8     151.2        37.5        35          40       -0.25          0.25
    240        24         8         158.4     151.2     165.6        37.5        35          40           0             0
    241        25         8         172.8     165.6       180        37.5        35          40           0             0
