# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5       33.75          6.25
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5       16.25       4.29389
     30         3         1          -144    -151.2    -136.8         2.5         0           5        25.5       5.35023
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5        31.5       6.09303
     32         5         1        -115.2    -122.4      -108         2.5         0           5       31.75        6.0879
     33         6         1        -100.8      -108     -93.6         2.5         0           5       40.75       6.78694
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5       36.75       6.38847
     35         8         1           -72     -79.2     -64.8         2.5         0           5       40.75       6.87841
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       27.25       5.53963
     37        10         1         -43.2     -50.4       -36         2.5         0           5       36.25        6.1998
     38        11         1         -28.8       -36     -21.6         2.5         0           5        25.5        5.6899
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5        31.5       5.98957
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5          34       6.04152
     41        14         1          14.4       7.2      21.6         2.5         0           5          34         6.245
     42        15         1          28.8      21.6        36         2.5         0           5       34.25       6.23999
     43        16         1          43.2        36      50.4         2.5         0           5          32       6.18466
     44        17         1          57.6      50.4      64.8         2.5         0           5       36.75       6.38847
     45        18         1            72      64.8      79.2         2.5         0           5       33.75          6.25
     46        19         1          86.4      79.2      93.6         2.5         0           5       29.75       5.92136
     47        20         1         100.8      93.6       108         2.5         0           5       31.75        6.0879
     48        21         1         115.2       108     122.4         2.5         0           5       41.25       6.77772
     49        22         1         129.6     122.4     136.8         2.5         0           5       28.75       5.72822
     50        23         1           144     136.8     151.2         2.5         0           5        20.5       4.98748
     51        24         1         158.4     151.2     165.6         2.5         0           5       19.25        4.8926
     52        25         1         172.8     165.6       180         2.5         0           5       27.75       5.52834
     55         1         2        -172.8      -180    -165.6         7.5         5          10       28.75       5.72822
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10       35.25       6.21993
     57         3         2          -144    -151.2    -136.8         7.5         5          10       45.75       6.96868
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       50.75        7.5705
     59         5         2        -115.2    -122.4      -108         7.5         5          10       74.25       9.09327
     60         6         2        -100.8      -108     -93.6         7.5         5          10        62.5       8.83883
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10       68.25       9.03811
     62         8         2           -72     -79.2     -64.8         7.5         5          10       96.25       10.4732
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       76.25       9.33742
     64        10         2         -43.2     -50.4       -36         7.5         5          10       78.75       9.69858
     65        11         2         -28.8       -36     -21.6         7.5         5          10       42.25       7.46241
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10        52.5       8.10093
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10        36.5       6.86477
     68        14         2          14.4       7.2      21.6         7.5         5          10          39       7.08872
     69        15         2          28.8      21.6        36         7.5         5          10          53       8.09321
     70        16         2          43.2        36      50.4         7.5         5          10       65.75       8.86355
     71        17         2          57.6      50.4      64.8         7.5         5          10       66.75       8.77852
     72        18         2            72      64.8      79.2         7.5         5          10          77       9.46044
     73        19         2          86.4      79.2      93.6         7.5         5          10          61       8.35165
     74        20         2         100.8      93.6       108         7.5         5          10        56.5       8.03897
     75        21         2         115.2       108     122.4         7.5         5          10       50.25       7.74193
     76        22         2         129.6     122.4     136.8         7.5         5          10       36.25       6.49519
     77        23         2           144     136.8     151.2         7.5         5          10       53.25       7.52911
     78        24         2         158.4     151.2     165.6         7.5         5          10       45.25       7.06665
     79        25         2         172.8     165.6       180         7.5         5          10       49.25       7.17199
     82         1         3        -172.8      -180    -165.6        12.5        10          15        10.5       3.51781
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15       15.75       4.30842
     84         3         3          -144    -151.2    -136.8        12.5        10          15        29.5       5.71183
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15          36       6.30476
     86         5         3        -115.2    -122.4      -108        12.5        10          15       39.25       6.81451
     87         6         3        -100.8      -108     -93.6        12.5        10          15       61.25       8.49632
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15          59       8.52936
     89         8         3           -72     -79.2     -64.8        12.5        10          15        86.5       10.2286
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15        53.5       8.38898
     91        10         3         -43.2     -50.4       -36        12.5        10          15          43       7.61577
     92        11         3         -28.8       -36     -21.6        12.5        10          15          25       5.70088
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15       24.75       5.70636
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15       25.75       5.79332
     95        14         3          14.4       7.2      21.6        12.5        10          15        28.5       5.94769
     96        15         3          28.8      21.6        36        12.5        10          15          24       5.93717
     97        16         3          43.2        36      50.4        12.5        10          15       50.25       7.98044
     98        17         3          57.6      50.4      64.8        12.5        10          15        62.5       8.69626
     99        18         3            72      64.8      79.2        12.5        10          15        61.5       8.71063
    100        19         3          86.4      79.2      93.6        12.5        10          15        77.5       9.32068
    101        20         3         100.8      93.6       108        12.5        10          15       47.75       7.45403
    102        21         3         115.2       108     122.4        12.5        10          15          32       6.08276
    103        22         3         129.6     122.4     136.8        12.5        10          15          21       4.71699
    104        23         3           144     136.8     151.2        12.5        10          15       17.25        4.4088
    105        24         3         158.4     151.2     165.6        12.5        10          15        10.5       3.51781
    106        25         3         172.8     165.6       180        12.5        10          15          14       3.90512
    109         1         4        -172.8      -180    -165.6        17.5        15          20           0             0
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20       -0.25          0.25
    111         3         4          -144    -151.2    -136.8        17.5        15          20           2       1.41421
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20        7.25       2.86138
    113         5         4        -115.2    -122.4      -108        17.5        15          20          20       4.60977
    114         6         4        -100.8      -108     -93.6        17.5        15          20       24.75       5.48293
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20       33.25       6.55267
    116         8         4           -72     -79.2     -64.8        17.5        15          20        65.5       8.86707
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20       38.75       7.35272
    118        10         4         -43.2     -50.4       -36        17.5        15          20        11.5       4.56892
    119        11         4         -28.8       -36     -21.6        17.5        15          20        8.75       3.57946
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20        3.25       2.33184
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20        4.25       2.77263
    122        14         4          14.4       7.2      21.6        17.5        15          20        2.75       2.07666
    123        15         4          28.8      21.6        36        17.5        15          20        10.5       3.85681
    124        16         4          43.2        36      50.4        17.5        15          20          19       5.26783
    125        17         4          57.6      50.4      64.8        17.5        15          20       22.25        5.9739
    126        18         4            72      64.8      79.2        17.5        15          20          41       7.31437
    127        19         4          86.4      79.2      93.6        17.5        15          20          31       6.59545
    128        20         4         100.8      93.6       108        17.5        15          20       25.25       5.47152
    129        21         4         115.2       108     122.4        17.5        15          20          19           4.5
    130        22         4         129.6     122.4     136.8        17.5        15          20          12       3.64005
    131        23         4           144     136.8     151.2        17.5        15          20        2.75          1.75
    132        24         4         158.4     151.2     165.6        17.5        15          20           1             1
    133        25         4         172.8     165.6       180        17.5        15          20        0.75       1.03078
    136         1         5        -172.8      -180    -165.6        22.5        20          25           0             0
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25        -0.5      0.353553
    138         3         5          -144    -151.2    -136.8        22.5        20          25        0.75       1.03078
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25           0             0
    140         5         5        -115.2    -122.4      -108        22.5        20          25           2       1.41421
    141         6         5        -100.8      -108     -93.6        22.5        20          25        7.25       2.86138
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25        3.75        3.0104
    143         8         5           -72     -79.2     -64.8        22.5        20          25       24.75       5.59576
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25        16.5       4.70372
    145        10         5         -43.2     -50.4       -36        22.5        20          25        4.75          2.75
    146        11         5         -28.8       -36     -21.6        22.5        20          25        -0.5      0.353553
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25           1             1
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25           0             0
    149        14         5          14.4       7.2      21.6        22.5        20          25           1             1
    150        15         5          28.8      21.6        36        22.5        20          25         1.5       1.83712
    151        16         5          43.2        36      50.4        22.5        20          25           7       2.87228
    152        17         5          57.6      50.4      64.8        22.5        20          25       10.75        3.8487
    153        18         5            72      64.8      79.2        22.5        20          25       16.25       4.57575
    154        19         5          86.4      79.2      93.6        22.5        20          25         7.5        3.2596
    155        20         5         100.8      93.6       108        22.5        20          25        7.75       3.05164
    156        21         5         115.2       108     122.4        22.5        20          25        0.75       1.03078
    157        22         5         129.6     122.4     136.8        22.5        20          25         0.5       1.06066
    158        23         5           144     136.8     151.2        22.5        20          25           0             0
    159        24         5         158.4     151.2     165.6        22.5        20          25           0             0
    160        25         5         172.8     165.6       180        22.5        20          25           0             0
    163         1         6        -172.8      -180    -165.6        27.5        25          30           0             0
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30           1             1
    165         3         6          -144    -151.2    -136.8        27.5        25          30           0             0
    166         4         6        -129.6    -136.8    -122.4        27.5        25          30           0             0
    167         5         6        -115.2    -122.4      -108        27.5        25          30           0             0
    168         6         6        -100.8      -108     -93.6        27.5        25          30           0             0
    169         7         6         -86.4     -93.6     -79.2        27.5        25          30           1             1
    170         8         6           -72     -79.2     -64.8        27.5        25          30        2.25       1.78536
    171         9         6         -57.6     -64.8     -50.4        27.5        25          30        0.75       1.03078
    172        10         6         -43.2     -50.4       -36        27.5        25          30           0             0
    173        11         6         -28.8       -36     -21.6        27.5        25          30           0             0
    174        12         6         -14.4     -21.6      -7.2        27.5        25          30           0             0
    175        13         6   1.42109e-14      -7.2       7.2        27.5        25          30           0             0
    176        14         6          14.4       7.2      21.6        27.5        25          30           0             0
    177        15         6          28.8      21.6        36        27.5        25          30           0             0
    178        16         6          43.2        36      50.4        27.5        25          30        2.75          1.75
    179        17         6          57.6      50.4      64.8        27.5        25          30       -1.25      0.559017
    180        18         6            72      64.8      79.2        27.5        25          30        0.75       1.03078
    181        19         6          86.4      79.2      93.6        27.5        25          30           2       1.41421
    182        20         6         100.8      93.6       108        27.5        25          30           0             0
    183        21         6         115.2       108     122.4        27.5        25          30           0             0
    184        22         6         129.6     122.4     136.8        27.5        25          30           0             0
    185        23         6           144     136.8     151.2        27.5        25          30       -0.25          0.25
    186        24         6         158.4     151.2     165.6        27.5        25          30           0             0
    187        25         6         172.8     165.6       180        27.5        25          30           0             0
    190         1         7        -172.8      -180    -165.6        32.5        30          35           0             0
    191         2         7        -158.4    -165.6    -151.2        32.5        30          35           0             0
    192         3         7          -144    -151.2    -136.8        32.5        30          35           0             0
    193         4         7        -129.6    -136.8    -122.4        32.5        30          35           0             0
    194         5         7        -115.2    -122.4      -108        32.5        30          35           0             0
    195         6         7        -100.8      -108     -93.6        32.5        30          35           0             0
    196         7         7         -86.4     -93.6     -79.2        32.5        30          35           1             1
    197         8         7           -72     -79.2     -64.8        32.5        30          35           0             0
    198         9         7         -57.6     -64.8     -50.4        32.5        30          35           0             0
    199        10         7         -43.2     -50.4       -36        32.5        30          35       -0.25          0.25
    200        11         7         -28.8       -36     -21.6        32.5        30          35           0             0
    201        12         7         -14.4     -21.6      -7.2        32.5        30          35           0             0
    202        13         7   1.42109e-14      -7.2       7.2        32.5        30          35           0             0
    203        14         7          14.4       7.2      21.6        32.5        30          35           0             0
    204        15         7          28.8      21.6        36        32.5        30          35           0             0
    205        16         7          43.2        36      50.4        32.5        30          35           0             0
    206        17         7          57.6      50.4      64.8        32.5        30          35       -0.25          0.25
    207        18         7            72      64.8      79.2        32.5        30          35       -0.25          0.25
    208        19         7          86.4      79.2      93.6        32.5        30          35       -0.25          0.25
    209        20         7         100.8      93.6       108        32.5        30          35           1             1
    210        21         7         115.2       108     122.4        32.5        30          35           0             0
    211        22         7         129.6     122.4     136.8        32.5        30          35           0             0
    212        23         7           144     136.8     151.2        32.5        30          35       -0.25          0.25
    213        24         7         158.4     151.2     165.6        32.5        30          35       -0.25          0.25
    214        25         7         172.8     165.6       180        32.5        30          35           0             0
    217         1         8        -172.8      -180    -165.6        37.5        35          40           0             0
    218         2         8        -158.4    -165.6    -151.2        37.5        35          40           0             0
    219         3         8          -144    -151.2    -136.8        37.5        35          40           0             0
    220         4         8        -129.6    -136.8    -122.4        37.5        35          40           0             0
    221         5         8        -115.2    -122.4      -108        37.5        35          40           0             0
    222         6         8        -100.8      -108     -93.6        37.5        35          40           0             0
    223         7         8         -86.4     -93.6     -79.2        37.5        35          40           0             0
