# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5     2381.25       49.3426
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5     2535.25         50.83
     30         3         1          -144    -151.2    -136.8         2.5         0           5      2639.5       51.8905
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5        2665       52.2494
     32         5         1        -115.2    -122.4      -108         2.5         0           5     2740.75       52.9133
     33         6         1        -100.8      -108     -93.6         2.5         0           5        2879       54.2586
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5     2909.25       54.5682
     35         8         1           -72     -79.2     -64.8         2.5         0           5     2749.25       53.0701
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5        2593       51.5679
     37        10         1         -43.2     -50.4       -36         2.5         0           5     2491.75       50.5303
     38        11         1         -28.8       -36     -21.6         2.5         0           5     2455.75       50.2226
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5        2352       49.1757
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5        2352       49.1503
     41        14         1          14.4       7.2      21.6         2.5         0           5     2398.25       49.5902
     42        15         1          28.8      21.6        36         2.5         0           5     2557.75       51.1914
     43        16         1          43.2        36      50.4         2.5         0           5      2537.5       51.0576
     44        17         1          57.6      50.4      64.8         2.5         0           5     2620.25       51.8526
     45        18         1            72      64.8      79.2         2.5         0           5        2799        53.528
     46        19         1          86.4      79.2      93.6         2.5         0           5     2748.25       53.0607
     47        20         1         100.8      93.6       108         2.5         0           5      2789.5       53.3749
     48        21         1         115.2       108     122.4         2.5         0           5     2757.25       53.0513
     49        22         1         129.6     122.4     136.8         2.5         0           5      2664.5       52.2027
     50        23         1           144     136.8     151.2         2.5         0           5      2527.5       50.7383
     51        24         1         158.4     151.2     165.6         2.5         0           5        2498       50.5396
     52        25         1         172.8     165.6       180         2.5         0           5     2486.75       50.3569
     55         1         2        -172.8      -180    -165.6         7.5         5          10        2911       54.5069
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10     3157.75        56.816
     57         3         2          -144    -151.2    -136.8         7.5         5          10      3749.5       61.8779
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10        4212       65.6849
     59         5         2        -115.2    -122.4      -108         7.5         5          10      5055.5       71.9018
     60         6         2        -100.8      -108     -93.6         7.5         5          10     5775.25       76.9249
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10     5867.25       77.5609
     62         8         2           -72     -79.2     -64.8         7.5         5          10     5530.75       75.3977
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10     4791.75       70.3531
     64        10         2         -43.2     -50.4       -36         7.5         5          10     3950.75       64.0395
     65        11         2         -28.8       -36     -21.6         7.5         5          10     3531.25       60.5367
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10        3087       56.6414
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10     3067.75       56.4408
     68        14         2          14.4       7.2      21.6         7.5         5          10     3062.25       56.5304
     69        15         2          28.8      21.6        36         7.5         5          10        3568       60.8626
     70        16         2          43.2        36      50.4         7.5         5          10      4075.5       64.9413
     71        17         2          57.6      50.4      64.8         7.5         5          10      4761.5       70.0598
     72        18         2            72      64.8      79.2         7.5         5          10      5035.5        71.954
     73        19         2          86.4      79.2      93.6         7.5         5          10        5355        74.103
     74        20         2         100.8      93.6       108         7.5         5          10      5056.5       71.9696
     75        21         2         115.2       108     122.4         7.5         5          10        4481       67.7292
     76        22         2         129.6     122.4     136.8         7.5         5          10        3992       63.9101
     77        23         2           144     136.8     151.2         7.5         5          10     3455.25       59.4659
     78        24         2         158.4     151.2     165.6         7.5         5          10     3126.25       56.4994
     79        25         2         172.8     165.6       180         7.5         5          10      2789.5       53.4217
     82         1         3        -172.8      -180    -165.6        12.5        10          15      858.25       29.6511
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15        1038        32.642
     84         3         3          -144    -151.2    -136.8        12.5        10          15     1484.25       38.9575
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15     2069.75       46.0713
     86         5         3        -115.2    -122.4      -108        12.5        10          15        3138       56.6944
     87         6         3        -100.8      -108     -93.6        12.5        10          15     4031.75       64.5818
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15      4614.5       69.1113
     89         8         3           -72     -79.2     -64.8        12.5        10          15      4276.5       66.6493
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15     3313.75       58.9518
     91        10         3         -43.2     -50.4       -36        12.5        10          15        2362        50.045
     92        11         3         -28.8       -36     -21.6        12.5        10          15      1704.5       42.6776
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15      1247.5       36.6145
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15     1132.25       34.8308
     95        14         3          14.4       7.2      21.6        12.5        10          15     1286.75       37.0414
     96        15         3          28.8      21.6        36        12.5        10          15     1677.75       42.2411
     97        16         3          43.2        36      50.4        12.5        10          15      2358.5       50.0912
     98        17         3          57.6      50.4      64.8        12.5        10          15     3216.25       58.0705
     99        18         3            72      64.8      79.2        12.5        10          15      3899.5       63.5915
    100        19         3          86.4      79.2      93.6        12.5        10          15      3733.5       62.1319
    101        20         3         100.8      93.6       108        12.5        10          15      3191.5       57.2898
    102        21         3         115.2       108     122.4        12.5        10          15      2417.5       49.8435
    103        22         3         129.6     122.4     136.8        12.5        10          15      1747.5       42.3601
    104        23         3           144     136.8     151.2        12.5        10          15      1306.5       36.6009
    105        24         3         158.4     151.2     165.6        12.5        10          15       987.5        31.751
    106        25         3         172.8     165.6       180        12.5        10          15       809.5       28.7902
    109         1         4        -172.8      -180    -165.6        17.5        15          20          41           6.5
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20        62.5       8.17771
    111         3         4          -144    -151.2    -136.8        17.5        15          20         130        11.619
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20         373       19.6342
