# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5         233        15.346
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5      216.75       14.9018
     30         3         1          -144    -151.2    -136.8         2.5         0           5      213.25       14.7627
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5      243.25       15.7857
     32         5         1        -115.2    -122.4      -108         2.5         0           5         252       16.0312
     33         6         1        -100.8      -108     -93.6         2.5         0           5         235       15.5322
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5      263.75       16.4031
     35         8         1           -72     -79.2     -64.8         2.5         0           5       256.5       16.1903
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5      244.25       15.7381
     37        10         1         -43.2     -50.4       -36         2.5         0           5         218       14.9332
     38        11         1         -28.8       -36     -21.6         2.5         0           5       222.5       15.1863
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5      178.75       13.5208
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5         204          14.5
     41        14         1          14.4       7.2      21.6         2.5         0           5      223.25       15.1389
     42        15         1          28.8      21.6        36         2.5         0           5      191.25       14.0868
     43        16         1          43.2        36      50.4         2.5         0           5      246.25       15.9197
     44        17         1          57.6      50.4      64.8         2.5         0           5      238.25       15.5865
     45        18         1            72      64.8      79.2         2.5         0           5      230.75        15.405
     46        19         1          86.4      79.2      93.6         2.5         0           5      240.75       15.6864
     47        20         1         100.8      93.6       108         2.5         0           5       224.5       15.1699
     48        21         1         115.2       108     122.4         2.5         0           5       248.5       15.8232
     49        22         1         129.6     122.4     136.8         2.5         0           5      231.25       15.2787
     50        23         1           144     136.8     151.2         2.5         0           5      213.25       14.7627
     51        24         1         158.4     151.2     165.6         2.5         0           5      205.75        14.528
     52        25         1         172.8     165.6       180         2.5         0           5       243.5       15.7837
     55         1         2        -172.8      -180    -165.6         7.5         5          10      268.25       16.5208
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10         278       16.8597
     57         3         2          -144    -151.2    -136.8         7.5         5          10      329.75       18.3388
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       418.5       20.6549
     59         5         2        -115.2    -122.4      -108         7.5         5          10      495.75        22.579
     60         6         2        -100.8      -108     -93.6         7.5         5          10      509.75       22.8049
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10       591.5       24.6399
     62         8         2           -72     -79.2     -64.8         7.5         5          10       564.5       24.0338
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10      466.75       21.9274
     64        10         2         -43.2     -50.4       -36         7.5         5          10      359.75       19.3342
     65        11         2         -28.8       -36     -21.6         7.5         5          10       323.5       18.3132
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10       303.5       17.7236
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10      273.25       16.8579
     68        14         2          14.4       7.2      21.6         7.5         5          10       293.5       17.5107
     69        15         2          28.8      21.6        36         7.5         5          10         340       18.7083
     70        16         2          43.2        36      50.4         7.5         5          10      384.75       19.8762
     71        17         2          57.6      50.4      64.8         7.5         5          10       408.5       20.4725
     72        18         2            72      64.8      79.2         7.5         5          10         413       20.6579
     73        19         2          86.4      79.2      93.6         7.5         5          10         423       20.8686
     74        20         2         100.8      93.6       108         7.5         5          10      380.75       19.7753
     75        21         2         115.2       108     122.4         7.5         5          10      379.25       19.7215
     76        22         2         129.6     122.4     136.8         7.5         5          10       330.5       18.4018
     77        23         2           144     136.8     151.2         7.5         5          10      284.75       17.0679
