# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5      210.25       14.6607
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5         218       14.9332
     30         3         1          -144    -151.2    -136.8         2.5         0           5         221       14.9917
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5       221.5       15.1121
     32         5         1        -115.2    -122.4      -108         2.5         0           5      214.75       14.8345
     33         6         1        -100.8      -108     -93.6         2.5         0           5       228.5       15.2602
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5      228.25       15.2213
     35         8         1           -72     -79.2     -64.8         2.5         0           5      211.25       14.7373
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       203.5       14.4612
     37        10         1         -43.2     -50.4       -36         2.5         0           5         203       14.3353
     38        11         1         -28.8       -36     -21.6         2.5         0           5      227.75       15.3073
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5      195.75       14.1355
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5      181.75       13.7227
     41        14         1          14.4       7.2      21.6         2.5         0           5       187.5       13.8519
     42        15         1          28.8      21.6        36         2.5         0           5         229       15.2971
     43        16         1          43.2        36      50.4         2.5         0           5      204.25       14.4114
     44        17         1          57.6      50.4      64.8         2.5         0           5         237       15.5965
     45        18         1            72      64.8      79.2         2.5         0           5       213.5       14.8029
     46        19         1          86.4      79.2      93.6         2.5         0           5       196.5       14.2171
     47        20         1         100.8      93.6       108         2.5         0           5       227.5       15.2274
     48        21         1         115.2       108     122.4         2.5         0           5      211.25       14.6948
     49        22         1         129.6     122.4     136.8         2.5         0           5      191.75       14.0379
     50        23         1           144     136.8     151.2         2.5         0           5         185       13.7386
     51        24         1         158.4     151.2     165.6         2.5         0           5      204.25       14.4547
     52        25         1         172.8     165.6       180         2.5         0           5       227.5       15.2684
     55         1         2        -172.8      -180    -165.6         7.5         5          10         248        15.906
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10         257       16.1864
     57         3         2          -144    -151.2    -136.8         7.5         5          10      304.75       17.6086
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       363.5       19.2451
     59         5         2        -115.2    -122.4      -108         7.5         5          10      379.25       19.7215
     60         6         2        -100.8      -108     -93.6         7.5         5          10      494.75       22.5569
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10       564.5       23.9818
     62         8         2           -72     -79.2     -64.8         7.5         5          10      491.25       22.4374
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10         394       20.1928
     64        10         2         -43.2     -50.4       -36         7.5         5          10       327.5        18.456
     65        11         2         -28.8       -36     -21.6         7.5         5          10      308.75       17.8623
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10      267.25       16.6414
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10      265.75       16.5397
     68        14         2          14.4       7.2      21.6         7.5         5          10         250       16.2404
     69        15         2          28.8      21.6        36         7.5         5          10      311.25       18.0537
     70        16         2          43.2        36      50.4         7.5         5          10         339       18.6815
     71        17         2          57.6      50.4      64.8         7.5         5          10      418.75        20.744
     72        18         2            72      64.8      79.2         7.5         5          10       418.5       20.6851
     73        19         2          86.4      79.2      93.6         7.5         5          10         468       21.9203
     74        20         2         100.8      93.6       108         7.5         5          10      402.75       20.3854
     75        21         2         115.2       108     122.4         7.5         5          10       404.5       20.2515
     76        22         2         129.6     122.4     136.8         7.5         5          10      284.75       17.1045
     77        23         2           144     136.8     151.2         7.5         5          10      291.75       17.2717
     78        24         2         158.4     151.2     165.6         7.5         5          10      278.25       16.8207
     79        25         2         172.8     165.6       180         7.5         5          10      234.75        15.494
     82         1         3        -172.8      -180    -165.6        12.5        10          15          65       8.13941
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15       79.75       9.01734
     84         3         3          -144    -151.2    -136.8        12.5        10          15       115.5       10.8915
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15      161.75       12.8768
     86         5         3        -115.2    -122.4      -108        12.5        10          15      290.75       17.2428
