# Kaon Beam-Spin Asymmetry (KIN-16) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  118.000000  10.920163  122.750000  11.149550  -0.019730  0.064810 
-158.40  106.750000  10.467213  110.250000  10.544547  -0.016129  0.068469 
-144.00  105.000000  10.307759  116.000000  10.828200  -0.049774  0.067565 
-129.60  146.500000  12.180928  148.000000  12.369319  -0.005093  0.058944 
-115.20  185.000000  13.784053  202.250000  14.298164  -0.044545  0.051253 
-100.80  225.000000  15.288886  237.750000  15.670434  -0.027553  0.047297 
-86.40  269.000000  16.703288  326.000000  18.296173  -0.095798  0.041465 
-72.00  290.000000  17.464247  293.250000  17.476767  -0.005572  0.042361 
-57.60  244.250000  16.130355  248.250000  16.253849  -0.008122  0.046495 
-43.20  161.500000  13.167198  180.000000  13.829312  -0.054173  0.055849 
-28.80  163.750000  13.145814  142.500000  12.424774  0.069388  0.058975 
-14.40  125.250000  11.508147  116.250000  11.053846  0.037267  0.066021 
0.00  115.750000  11.227751  104.000000  10.559354  0.053470  0.070009 
14.40  116.000000  11.056672  141.000000  12.134666  -0.097276  0.063602 
28.80  109.750000  10.957303  149.000000  12.509991  -0.151691  0.063724 
43.20  167.000000  13.351031  160.500000  13.033613  0.019847  0.056955 
57.60  249.250000  16.130332  191.500000  14.304720  0.131027  0.048568 
72.00  247.250000  16.107065  274.000000  16.852300  -0.051319  0.044678 
86.40  244.750000  15.813363  252.750000  16.103185  -0.016080  0.045358 
100.80  235.000000  15.491934  232.750000  15.429275  0.004810  0.046744 
115.20  168.000000  13.200379  184.500000  13.697631  -0.046809  0.053932 
129.60  135.250000  11.776566  167.500000  13.062345  -0.106524  0.057782 
144.00  117.500000  10.925890  136.750000  11.760634  -0.075713  0.062967 
158.40  101.000000  10.111879  108.250000  10.508924  -0.034648  0.069644 
172.80  112.250000  10.638958  128.500000  11.418190  -0.067497  0.064663 
