# Pion Beam-Spin Asymmetry (KIN-16) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  437.750000  21.049039  429.250000  20.801193  0.009804  0.034130 
-158.40  415.000000  20.463378  525.750000  22.990447  -0.117725  0.032496 
-144.00  504.750000  22.529168  532.750000  23.249991  -0.026988  0.031189 
-129.60  637.500000  25.310599  645.500000  25.468129  -0.006235  0.027986 
-115.20  745.750000  27.451067  820.250000  28.765258  -0.047573  0.025363 
-100.80  838.000000  29.098982  991.000000  31.618786  -0.083652  0.023413 
-86.40  979.000000  31.408592  1082.000000  33.045417  -0.049976  0.022092 
-72.00  866.500000  29.616306  1082.500000  33.081353  -0.110826  0.022643 
-57.60  758.750000  27.664301  867.500000  29.633202  -0.066872  0.024869 
-43.20  621.500000  25.092349  595.500000  24.568809  0.021364  0.028850 
-28.80  487.250000  22.235990  492.250000  22.376012  -0.005105  0.032205 
-14.40  384.250000  19.721512  395.250000  20.060786  -0.014112  0.036084 
0.00  373.000000  19.506443  393.750000  19.913843  -0.027062  0.036349 
14.40  406.500000  20.270059  370.250000  19.363319  0.046669  0.036052 
28.80  410.750000  20.458812  416.250000  20.547186  -0.006651  0.035061 
43.20  514.250000  22.807663  512.000000  22.737612  0.002192  0.031382 
57.60  643.250000  25.552643  537.250000  23.359927  0.089792  0.029210 
72.00  765.500000  27.836554  597.500000  24.634856  0.123258  0.027070 
86.40  739.500000  27.319868  647.000000  25.534265  0.066715  0.026909 
100.80  678.750000  26.178519  614.000000  24.879738  0.050087  0.027901 
115.20  660.250000  25.786383  571.500000  24.023406  0.072052  0.028540 
129.60  606.500000  24.715884  543.000000  23.436029  0.055241  0.029589 
144.00  483.250000  22.060970  489.250000  22.224715  -0.006170  0.032200 
158.40  486.500000  22.127459  430.000000  20.826628  0.061648  0.033095 
172.80  405.000000  20.217556  400.000000  20.062433  0.006211  0.035381 
