# Kaon Beam-Spin Asymmetry (KIN-11) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  429.500000  21.245594  450.250000  21.735605  -0.023586  0.034540 
-158.40  484.250000  22.476383  508.250000  23.139559  -0.024181  0.032489 
-144.00  543.000000  23.989544  584.000000  24.677908  -0.036380  0.030527 
-129.60  644.500000  26.127092  633.000000  25.918184  0.009002  0.028807 
-115.20  844.750000  30.063497  834.000000  29.795145  0.006404  0.025212 
-100.80  1107.250000  34.397511  1134.750000  34.965151  -0.012266  0.021874 
-86.40  1400.000000  39.035269  1389.250000  38.845016  0.003854  0.019743 
-72.00  1384.250000  39.578234  1475.500000  40.572437  -0.031908  0.019814 
-57.60  1170.000000  36.776307  1196.250000  37.093672  -0.011094  0.022074 
-43.20  883.750000  32.215062  912.250000  32.587419  -0.015869  0.025512 
-28.80  720.250000  28.786933  727.500000  28.885562  -0.005008  0.028168 
-14.40  609.750000  26.600016  596.250000  26.404339  0.011194  0.031077 
0.00  615.000000  26.504704  551.500000  25.438634  0.054436  0.031470 
14.40  583.500000  25.891581  622.000000  26.706700  -0.031937  0.030841 
28.80  657.750000  27.600952  683.750000  28.068040  -0.019381  0.029340 
43.20  810.250000  30.780515  876.500000  31.813920  -0.039277  0.026230 
57.60  1123.500000  35.904402  1008.000000  34.066076  0.054187  0.023188 
72.00  1300.500000  38.077192  1204.750000  36.743169  0.038220  0.021108 
86.40  1271.500000  37.193745  1203.000000  36.114406  0.027682  0.020942 
100.80  986.750000  32.474008  989.500000  32.731885  -0.001392  0.023331 
115.20  861.250000  30.223169  801.000000  29.257476  0.036246  0.025293 
129.60  627.500000  25.848132  658.500000  26.393646  -0.024106  0.028721 
144.00  524.750000  23.533228  483.500000  22.729363  0.040912  0.032431 
158.40  443.250000  21.660740  454.250000  21.884650  -0.012256  0.034306 
172.80  446.750000  21.726979  461.250000  22.072370  -0.015969  0.034106 
