#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
# BCM4A  | Beam Current Threshold: > 10.00 uA 
#                                     
# DAQ Mode: coin | Trigger: trig5              
# electron arm: HMS                        
#                                              
#---Acceptance Cuts--- 
# SHMS Momentum Acceptance (P.gtr.dp): [-10.000, 22.000] %
# HMS  Momentum Acceptance (H.gtr.dp): [-8.000, 8.000] %
#                                     
# ---Particle Identification (PID) Cuts---
# NOTE: Coincidence time background selection is done by averaging a sample (left) and (right) of the main coincidence peak, where the sample is assumed to have the same structure on both sides.
# The sample background is then scaled to the background underneath the main coin peak, and subtracted.
#                                              
# --> electrons (HMS): 
# HMS Cherenkov NPE Sum (H.cer.npeSum) >= 2.000
# HMS Calorimeter (H.cal.etottracknorm) Etot/Etrak >= 0.800
#                                              
# --> Kaons     (SHMS): 
# SHMS Aerogel NPE Sum   (P.aero.npeSum)  >= 1.500
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) <= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.700, 1.300]
# eK Coincidence Time (CTime.eKCoinTime_ROC2): abs( eK_coin_peak - offset(43.800) ) <= 3.100 ns
# eK Coincidence Time Background: abs( eK_coin_peak - offset(43.800) ) > 3.100 && abs( eK_coin_peak - offset(43.800) ) <= (5.000 x 3.100) ns
# Kaon Missing Mass: [1.070, 1.140] GeV/c^2
#                                              
# --> Pions     (SHMS): 
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) >= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.500, 1.500]
# ePi Coincidence Time (CTime.ePiCoinTime_ROC2): abs( ePi_coin_peak - offset(43.700) ) <= 2.600 ns
# ePi Coincidence Time Background: abs( ePi_coin_peak - offset(43.700) ) > 2.600 && abs( ePi_coin_peak - offset(43.700) ) <= (5.000 x 2.600) ns
# Pion Missing Mass: [0.890, 0.980] GeV/c^2
#                                              
# --> Protons   (SHMS): 
# SHMS Aerogel NPE Sum   (P.aero.npeSum)  <= 1.500
# SHMS Heavy Gas NPE Sum (P.hgcer.npeSum) <= 1.500
# SHMS Hodoscope Beta    (P.gtr.beta):  [0.500, 1.500]
# eP Coincidence Time (CTime.epCoinTime_ROC2): abs( eP_coin_peak - offset(44.100) ) <= 2.500 ns
# eP Coincidence Time Background: abs( eP_coin_peak - offset(44.100) ) > 2.500 && abs( eP_coin_peak - offset(44.100) ) <= (5.000 x 2.500) ns
# Proton Missing Mass: [-0.300, 0.300] GeV/c^2
#                       
# Units: charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
#! Run[i,0]/             charge[f,1]/        avg_current[f,2]/            hTrkEff[f,3]/        hTrkEff_err[f,4]/            pTrkEff[f,5]/        pTrkEff_err[f,6]/    tgt_boil_factor[f,7]/     tgt_boil_factor_err[f,8]/      hadAbs_factor[f,9]/      hadAbs_factor_err[f,10]/             cpuLT[f,11]/      cpuLT_err_Bi[f,12]/     cpuLT_err_Bay[f,13]/               tLT[f,14]/        tLT_err_Bi[f,15]/       tLT_err_Bay[f,16]/          S1X_rate[f,17]/     shms_Ps1_3of4_rate[f,18]/    hms_Ps3_elreal_rate[f,19]/     coin_Ps5_rate[f,18]/         edtm_rate[f,19]/        Ps1_factor[f,20]/        Ps3_factor[f,21]/        Ps5_factor[f,22]/       hTrkEff_pos[f,23]/   hTrkEff_err_pos[f,24]/       hTrkEff_neg[f,25]/   hTrkEff_err_neg[f,26]/       pTrkEff_pos[f,27]/   pTrkEff_err_pos[f,28]/       pTrkEff_neg[f,29]/   pTrkEff_err_neg[f,30]/         edtm_accp[f,31]/       edtm_scaler[f,32]/        trig5_accp[f,33]/      trig5_scaler[f,34]/
   4925                  75.3828                  31.6312                 0.993936              5.24826e-05                 0.935302              0.000351538                        1                       -1                        1                       -1                 0.847872               0.00012495               0.00012495                 0.830067               0.00243311               0.00243311                  1539.41                         630.6                       59.9671                  3.46665                 0.009998                     4097                     1025                        1                 0.993956              7.49092e-05                 0.993912              7.48193e-05                 0.935201              0.000503654                 0.935337              0.000499283                    19778                    23827              7.00481e+06              8.26163e+06
   4926                  76.2885                  32.3899                 0.993886              5.19052e-05                 0.934289              0.000353119                        1                       -1                        1                       -1                 0.853122              0.000121572              0.000121572                 0.832251               0.00243464               0.00243465                  1604.77                       645.786                       61.4793                  3.59958               0.00999993                     8193                     1025                        1                 0.993924              7.37726e-05                 0.993842              7.41779e-05                 0.934651              0.000502667                   0.9339              0.000503629                    19602                    23553               7.2329e+06              8.47816e+06
   4927                  74.5209                   33.127                 0.993843              5.25547e-05                 0.933018              0.000360833                        1                       -1                        1                       -1                 0.849924              0.000123465              0.000123465                 0.821552               0.00255293               0.00255292                  3507.11                       660.345                       62.8934                  3.71969               0.00999933                     8193                     1025                        1                 0.993766              7.55046e-05                 0.993906              7.44653e-05                 0.933014              0.000515736                 0.933071               0.00051323                    18480                    22494              7.11186e+06              8.36764e+06
   4928                  75.9499                  30.9207                 0.993912              5.22512e-05                 0.934472              0.000355234                        1                       -1                        1                       -1                 0.853544               0.00012257               0.00012257                 0.843188               0.00232036               0.00232039                  1500.24                       616.326                       58.7624                  3.38754               0.00999806                     8193                     1025                        1                 0.993964              7.41886e-05                 0.993884              7.46835e-05                 0.934695              0.000505569                  0.93414              0.000508103                    20707                    24558              7.10211e+06              8.32073e+06
   4929                  74.4469                  33.5123                 0.993765              5.28804e-05                 0.933177              0.000361096                        1                       -1                        1                       -1                 0.846848              0.000124245              0.000124245                 0.818313               0.00258707               0.00258706                  1622.76                       667.839                        63.575                  3.78204               0.00999962                     8193                     1025                        1                 0.993758                 7.56e-05                 0.993748              7.53674e-05                  0.93326              0.000515403                 0.933068              0.000514448                    18178                    22214                7.115e+06              8.40174e+06
   4930                  81.3581                  33.5219                 0.993795               5.3177e-05                 0.933002              0.000364758                        1                       -1                        1                       -1                  0.75976              0.000140833              0.000140833                 0.737308               0.00282508               0.00282497                  1623.89                       668.862                       63.6622                  3.79176               0.00999912                     8193                     1025                        1                 0.993862              7.54413e-05                 0.993735              7.61794e-05                 0.932653              0.000521588                 0.933092              0.000519884                    17893                    24268              6.99181e+06              9.20265e+06
   4931                  70.8378                  33.6182                 0.993745              5.42454e-05                 0.933046              0.000370399                        1                       -1                        1                       -1                 0.846377              0.000127425              0.000127425                 0.821034               0.00264073               0.00264072                  1626.62                        670.16                       63.7643                  3.80033               0.00999987                     8193                     1025                        1                 0.993803              7.70482e-05                 0.993698              7.74721e-05                 0.933125              0.000528329                 0.933118              0.000526698                    17300                    21071               6.7776e+06              8.00778e+06
   4932                  70.4967                  33.4393                  0.99372              5.45139e-05                 0.933412               0.00037053                        1                       -1                        1                       -1                 0.844845              0.000128119              0.000128119                 0.819277               0.00265012               0.00265011                  1620.54                       667.729                       63.6096                  3.78794                     0.01                     8193                     1025                        1                 0.993756              7.74536e-05                 0.993672              7.79634e-05                 0.933497              0.000527533                 0.933239               0.00052882                    17272                    21082              6.74669e+06              7.98572e+06
   4933                  73.8459                  33.5086                 0.993749              5.31105e-05                 0.933001              0.000362715                        1                       -1                        1                       -1                 0.843877              0.000125443              0.000125443                 0.811607               0.00263396               0.00263394                  1624.59                       669.028                       63.7241                  3.79911                0.0100005                     8193                     1025                        1                 0.993755              7.56884e-05                 0.993733              7.58793e-05                 0.932846              0.000518044                 0.933147              0.000516673                    17887                    22039              7.06531e+06              8.37244e+06
   4934                  74.3655                  33.9427                 0.993756              5.28889e-05                 0.931992              0.000365399                        1                       -1                        1                       -1                 0.842895              0.000125247              0.000125247                 0.813319               0.00263251               0.00263248                   1637.8                       676.334                       64.3437                  3.85301               0.00999993                     8193                     1025                        1                 0.993701              7.58195e-05                 0.993793              7.51378e-05                 0.931462              0.000523818                 0.932537              0.000518227                    17819                    21909              7.11541e+06              8.44163e+06
