# Kaon Beam-Spin Asymmetry (KIN-6) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  22.750000  5.414105  13.500000  4.373209  0.255172  0.187895 
-158.40  13.750000  4.506940  21.750000  5.202165  -0.225352  0.192579 
-144.00  23.500000  5.623615  31.000000  6.000003  -0.137615  0.150974 
-129.60  29.000000  5.830952  26.250000  5.782519  0.049774  0.148756 
-115.20  29.750000  6.619099  47.250000  7.870033  -0.227273  0.131787 
-100.80  117.000000  11.757973  66.250000  9.337421  0.276944  0.079912 
-86.40  210.750000  16.079897  221.000000  16.424076  -0.023741  0.053225 
-72.00  571.750000  26.614133  587.250000  26.938607  -0.013374  0.032671 
-57.60  1352.500000  42.668767  1429.250000  43.862764  -0.027591  0.021990 
-43.20  2590.000000  63.344306  2637.750000  64.211091  -0.009134  0.017252 
-28.80  3501.750000  75.545073  3518.250000  75.839850  -0.002350  0.015249 
-14.40  3627.500000  78.010423  3606.000000  78.308703  0.002972  0.015281 
0.00  3918.500000  80.539586  3921.000000  80.760474  -0.000319  0.014549 
14.40  3577.250000  77.262195  3353.750000  76.069476  0.032246  0.015644 
28.80  3184.500000  72.526694  2983.250000  71.206974  0.032629  0.016478 
43.20  2266.500000  59.062421  2253.000000  59.186150  0.002987  0.018501 
57.60  1202.250000  39.992966  1049.500000  38.374771  0.067836  0.024602 
72.00  484.000000  24.829420  489.500000  25.127200  -0.005650  0.036285 
86.40  191.750000  15.396832  213.750000  16.326742  -0.054254  0.055249 
100.80  94.500000  10.902977  103.500000  11.252776  -0.045455  0.079102 
115.20  67.000000  8.916275  58.750000  8.605960  0.065606  0.098528 
129.60  31.250000  6.398240  21.250000  5.448623  0.190476  0.158109 
144.00  31.500000  6.490380  23.750000  5.836314  0.140271  0.157190 
158.40  26.750000  5.550903  12.250000  4.115516  0.371795  0.170147 
172.80  25.250000  5.584576  23.500000  5.396755  0.035897  0.159212 
