#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
# BCM4A  | Beam Current Threshold: > 10.00 uA 
#                                     
# DAQ Mode: coin | Trigger: trig5              
# electron arm: HMS                        
#                                              
#---Cuts still need to be defined (testing for now) . . . --- 
#                       
# Units: charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
#! Run[i,0]/             charge[f,1]/        avg_current[f,2]/            hTrkEff[f,3]/        hTrkEff_err[f,4]/            pTrkEff[f,5]/        pTrkEff_err[f,6]/    tgt_boil_factor[f,7]/      tgt_boil_factor_err[f,8]/      hadAbs_factor[f,9]/      hadAbs_factor_err[f,10]/             cpuLT[f,11]/         cpuLT_err[f,12]/               tLT[f,13]/           tLT_err[f,14]/          S1X_rate[f,15]/     shms_Ps1_3of4_rate[f,16]/     hms_Ps3_elreal_rate[f,17]/     coin_Ps5_rate[f,18]/         edtm_rate[f,19]/        Ps1_factor[f,20]/        Ps3_factor[f,21]/        Ps5_factor[f,22]/       hTrkEff_pos[f,23]/   hTrkEff_err_pos[f,24]/       hTrkEff_neg[f,25]/   hTrkEff_err_neg[f,26]/       pTrkEff_pos[f,27]/   pTrkEff_err_pos[f,28]/       pTrkEff_neg[f,29]/   pTrkEff_err_neg[f,30]/
   4982                  20.0485                  38.2032                 0.997798               0.00031146                 0.971795               0.00219577                        1                       -1                        1                       -1                   1.0037                       -1                  1.63193                       -1                  459.653                       62.9131                       6.25082                0.0644626                0.0100022                     1025                      129                        1                 0.997751              0.000449883                 0.997916              0.000434641                 0.969782               0.00325847                 0.974144                0.0030057
   4983                  4.96015                  53.5925                 0.997943              0.000570589                 0.960854               0.00527843                        1                       -1                        1                       -1                  1.00135                       -1                 0.985946                       -1                  776.565                       104.671                       9.00383                 0.119737               0.00999427                     1025                      129                        1                 0.998661              0.000669568                 0.997311              0.000950732                 0.960961               0.00765619                 0.963359               0.00747936
   4984                  20.6138                   36.755                 0.998034              0.000293037                 0.970474               0.00223195                        1                       -1                        1                       -1                  1.00485                       -1                   1.3177                       -1                  441.469                       59.9966                        6.0005                0.0598794                 0.010001                     1025                      129                        1                 0.998579              0.000355208                 0.997383              0.000485982                 0.968198               0.00335224                 0.972363               0.00305203
   4985                  20.5975                  30.1517                  0.99872              0.000237619                 0.975152               0.00207789                        1                       -1                        1                       -1                  1.00594                       -1                  1.38867                       -1                  357.037                       48.6273                       4.92662                0.0466104               0.00999955                     1025                      129                        1                 0.998564               0.00035897                 0.998821              0.000327004                   0.9708               0.00324441                 0.978836               0.00273226
   4986                  19.5131                  22.8996                 0.998572              0.000269892                 0.977574                0.0020304                        1                       -1                        1                       -1                  1.00623                       -1                   2.3187                       -1                   265.55                        35.844                       3.73992                0.0299373                 0.010001                     1025                      129                        1                 0.997916              0.000465993                 0.999168              0.000294199                 0.977391               0.00289483                 0.977195               0.00294412
   4987                  21.1998                    17.29                 0.998456              0.000272883                 0.976115               0.00199038                        1                       -1                        1                       -1                  1.01052                       -1                  1.21856                       -1                  205.592                       26.9813                        2.8335                0.0205386                0.0100006                     1025                      129                        1                 0.998526                0.0003806                 0.998335              0.000403909                 0.975162               0.00290711                 0.976214               0.00282283
   4990                  15.5452                  39.1914                 0.997566              0.000309076                 0.970356               0.00255137                        1                       -1                        1                       -1                  1.01442                       -1                  1.51273                       -1                  485.322                       66.0712                       6.40957                 0.070816                0.0100013                     1025                       65                        1                 0.997912              0.000409494                 0.997328              0.000465109                 0.969945               0.00369947                 0.969507               0.00369785
   4991                  15.3955                  51.4179                 0.997477              0.000312891                 0.962327                0.0028979                        1                       -1                        1                       -1                  1.00238                       -1                  1.09149                       -1                  655.105                       90.5961                       8.46904                  0.10523                0.0100027                     1025                       65                        1                 0.997504              0.000448326                  0.99738              0.000456135                 0.958045               0.00439806                 0.966908               0.00387308
   4995                  13.8122                  53.3098                 0.997363              0.000327136                 0.961884               0.00304199                        1                       -1                        1                       -1                  1.01435                       -1                  1.29282                       -1                  739.966                        105.13                       8.90234                 0.130475                0.0100041                     1025                       65                        1                 0.997587              0.000448054                 0.997078               0.00049383                  0.95858               0.00451931                 0.965657               0.00416475
   4996                  14.4755                  53.4967                 0.998203              0.000267835                 0.964876               0.00285839                        1                       -1                        1                       -1                  1.00354                       -1                  1.23845                       -1                  724.369                       100.662                       8.90026                 0.122164               0.00999679                     1025                       65                        1                 0.998366               0.00036546                 0.997983              0.000403421                 0.964149                0.0041397                 0.964419               0.00408137
   4997                  14.4292                  53.7791                 0.998071              0.000278364                 0.959674               0.00311125                        1                       -1                        1                       -1                  1.00262                       -1                  1.67996                       -1                  719.133                       100.398                       8.91316                 0.122211                0.0100035                     1025                       65                        1                 0.998082              0.000399986                 0.998181              0.000387862                 0.953194               0.00477716                 0.965046               0.00420802
   4998                    13.91                  55.7032                 0.997645              0.000309182                 0.960128               0.00313264                        1                       -1                        1                       -1                  1.00143                       -1                  1.13296                       -1                  812.411                       112.903                       9.36562                 0.136967               0.00999932                     1025                       65                        1                 0.997574              0.000450528                 0.997643              0.000445525                 0.958078               0.00462954                 0.960526               0.00446951
