# Pion Beam-Spin Asymmetry (KIN-7) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  19.750000  4.479120  24.500000  5.012482  -0.107345  0.150959 
-158.40  26.750000  5.202159  17.000000  4.123110  0.222857  0.147718 
-144.00  26.500000  5.208164  36.000000  5.999997  -0.152000  0.125868 
-129.60  43.750000  6.637955  35.500000  6.113508  0.104101  0.113514 
-115.20  70.500000  8.433563  74.000000  8.602325  -0.024221  0.083353 
-100.80  148.000000  12.216795  163.750000  12.857386  -0.050521  0.056817 
-86.40  327.250000  18.253393  323.750000  18.105581  0.005376  0.039492 
-72.00  786.500000  28.233430  853.500000  29.395982  -0.040854  0.024832 
-57.60  1571.000000  40.028102  1713.750000  41.806859  -0.043458  0.017604 
-43.20  2654.750000  52.381406  2869.750000  54.429434  -0.038918  0.013664 
-28.80  3435.500000  60.155029  3639.750000  61.857193  -0.028868  0.012190 
-14.40  3966.750000  64.823347  4049.000000  65.414053  -0.010261  0.011489 
0.00  4165.500000  66.350401  4205.000000  66.745807  -0.004719  0.011243 
14.40  3720.500000  62.818158  3494.750000  60.920555  0.031288  0.012122 
28.80  3191.750000  57.907811  2926.000000  55.652978  0.043439  0.013118 
43.20  2085.750000  46.473782  2074.250000  46.343143  0.002764  0.015777 
57.60  1146.500000  34.236338  1072.000000  33.102141  0.033581  0.021454 
72.00  637.500000  25.409165  509.250000  22.752760  0.111838  0.029562 
86.40  271.250000  16.611361  243.000000  15.708304  0.054934  0.044388 
100.80  124.250000  11.188718  132.250000  11.594722  -0.031189  0.062779 
115.20  78.000000  8.902245  69.000000  8.306627  0.061224  0.082633 
129.60  50.500000  7.150176  37.750000  6.169483  0.144476  0.105859 
144.00  25.250000  5.117369  19.500000  4.486088  0.128492  0.150766 
158.40  17.500000  4.257343  18.500000  4.373209  -0.027778  0.169474 
172.80  22.000000  4.690419  26.750000  5.202159  -0.097436  0.142917 
