# Pion Beam-Spin Asymmetry (KIN-7)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  19.750000  4.479120  22.750000  4.802340  -0.070588  0.154143 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  23.750000  4.905350  17.000000  4.123110  0.165644  0.154911 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  22.750000  4.802340  31.000000  5.567760  -0.153488  0.135315 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  30.750000  5.573370  28.500000  5.511350  0.037975  0.132330 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  36.500000  6.093030  46.000000  6.782330  -0.115152  0.109885 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  57.500000  7.623980  57.000000  7.549830  0.004367  0.093705 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  75.000000  8.732120  74.750000  8.663860  0.001669  0.082142 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  84.000000  9.233090  123.750000  11.138300  -0.191336  0.068433 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  102.750000  10.213300  138.750000  11.845400  -0.149068  0.064059 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  127.750000  11.371600  127.500000  11.319200  0.000979  0.062859 
38  11  1  -28.80  -36.00  -21.60  2.50  0.00  5.00  144.500000  12.098600  148.250000  12.265300  -0.012810  0.058844 
39  12  1  -14.40  -21.60  -7.20  2.50  0.00  5.00  179.750000  13.465200  167.750000  13.060000  0.034532  0.053956 
40  13  1  0.00  -7.20  7.20  2.50  0.00  5.00  173.500000  13.242900  159.500000  12.703300  0.042042  0.055060 
41  14  1  14.40  7.20  21.60  2.50  0.00  5.00  167.000000  12.971100  152.750000  12.422300  0.044566  0.056117 
42  15  1  28.80  21.60  36.00  2.50  0.00  5.00  150.750000  12.341500  149.000000  12.257700  0.005838  0.058028 
43  16  1  43.20  36.00  50.40  2.50  0.00  5.00  114.750000  10.784800  122.500000  11.152400  -0.032666  0.065355 
44  17  1  57.60  50.40  64.80  2.50  0.00  5.00  92.500000  9.650130  108.000000  10.452300  -0.077307  0.070727 
45  18  1  72.00  64.80  79.20  2.50  0.00  5.00  101.000000  10.111900  81.000000  9.000000  0.109890  0.073879 
46  19  1  86.40  79.20  93.60  2.50  0.00  5.00  66.750000  8.189170  65.000000  8.062260  0.013283  0.087214 
47  20  1  100.80  93.60  108.00  2.50  0.00  5.00  56.750000  7.553970  57.500000  7.623980  -0.006565  0.093935 
48  21  1  115.20  108.00  122.40  2.50  0.00  5.00  44.000000  6.633250  43.000000  6.557440  0.011494  0.107204 
49  22  1  129.60  122.40  136.80  2.50  0.00  5.00  36.750000  6.087900  24.000000  4.898980  0.209877  0.125653 
50  23  1  144.00  136.80  151.20  2.50  0.00  5.00  21.750000  4.697070  15.000000  3.872980  0.183673  0.162625 
51  24  1  158.40  151.20  165.60  2.50  0.00  5.00  14.750000  3.881040  15.750000  4.007800  -0.032787  0.182823 
52  25  1  172.80  165.60  180.00  2.50  0.00  5.00  20.000000  4.472140  23.750000  4.905350  -0.085714  0.151082 
55  1  2  -172.80  -180.00  -165.60  7.50  5.00  10.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
56  2  2  -158.40  -165.60  -151.20  7.50  5.00  10.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
57  3  2  -144.00  -151.20  -136.80  7.50  5.00  10.00  4.000000  2.000000  5.000000  2.236070  -0.111111  0.331269 
58  4  2  -129.60  -136.80  -122.40  7.50  5.00  10.00  13.000000  3.605550  6.000000  2.449490  0.368421  0.213278 
59  5  2  -115.20  -122.40  -108.00  7.50  5.00  10.00  33.000000  5.744560  25.000000  5.000000  0.137931  0.130051 
60  6  2  -100.80  -108.00  -93.60  7.50  5.00  10.00  73.750000  8.605960  88.250000  9.443910  -0.089506  0.078531 
61  7  2  -86.40  -93.60  -79.20  7.50  5.00  10.00  148.000000  12.267800  123.750000  11.194300  0.089236  0.060858 
62  8  2  -72.00  -79.20  -64.80  7.50  5.00  10.00  253.250000  16.021500  276.000000  16.688300  -0.042985  0.043675 
63  9  2  -57.60  -64.80  -50.40  7.50  5.00  10.00  406.250000  20.302400  443.000000  21.195500  -0.043273  0.034528 
64  10  2  -43.20  -50.40  -36.00  7.50  5.00  10.00  562.750000  23.834100  555.750000  23.686800  0.006258  0.030042 
65  11  2  -28.80  -36.00  -21.60  7.50  5.00  10.00  652.250000  25.752400  648.750000  25.696500  0.002690  0.027963 
66  12  2  -14.40  -21.60  -7.20  7.50  5.00  10.00  748.750000  27.619100  796.000000  28.434100  -0.030587  0.025650 
67  13  2  0.00  -7.20  7.20  7.50  5.00  10.00  754.500000  27.615700  707.000000  26.823500  0.032501  0.026331 
68  14  2  14.40  7.20  21.60  7.50  5.00  10.00  661.750000  26.020400  641.000000  25.539200  0.015928  0.027982 
69  15  2  28.80  21.60  36.00  7.50  5.00  10.00  567.000000  23.942600  548.500000  23.672200  0.016584  0.030182 
70  16  2  43.20  36.00  50.40  7.50  5.00  10.00  440.000000  21.095000  441.250000  21.176300  -0.001418  0.033918 
71  17  2  57.60  50.40  64.80  7.50  5.00  10.00  332.500000  18.320100  311.750000  17.771100  0.032208  0.039599 
72  18  2  72.00  64.80  79.20  7.50  5.00  10.00  224.250000  15.047800  199.250000  14.192900  0.059032  0.048760 
73  19  2  86.40  79.20  93.60  7.50  5.00  10.00  126.750000  11.327500  105.750000  10.298700  0.090323  0.065550 
74  20  2  100.80  93.60  108.00  7.50  5.00  10.00  50.500000  7.150170  60.750000  7.814250  -0.092135  0.094834 
75  21  2  115.20  108.00  122.40  7.50  5.00  10.00  26.750000  5.202160  22.000000  4.690420  0.097436  0.142917 
76  22  2  129.60  122.40  136.80  7.50  5.00  10.00  12.000000  3.464100  10.000000  3.162280  0.090909  0.212318 
77  23  2  144.00  136.80  151.20  7.50  5.00  10.00  2.750000  1.750000  5.000000  2.236070  -0.290323  0.356117 
78  24  2  158.40  151.20  165.60  7.50  5.00  10.00  2.000000  1.414210  3.000000  1.732050  -0.200000  0.438177 
79  25  2  172.80  165.60  180.00  7.50  5.00  10.00  2.000000  1.414210  3.000000  1.732050  -0.200000  0.438177 
82  1  3  -172.80  -180.00  -165.60  12.50  10.00  15.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
83  2  3  -158.40  -165.60  -151.20  12.50  10.00  15.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
84  3  3  -144.00  -151.20  -136.80  12.50  10.00  15.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
85  4  3  -129.60  -136.80  -122.40  12.50  10.00  15.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
86  5  3  -115.20  -122.40  -108.00  12.50  10.00  15.00  1.000000  1.000000  3.000000  1.732050  -0.500000  0.433013 
87  6  3  -100.80  -108.00  -93.60  12.50  10.00  15.00  14.750000  3.881040  17.750000  4.250000  -0.092308  0.176363 
88  7  3  -86.40  -93.60  -79.20  12.50  10.00  15.00  90.750000  9.607940  99.750000  10.065400  -0.047244  0.072965 
89  8  3  -72.00  -79.20  -64.80  12.50  10.00  15.00  270.500000  16.541600  258.750000  16.250000  0.022201  0.043807 
90  9  3  -57.60  -64.80  -50.40  12.50  10.00  15.00  491.250000  22.325700  538.750000  23.378700  -0.046117  0.031352 
91  10  3  -43.20  -50.40  -36.00  12.50  10.00  15.00  758.250000  27.891500  820.250000  28.916900  -0.039278  0.025436 
92  11  3  -28.80  -36.00  -21.60  12.50  10.00  15.00  1003.250000  32.081000  1020.250000  32.460600  -0.008401  0.022553 
93  12  3  -14.40  -21.60  -7.20  12.50  10.00  15.00  1189.250000  35.038400  1192.750000  35.061600  -0.001469  0.020809 
94  13  3  0.00  -7.20  7.20  12.50  10.00  15.00  1285.000000  36.331800  1323.500000  36.849400  -0.014759  0.019836 
95  14  3  14.40  7.20  21.60  12.50  10.00  15.00  1063.250000  33.040700  1041.000000  32.630500  0.010574  0.022067 
96  15  3  28.80  21.60  36.00  12.50  10.00  15.00  865.750000  29.787800  761.250000  27.990000  0.064229  0.025074 
97  16  3  43.20  36.00  50.40  12.50  10.00  15.00  611.000000  24.970000  555.500000  23.767100  0.047578  0.029516 
98  17  3  57.60  50.40  64.80  12.50  10.00  15.00  379.000000  19.627800  353.000000  18.953900  0.035519  0.037253 
99  18  3  72.00  64.80  79.20  12.50  10.00  15.00  200.500000  14.225900  161.000000  12.786700  0.109267  0.052613 
100  19  3  86.40  79.20  93.60  12.50  10.00  15.00  64.500000  8.070010  62.250000  7.949060  0.017751  0.089359 
101  20  3  100.80  93.60  108.00  12.50  10.00  15.00  14.000000  3.741660  10.750000  3.326030  0.131313  0.200899 
102  21  3  115.20  108.00  122.40  12.50  10.00  15.00  4.000000  2.000000  1.000000  1.000000  0.600000  0.357771 
103  22  3  129.60  122.40  136.80  12.50  10.00  15.00  1.000000  1.000000  1.000000  1.000000  0.000000  0.707107 
104  23  3  144.00  136.80  151.20  12.50  10.00  15.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
105  24  3  158.40  151.20  165.60  12.50  10.00  15.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
106  25  3  172.80  165.60  180.00  12.50  10.00  15.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
109  1  4  -172.80  -180.00  -165.60  17.50  15.00  20.00  0.000000  0.000000  0.750000  1.030780  -1.000000  0.000000 
110  2  4  -158.40  -165.60  -151.20  17.50  15.00  20.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
111  3  4  -144.00  -151.20  -136.80  17.50  15.00  20.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
112  4  4  -129.60  -136.80  -122.40  17.50  15.00  20.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
113  5  4  -115.20  -122.40  -108.00  17.50  15.00  20.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
114  6  4  -100.80  -108.00  -93.60  17.50  15.00  20.00  2.000000  1.414210  0.000000  0.000000  1.000000  0.000000 
115  7  4  -86.40  -93.60  -79.20  17.50  15.00  20.00  12.750000  3.614210  23.750000  4.905350  -0.301370  0.159439 
116  8  4  -72.00  -79.20  -64.80  17.50  15.00  20.00  144.500000  12.098600  163.750000  12.857400  -0.062449  0.057168 
