#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
# BCM4A  | Beam Current Threshold: > 10.00 uA 
#                                     
# DAQ Mode: coin | Trigger: trig5              
# electron arm: HMS                        
#                                              
#---Cuts still need to be defined (testing for now) . . . --- 
#                       
# Units: charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
#! Run[i,0]/             charge[f,1]/        avg_current[f,2]/            hTrkEff[f,3]/        hTrkEff_err[f,4]/            pTrkEff[f,5]/        pTrkEff_err[f,6]/    tgt_boil_factor[f,7]/     tgt_boil_factor_err[f,8]/      hadAbs_factor[f,9]/      hadAbs_factor_err[f,10]/             cpuLT[f,11]/         cpuLT_err[f,12]/               tLT[f,13]/           tLT_err[f,14]/          S1X_rate[f,15]/     shms_Ps1_3of4_rate[f,16]/    hms_Ps3_elreal_rate[f,17]/     coin_Ps5_rate[f,18]/         edtm_rate[f,19]/        Ps1_factor[f,20]/        Ps3_factor[f,21]/        Ps5_factor[f,22]/       hTrkEff_pos[f,23]/   hTrkEff_err_pos[f,24]/       hTrkEff_neg[f,25]/   hTrkEff_err_neg[f,26]/       pTrkEff_pos[f,27]/   pTrkEff_err_pos[f,28]/       pTrkEff_neg[f,29]/   pTrkEff_err_neg[f,30]/
   5078                  2.63444                   34.925                 0.996839              0.000365057                 0.887598                0.0051628             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00031                       -1                 0.948344                       -1                   2083.1                       691.629                       19.1735                  1.16164                0.0100091                     8193                      257                        1                 0.997011              0.000520388                 0.997016              0.000519447                 0.883915               0.00777365                 0.890936               0.00736984
   5079                  3.02703                  30.1034                  0.99687              0.000363904                  0.91672               0.00421704             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00039                       -1                 0.956262                       -1                  1810.37                       587.468                       16.4815                 0.852355                0.0100045                     8193                      257                        1                 0.996354               0.00056942                 0.997299              0.000493222                 0.922624               0.00591706                 0.912083               0.00629587
   5080                  2.64266                  33.1724                 0.996945              0.000362587                 0.883425               0.00528794             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00019                       -1                 0.946048                       -1                   1969.5                       653.625                       18.1398                  1.06697                0.0100045                     8193                      257                        1                 0.996209              0.000592114                 0.997966              0.000433736                 0.880658               0.00783516                  0.88786               0.00759507
   5081                  2.65576                   35.128                 0.997104              0.000348652                 0.887789               0.00514319             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00014                       -1                 0.957672                       -1                  2102.23                       694.015                       19.1593                  1.15832               0.00999968                     8193                      257                        1                  0.99721              0.000501014                 0.997295              0.000493889                 0.890744               0.00743396                 0.886521               0.00749888
   5082                  2.64519                  35.3016                 0.997635              0.000315992                 0.883877               0.00527831             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00025                       -1                 0.946595                       -1                  2102.16                       699.663                       19.2401                  1.16947               0.00999584                     8193                      257                        1                  0.99776              0.000447948                  0.99734              0.000493916                 0.887714               0.00751923                 0.877389               0.00806724
   5083                  2.62687                  35.3199                 0.997045               0.00035317                 0.878686               0.00539306             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00003                       -1                 0.951548                       -1                  2097.49                       698.718                        19.304                  1.17925               0.00999011                     8193                      257                        1                 0.997297              0.000493533                  0.99708              0.000516231                 0.873657               0.00803899                 0.880227               0.00786347
   5084                  2.61708                  35.4325                 0.997705              0.000309472                 0.892338               0.00515017             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00021                       -1                 0.945873                       -1                  2109.45                       701.083                       19.3833                  1.18783                0.0100053                     8193                      257                        1                 0.998028              0.000420477                  0.99739               0.00048467                 0.892596               0.00748316                 0.890566               0.00768076
   5085                  2.59331                  35.5017                 0.996772              0.000367815                 0.895754               0.00498677             5.43472e-323             1.99434e-314             6.93042e-310                        0                   1.0001                       -1                 0.954795                       -1                  2106.86                       702.018                       19.4489                  1.20349               0.00999349                     8193                      257                        1                 0.996998              0.000522613                 0.996825              0.000536606                 0.887865               0.00757739                 0.900887               0.00719043
   5086                  2.62642                   35.284                 0.997583              0.000317364                  0.88915               0.00510768             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00019                       -1                 0.939516                       -1                  2096.35                       697.836                       19.3483                  1.17821               0.00999511                     8193                      257                        1                 0.997262              0.000491722                 0.997727              0.000454504                 0.897007               0.00722872                 0.882801               0.00771115
   5089                  2.62538                  35.1882                 0.997358              0.000332799                 0.882156               0.00530203             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00017                       -1                 0.951743                       -1                   2104.4                       698.559                       19.3027                  1.17525               0.00999869                     8193                      257                        1                 0.997579              0.000465897                 0.997193              0.000504235                 0.878818               0.00778986                 0.882716               0.00776732
   5090                  2.62342                  35.1542                 0.997888              0.000298735                 0.890892               0.00512071             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00032                       -1                 0.941019                       -1                  2099.26                       697.084                       19.2483                  1.17485               0.00999652                     8193                      257                        1                 0.998069              0.000421464                 0.997751              0.000449843                 0.897436               0.00740193                 0.882114               0.00773961
   5091                  2.70212                  31.5016                 0.997605              0.000320032                 0.892581               0.00501387             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00036                       -1                 0.941725                       -1                  1909.93                       626.155                       17.2965                  1.00324                0.0100027                     8193                      257                        1                 0.997873              0.000443525                 0.997336              0.000494687                 0.902275               0.00710844                  0.87953               0.00768089
   5092                    2.585                  35.4042                 0.997403              0.000329788                 0.886106               0.00523683             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00024                       -1                 0.950752                       -1                  2126.98                       706.038                       19.4182                  1.20326                0.0100118                     8193                      257                        1                 0.997503              0.000471824                 0.997094              0.000513746                 0.874295               0.00803103                 0.894296               0.00743729
   5093                  2.65237                  32.9359                 0.997807              0.000304048                 0.887317               0.00515399             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00028                       -1                 0.955335                       -1                  1983.96                       655.239                       18.0595                  1.08181                0.0100086                     8193                      257                        1                 0.997388              0.000485063                 0.998363              0.000385835                 0.886889               0.00762591                 0.888779               0.00741473
   5094                  2.57951                  35.4117                 0.996516              0.000382374                 0.879315                0.0054354             5.43472e-323             1.99434e-314             6.93042e-310                        0                   1.0002                       -1                 0.960165                       -1                   2127.8                       706.989                       19.4766                   1.2061               0.00999401                     8193                      257                        1                 0.997128              0.000507751                 0.995845              0.000612677                 0.883746               0.00791009                 0.873516               0.00808078
   5095                  2.62911                  33.3557                 0.997448              0.000329447                 0.888539                0.0051969             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00018                       -1                 0.963245                       -1                  2010.81                       663.866                       18.3373                  1.09896                0.0100101                     8193                      257                        1                  0.99733              0.000495735                 0.997729              0.000454133                 0.891547               0.00759323                 0.885465               0.00766984
   5096                  2.57419                  35.4795                 0.997576              0.000321106                 0.897134               0.00501932             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00023                       -1                 0.943526                       -1                  2142.79                       711.043                       19.4741                  1.21144                0.0100063                     8193                      257                        1                  0.99806              0.000423294                 0.997364              0.000489516                 0.898045               0.00733885                 0.896172               0.00737873
   5097                  2.65566                  33.0821                 0.997325              0.000337038                 0.897614               0.00504418             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00022                       -1                 0.952677                       -1                     1974                       654.724                       18.1478                  1.08563                0.0100031                     8193                      257                        1                 0.997698              0.000460363                 0.997196              0.000503688                 0.890919                 0.007656                 0.902439               0.00719229
   5098                   2.5978                  35.4691                 0.997092              0.000350106                 0.891501               0.00515493             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00033                       -1                 0.937158                       -1                  2108.27                       703.565                       19.4319                  1.19919               0.00999438                     8193                      257                        1                 0.997657              0.000459454                  0.99634              0.000578748                 0.890937               0.00747287                 0.893048               0.00756264
   5099                  2.60976                  35.4108                 0.997224              0.000341662                 0.896163               0.00499008             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00017                       -1                 0.949796                       -1                  2112.32                       703.037                       19.3996                  1.19152                0.0100001                     8193                      257                        1                 0.997445              0.000482801                 0.997218              0.000499665                 0.896293               0.00720816                 0.895072               0.00745694
   5100                   2.5989                  35.3913                 0.997029              0.000355119                 0.898374               0.00492959             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00041                       -1                 0.937415                       -1                  2108.07                       702.701                       19.4265                  1.19545                0.0100091                     8193                      257                        1                 0.997025              0.000517901                 0.996889              0.000533481                 0.895272               0.00729675                 0.906784               0.00694791
   5101                  2.66612                  32.7697                 0.997095              0.000349767                 0.895894               0.00504393             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00021                       -1                 0.963145                       -1                  1954.29                       648.787                       18.0031                  1.07261                 0.010005                     8193                      257                        1                 0.996971              0.000527218                 0.997417              0.000479705                 0.897395               0.00738567                 0.901272               0.00708824
   5102                  2.65829                  33.6757                 0.997646              0.000317379                 0.901205               0.00487915             5.43472e-323             1.99434e-314             6.93042e-310                        0                   1.0003                       -1                 0.949303                       -1                  2003.56                       664.889                       18.3715                  1.09653                0.0099952                     8193                      257                        1                 0.997885              0.000431818                 0.997361              0.000481726                 0.908116                0.0068486                 0.890716               0.00726949
   5103                  2.62562                  35.2843                 0.996765              0.000371081                 0.884441               0.00524725             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00026                       -1                  0.94086                       -1                  2093.56                       698.695                       19.3284                  1.17873                0.0099982                     8193                      257                        1                 0.996694              0.000551065                  0.99672              0.000546747                 0.889003                 0.007535                 0.879877                0.0078527
   5104                  2.61236                  35.3712                 0.997012              0.000354621                 0.885619                0.0052099             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00032                       -1                 0.948509                       -1                  2096.97                       699.739                       19.3674                  1.18833               0.00999248                     8193                      257                        1                 0.997573              0.000466986                 0.996712              0.000548045                 0.885572               0.00754515                 0.886293               0.00768362
   5105                  2.60196                  35.4072                 0.997846               0.00030167                 0.887317               0.00515399             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00024                       -1                 0.945578                       -1                  2103.86                       702.505                       19.4307                  1.19472                0.0100018                     8193                      257                        1                  0.99783              0.000442946                 0.997717              0.000456621                 0.885889               0.00762437                 0.885081               0.00761072
   5106                  2.60277                   35.536                 0.996841              0.000364765                 0.890713               0.00517489             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00038                       -1                 0.934426                       -1                  2106.67                        704.65                       19.4851                  1.19891               0.00999411                     8193                      257                        1                  0.99767              0.000456901                  0.99623              0.000588793                 0.889415               0.00763106                 0.894874               0.00741498
   5111                  2.60849                  35.3261                 0.997838              0.000302744                 0.893653               0.00507566             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00017                       -1                 0.944444                       -1                  2107.69                       701.517                       19.3789                  1.18834               0.00999455                     8193                      257                        1                 0.997813              0.000446336                 0.997732              0.000453638                 0.890264               0.00768309                 0.895238               0.00724653
   5112                  2.60105                  34.9016                 0.997523              0.000322453                 0.883836               0.00535825             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00018                       -1                  0.94504                       -1                  2074.74                       692.438                       19.2015                  1.17098                  0.01001                     8193                      257                        1                 0.997663              0.000458298                 0.997382              0.000486201                 0.873662               0.00822392                 0.889655               0.00765104
   5113                  2.65035                  32.8055                 0.996968              0.000359861                 0.897292               0.00500568             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00047                       -1                 0.931931                       -1                  1957.01                       648.485                       18.0124                  1.06387                0.0100013                     8193                      257                        1                 0.996843              0.000541407                 0.996984              0.000525001                  0.88999               0.00757343                 0.904864               0.00713077
   5114                  2.60414                  35.4539                 0.997088              0.000350564                 0.889457               0.00518804             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00022                       -1                 0.945578                       -1                  2102.14                       701.801                       19.4613                  1.19536                0.0100066                     8193                      257                        1                 0.996645              0.000551624                 0.997279              0.000496801                 0.880337               0.00794229                 0.897143               0.00730974
   5115                  2.55715                  35.4272                  0.99716              0.000344439                 0.883407               0.00534966             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.01884                       -1                 0.950139                       -1                  2093.03                       701.143                       19.4446                  1.19451                0.0100027                     8193                      257                        1                 0.996749              0.000541761                 0.997502              0.000471992                 0.879957                0.0080207                 0.887565                0.0076326
   5116                  2.59881                  35.5341                 0.997186              0.000346323                 0.890481               0.00515706             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00027                       -1                 0.953552                       -1                  2100.92                       703.162                       19.4946                  1.20105                0.0100088                     8193                      257                        1                 0.996726              0.000545653                 0.997965              0.000433936                 0.888776               0.00751582                 0.892706               0.00753055
   5117                  2.72472                   30.236                 0.998066              0.000288326                 0.899373               0.00492775             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00023                       -1                 0.956715                       -1                  1800.55                       595.205                       16.6041                 0.936336               0.00999833                     8193                      257                        1                 0.997995               0.00041812                 0.998224                0.0003971                 0.894401               0.00720181                 0.902293               0.00697906
   5118                  2.64984                  32.7331                 0.997799              0.000308232                  0.89121               0.00511138             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00034                       -1                 0.946914                       -1                  1938.92                       646.144                       17.9945                  1.06648                0.0100058                     8193                      257                        1                 0.998071               0.00041126                 0.997606              0.000460774                 0.893617               0.00725526                 0.889864               0.00732617
   5119                  2.58677                  35.6906                 0.997303              0.000337183                 0.891833                0.0051047             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00013                       -1                 0.955801                       -1                  2104.23                       706.132                       19.5637                  1.21287               0.00998929                     8193                      257                        1                 0.997286              0.000495497                 0.997348              0.000492425                 0.886772               0.00774007                 0.896323               0.00727671
   5120                   2.5908                   35.862                 0.997578               0.00032086                 0.884013               0.00528857             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00026                       -1                 0.948753                       -1                  2110.78                       710.179                       19.6507                  1.21572               0.00999394                     8193                      257                        1                 0.998171              0.000409049                 0.997633               0.00046418                 0.877184               0.00806329                 0.888322               0.00754648
   5122                  2.65016                  32.7765                 0.997609              0.000319445                  0.89315                0.0050766             5.43472e-323             1.99434e-314             6.93042e-310                        0                  1.00012                       -1                 0.962917                       -1                  1935.55                        644.77                       17.9953                  1.07058                0.0100055                     8193                      257                        1                 0.997891              0.000439823                 0.997506               0.00047997                 0.892445               0.00751197                 0.892418               0.00742386
