# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20      246.25       16.8356
    113         5         4        -115.2    -122.4      -108        17.5        15          20       172.5       14.3831
    114         6         4        -100.8      -108     -93.6        17.5        15          20      144.75       12.7989
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20          63       8.47054
    116         8         4           -72     -79.2     -64.8        17.5        15          20           9       3.39116
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20        -0.5      0.353553
    118        10         4         -43.2     -50.4       -36        17.5        15          20           1             1
    119        11         4         -28.8       -36     -21.6        17.5        15          20           0             0
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20       -0.25          0.25
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20           0             0
    122        14         4          14.4       7.2      21.6        17.5        15          20           0             0
    123        15         4          28.8      21.6        36        17.5        15          20           0             0
    124        16         4          43.2        36      50.4        17.5        15          20           0             0
    125        17         4          57.6      50.4      64.8        17.5        15          20         3.5       2.03101
    126        18         4            72      64.8      79.2        17.5        15          20           8       3.24037
    127        19         4          86.4      79.2      93.6        17.5        15          20       36.75       6.76849
    128        20         4         100.8      93.6       108        17.5        15          20       98.75       10.9687
    129        21         4         115.2       108     122.4        17.5        15          20       110.5       11.7207
    130        22         4         129.6     122.4     136.8        17.5        15          20      245.25       16.8801
    131        23         4           144     136.8     151.2        17.5        15          20      257.75       17.1555
    132        24         4         158.4     151.2     165.6        17.5        15          20       243.5        16.856
    133        25         4         172.8     165.6       180        17.5        15          20       217.5       16.0273
    136         1         5        -172.8      -180    -165.6        22.5        20          25          84       9.82344
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25        95.5       10.5416
    138         3         5          -144    -151.2    -136.8        22.5        20          25      134.75       12.5025
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25         150       13.1814
    140         5         5        -115.2    -122.4      -108        22.5        20          25      125.25       12.1424
    141         6         5        -100.8      -108     -93.6        22.5        20          25        81.5       10.1057
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25       32.25       6.27993
    143         8         5           -72     -79.2     -64.8        22.5        20          25        5.75       2.46221
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25           0             0
    145        10         5         -43.2     -50.4       -36        22.5        20          25           0             0
    146        11         5         -28.8       -36     -21.6        22.5        20          25           1             1
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25           0             0
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25           0             0
    149        14         5          14.4       7.2      21.6        22.5        20          25           0             0
    150        15         5          28.8      21.6        36        22.5        20          25           0             0
    151        16         5          43.2        36      50.4        22.5        20          25           1             1
    152        17         5          57.6      50.4      64.8        22.5        20          25           1             1
    153        18         5            72      64.8      79.2        22.5        20          25         2.5       1.76777
    154        19         5          86.4      79.2      93.6        22.5        20          25          12       4.12311
    155        20         5         100.8      93.6       108        22.5        20          25          59       8.60233
    156        21         5         115.2       108     122.4        22.5        20          25        98.5       10.9144
    157        22         5         129.6     122.4     136.8        22.5        20          25       140.5       12.7916
    158        23         5           144     136.8     151.2        22.5        20          25         102       11.0454
    159        24         5         158.4     151.2     165.6        22.5        20          25         101       10.7703
    160        25         5         172.8     165.6       180        22.5        20          25       78.75       9.63392
    163         1         6        -172.8      -180    -165.6        27.5        25          30        12.5       3.95285
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30       22.75       4.93077
    165         3         6          -144    -151.2    -136.8        27.5        25          30        23.5       5.39676
    166         4         6        -129.6    -136.8    -122.4        27.5        25          30       35.75       6.50481
    167         5         6        -115.2    -122.4      -108        27.5        25          30       50.25       7.57875
    168         6         6        -100.8      -108     -93.6        27.5        25          30       22.75       5.52834
    169         7         6         -86.4     -93.6     -79.2        27.5        25          30        10.5       3.33542
    170         8         6           -72     -79.2     -64.8        27.5        25          30         2.5       1.76777
    171         9         6         -57.6     -64.8     -50.4        27.5        25          30       -0.25          0.25
    172        10         6         -43.2     -50.4       -36        27.5        25          30           0             0
    173        11         6         -28.8       -36     -21.6        27.5        25          30       -0.25          0.25
    174        12         6         -14.4     -21.6      -7.2        27.5        25          30           0             0
    175        13         6   1.42109e-14      -7.2       7.2        27.5        25          30           0             0
    176        14         6          14.4       7.2      21.6        27.5        25          30           0             0
    177        15         6          28.8      21.6        36        27.5        25          30           0             0
    178        16         6          43.2        36      50.4        27.5        25          30           0             0
    179        17         6          57.6      50.4      64.8        27.5        25          30           1             1
    180        18         6            72      64.8      79.2        27.5        25          30           0             0
    181        19         6          86.4      79.2      93.6        27.5        25          30        4.25       2.27761
    182        20         6         100.8      93.6       108        27.5        25          30       21.75       5.32095
    183        21         6         115.2       108     122.4        27.5        25          30        40.5       6.88295
    184        22         6         129.6     122.4     136.8        27.5        25          30        31.5       6.19476
    185        23         6           144     136.8     151.2        27.5        25          30       27.75       5.64026
    186        24         6         158.4     151.2     165.6        27.5        25          30       11.75       3.81608
    187        25         6         172.8     165.6       180        27.5        25          30          15        4.1833
    190         1         7        -172.8      -180    -165.6        32.5        30          35        3.75       2.01556
    191         2         7        -158.4    -165.6    -151.2        32.5        30          35           0       1.58114
    192         3         7          -144    -151.2    -136.8        32.5        30          35           4       2.29129
    193         4         7        -129.6    -136.8    -122.4        32.5        30          35         6.5       2.66927
    194         5         7        -115.2    -122.4      -108        32.5        30          35        3.25       2.04634
    195         6         7        -100.8      -108     -93.6        32.5        30          35        4.75          2.25
    196         7         7         -86.4     -93.6     -79.2        32.5        30          35           0             0
    197         8         7           -72     -79.2     -64.8        32.5        30          35           3       1.73205
    198         9         7         -57.6     -64.8     -50.4        32.5        30          35           0             0
    199        10         7         -43.2     -50.4       -36        32.5        30          35           0             0
    200        11         7         -28.8       -36     -21.6        32.5        30          35           0             0
    201        12         7         -14.4     -21.6      -7.2        32.5        30          35           0             0
    202        13         7   1.42109e-14      -7.2       7.2        32.5        30          35           0             0
    203        14         7          14.4       7.2      21.6        32.5        30          35           0             0
    204        15         7          28.8      21.6        36        32.5        30          35           0             0
    205        16         7          43.2        36      50.4        32.5        30          35           0             0
    206        17         7          57.6      50.4      64.8        32.5        30          35           0             0
    207        18         7            72      64.8      79.2        32.5        30          35           1             1
    208        19         7          86.4      79.2      93.6        32.5        30          35           0             0
    209        20         7         100.8      93.6       108        32.5        30          35        0.75       1.52069
    210        21         7         115.2       108     122.4        32.5        30          35         2.5       2.09165
    211        22         7         129.6     122.4     136.8        32.5        30          35        4.25       2.27761
    212        23         7           144     136.8     151.2        32.5        30          35        4.25       2.27761
    213        24         7         158.4     151.2     165.6        32.5        30          35        0.25       1.08972
    214        25         7         172.8     165.6       180        32.5        30          35         3.5       2.03101
    217         1         8        -172.8      -180    -165.6        37.5        35          40        0.25       1.08972
    218         2         8        -158.4    -165.6    -151.2        37.5        35          40        2.75          1.75
    219         3         8          -144    -151.2    -136.8        37.5        35          40        -0.5      0.353553
    220         4         8        -129.6    -136.8    -122.4        37.5        35          40           2       1.80278
    221         5         8        -115.2    -122.4      -108        37.5        35          40           0       1.11803
