# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5      110.75       11.6109
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5      118.25       12.0078
     30         3         1          -144    -151.2    -136.8         2.5         0           5      117.25       11.9661
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5         107       11.7047
     32         5         1        -115.2    -122.4      -108         2.5         0           5      125.25       12.5971
     33         6         1        -100.8      -108     -93.6         2.5         0           5      122.25       12.3263
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5      147.75       13.3908
     35         8         1           -72     -79.2     -64.8         2.5         0           5         126       12.5897
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5         124         12.51
     37        10         1         -43.2     -50.4       -36         2.5         0           5         144       13.4257
     38        11         1         -28.8       -36     -21.6         2.5         0           5      121.25       12.5374
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5         106       12.1347
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5      119.75       12.4524
     41        14         1          14.4       7.2      21.6         2.5         0           5         133       12.8647
     42        15         1          28.8      21.6        36         2.5         0           5      142.25       13.2075
     43        16         1          43.2        36      50.4         2.5         0           5      116.25        12.387
     44        17         1          57.6      50.4      64.8         2.5         0           5      111.25       11.9765
     45        18         1            72      64.8      79.2         2.5         0           5       116.5       12.1809
     46        19         1          86.4      79.2      93.6         2.5         0           5         118       12.2168
     47        20         1         100.8      93.6       108         2.5         0           5         119       12.2066
     48        21         1         115.2       108     122.4         2.5         0           5         122       12.4298
     49        22         1         129.6     122.4     136.8         2.5         0           5         113       12.0104
     50        23         1           144     136.8     151.2         2.5         0           5         119            12
     51        24         1         158.4     151.2     165.6         2.5         0           5      108.25       11.4209
     52        25         1         172.8     165.6       180         2.5         0           5      102.25       11.3771
     55         1         2        -172.8      -180    -165.6         7.5         5          10      168.75        14.109
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10      150.75       13.4094
     57         3         2          -144    -151.2    -136.8         7.5         5          10      183.25       14.8892
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       219.5       16.3974
     59         5         2        -115.2    -122.4      -108         7.5         5          10       238.5       17.1865
     60         6         2        -100.8      -108     -93.6         7.5         5          10       271.5       18.3269
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10      281.75       18.8961
     62         8         2           -72     -79.2     -64.8         7.5         5          10      230.75       17.6724
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10      212.75       17.1919
     64        10         2         -43.2     -50.4       -36         7.5         5          10      244.25       17.7887
     65        11         2         -28.8       -36     -21.6         7.5         5          10         227       17.3781
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10         178       15.6684
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10      197.75       15.9863
     68        14         2          14.4       7.2      21.6         7.5         5          10      185.75       15.9628
