# Pion Beam-Spin Asymmetry (KIN-3) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  4869.500000  69.947321  4894.500000  70.161401  -0.002560  0.010147 
-158.40  5120.000000  71.746132  5434.750000  73.917602  -0.029821  0.009755 
-144.00  5850.750000  76.679938  6237.750000  79.163183  -0.032014  0.009112 
-129.60  6490.500000  80.815346  7095.750000  84.445588  -0.044549  0.008595 
-115.20  6414.500000  80.359337  7072.000000  84.332712  -0.048752  0.008627 
-100.80  5298.500000  73.077903  5898.500000  77.073803  -0.053586  0.009472 
-86.40  3981.250000  63.401044  4466.000000  67.108082  -0.057386  0.010912 
-72.00  2873.750000  53.912531  2990.250000  55.022129  -0.019867  0.013134 
-57.60  1463.500000  38.443151  1589.250000  40.095962  -0.041192  0.018180 
-43.20  831.500000  28.954704  752.250000  27.603225  0.050039  0.025230 
-28.80  517.750000  22.897844  561.750000  23.786813  -0.040760  0.030563 
-14.40  374.750000  19.495168  436.500000  20.996993  -0.076117  0.035221 
0.00  393.000000  19.918610  392.250000  19.923285  0.000955  0.035877 
14.40  429.250000  20.801143  417.000000  20.512177  0.014476  0.034518 
28.80  563.250000  23.883878  515.250000  22.802144  0.044506  0.030585 
43.20  794.000000  28.354896  817.500000  28.755455  -0.014583  0.025057 
57.60  1449.000000  38.311265  1430.000000  38.046053  0.006600  0.018754 
72.00  3051.750000  55.572595  2850.000000  53.642370  0.034185  0.013079 
86.40  4326.000000  66.066259  4067.750000  64.103879  0.030767  0.010962 
100.80  5143.000000  71.932250  4767.250000  69.304999  0.037915  0.010072 
115.20  5958.500000  77.445949  5419.500000  73.867285  0.047372  0.009396 
129.60  6231.750000  79.156881  5719.750000  75.804467  0.042840  0.009162 
144.00  5898.000000  77.001645  5576.750000  74.922074  0.027996  0.009359 
158.40  5325.500000  73.151417  5014.750000  71.037406  0.030052  0.009857 
172.80  4938.000000  70.466306  4746.750000  69.089187  0.019748  0.010188 
