# Kaon Beam-Spin Asymmetry (KIN-3) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  1249.000000  35.850393  1279.750000  36.212052  -0.012160  0.020150 
-158.40  1262.250000  36.082396  1428.250000  38.281004  -0.061699  0.019518 
-144.00  1482.000000  39.012822  1508.500000  39.295347  -0.008861  0.018516 
-129.60  1530.750000  39.793957  1684.750000  41.684078  -0.047893  0.017903 
-115.20  1367.000000  37.626437  1343.250000  37.472506  0.008763  0.019593 
-100.80  769.000000  28.398875  763.250000  28.446200  0.003753  0.026233 
-86.40  197.750000  14.380978  235.500000  15.648484  -0.087132  0.048880 
-72.00  36.500000  6.294838  46.000000  6.964197  -0.115152  0.113221 
-57.60  19.000000  4.358898  16.750000  4.130674  0.062937  0.167742 
-43.20  10.750000  3.326030  8.500000  3.020763  0.116883  0.232379 
-28.80  5.500000  2.474873  6.750000  2.657537  -0.102041  0.295838 
-14.40  5.500000  2.474877  2.500000  1.767767  0.375000  0.360139 
0.00  0.750000  1.030776  1.750000  1.436140  -0.400000  0.672309 
14.40  1.500000  1.457741  4.750000  2.250001  -0.520000  0.394393 
28.80  5.000000  2.236068  7.000000  2.645747  -0.166667  0.284637 
43.20  1.750000  1.436140  10.000000  3.162279  -0.702128  0.222953 
57.60  16.750000  4.279315  15.000000  4.031128  0.055118  0.184837 
72.00  57.500000  7.786205  33.000000  5.852346  0.270718  0.103389 
86.40  190.750000  14.267533  174.250000  13.608365  0.045205  0.053958 
100.80  621.750000  25.560001  606.000000  25.268554  0.012828  0.029273 
115.20  1159.500000  34.696938  1259.500000  36.091886  -0.041339  0.020681 
129.60  1392.500000  37.922654  1386.250000  37.910239  0.002249  0.019297 
144.00  1418.500000  38.214850  1446.000000  38.629637  -0.009600  0.018968 
158.40  1318.000000  36.884906  1297.000000  36.445157  0.008031  0.019828 
172.80  1242.750000  35.697535  1272.000000  36.169740  -0.011631  0.020207 
