# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5           0             0
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5           0             0
     30         3         1          -144    -151.2    -136.8         2.5         0           5           0             0
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5           1             1
     32         5         1        -115.2    -122.4      -108         2.5         0           5           0             0
     33         6         1        -100.8      -108     -93.6         2.5         0           5           3       1.73205
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5        3.75       2.01556
     35         8         1           -72     -79.2     -64.8         2.5         0           5          11       3.31662
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5        5.75       2.46221
     37        10         1         -43.2     -50.4       -36         2.5         0           5          13       3.60555
     38        11         1         -28.8       -36     -21.6         2.5         0           5       15.75        4.0078
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5        22.5       4.80885
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5       11.75       3.47311
     41        14         1          14.4       7.2      21.6         2.5         0           5           8       2.82843
     42        15         1          28.8      21.6        36         2.5         0           5        8.75        3.0104
     43        16         1          43.2        36      50.4         2.5         0           5       17.75          4.25
     44        17         1          57.6      50.4      64.8         2.5         0           5       14.75       3.88104
     45        18         1            72      64.8      79.2         2.5         0           5           8       2.82843
     46        19         1          86.4      79.2      93.6         2.5         0           5           0             0
     47        20         1         100.8      93.6       108         2.5         0           5           2       1.41421
     48        21         1         115.2       108     122.4         2.5         0           5           0             0
     49        22         1         129.6     122.4     136.8         2.5         0           5           2       1.41421
     50        23         1           144     136.8     151.2         2.5         0           5           0             0
     51        24         1         158.4     151.2     165.6         2.5         0           5           0             0
     52        25         1         172.8     165.6       180         2.5         0           5           0             0
     55         1         2        -172.8      -180    -165.6         7.5         5          10           0             0
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10           0             0
     57         3         2          -144    -151.2    -136.8         7.5         5          10           1             1
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10           0             0
