# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5        0.75       1.03078
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5           0             0
     30         3         1          -144    -151.2    -136.8         2.5         0           5        0.75       1.03078
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5           0             0
     32         5         1        -115.2    -122.4      -108         2.5         0           5           3       1.73205
     33         6         1        -100.8      -108     -93.6         2.5         0           5        5.75       2.46221
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5        8.25       3.03109
     35         8         1           -72     -79.2     -64.8         2.5         0           5        14.5        4.0466
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       14.75       4.19076
     37        10         1         -43.2     -50.4       -36         2.5         0           5          40       6.42262
     38        11         1         -28.8       -36     -21.6         2.5         0           5       36.75       6.28987
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5          44             7
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5          42       6.76387
     41        14         1          14.4       7.2      21.6         2.5         0           5       34.75       6.22997
     42        15         1          28.8      21.6        36         2.5         0           5       29.75       5.81485
     43        16         1          43.2        36      50.4         2.5         0           5        28.5       5.73367
     44        17         1          57.6      50.4      64.8         2.5         0           5       18.75       4.50694
     45        18         1            72      64.8      79.2         2.5         0           5          16       4.15331
     46        19         1          86.4      79.2      93.6         2.5         0           5       11.25       3.49106
     47        20         1         100.8      93.6       108         2.5         0           5        1.25       1.47902
     48        21         1         115.2       108     122.4         2.5         0           5           3       1.73205
     49        22         1         129.6     122.4     136.8         2.5         0           5         4.5       2.26385
     50        23         1           144     136.8     151.2         2.5         0           5           2       1.41421
     51        24         1         158.4     151.2     165.6         2.5         0           5           4             2
     52        25         1         172.8     165.6       180         2.5         0           5        1.75       1.43614
     55         1         2        -172.8      -180    -165.6         7.5         5          10           1             1
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10           0             0
     57         3         2          -144    -151.2    -136.8         7.5         5          10           0             0
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10           0             0
     59         5         2        -115.2    -122.4      -108         7.5         5          10       -0.75      0.433013
     60         6         2        -100.8      -108     -93.6         7.5         5          10        3.75       2.01556
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10       13.25       3.92906
     62         8         2           -72     -79.2     -64.8         7.5         5          10        42.5       6.84653
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       103.5       10.7413
     64        10         2         -43.2     -50.4       -36         7.5         5          10       168.5       13.7976
     65        11         2         -28.8       -36     -21.6         7.5         5          10      231.75       16.2654
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10      251.75       17.2355
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10      283.75       18.1745
     68        14         2          14.4       7.2      21.6         7.5         5          10      252.25       17.1592
     69        15         2          28.8      21.6        36         7.5         5          10       253.5        16.856
     70        16         2          43.2        36      50.4         7.5         5          10       147.5        12.918
     71        17         2          57.6      50.4      64.8         7.5         5          10        95.5       10.3622
     72        18         2            72      64.8      79.2         7.5         5          10       51.75       7.47078
     73        19         2          86.4      79.2      93.6         7.5         5          10        11.5       3.65718
     74        20         2         100.8      93.6       108         7.5         5          10           8       3.04138
     75        21         2         115.2       108     122.4         7.5         5          10        -0.5      0.353553
     76        22         2         129.6     122.4     136.8         7.5         5          10           1             1
     77        23         2           144     136.8     151.2         7.5         5          10        0.75       1.03078
     78        24         2         158.4     151.2     165.6         7.5         5          10           0             0
     79        25         2         172.8     165.6       180         7.5         5          10           1             1
     82         1         3        -172.8      -180    -165.6        12.5        10          15           0             0
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15       -0.25          0.25
     84         3         3          -144    -151.2    -136.8        12.5        10          15       -0.25          0.25
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15        0.75       1.03078
     86         5         3        -115.2    -122.4      -108        12.5        10          15       -0.25          0.25
     87         6         3        -100.8      -108     -93.6        12.5        10          15         0.5       1.06066
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15        2.25       1.78536
     89         8         3           -72     -79.2     -64.8        12.5        10          15       37.25       6.57172
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15         165       13.5093
     91        10         3         -43.2     -50.4       -36        12.5        10          15      347.25       20.2037
     92        11         3         -28.8       -36     -21.6        12.5        10          15         533       25.5049
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15         546       27.1983
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15       608.5       28.2245
     95        14         3          14.4       7.2      21.6        12.5        10          15       554.5       26.5777
     96        15         3          28.8      21.6        36        12.5        10          15      410.75       22.9905
     97        16         3          43.2        36      50.4        12.5        10          15      259.25       17.8938
     98        17         3          57.6      50.4      64.8        12.5        10          15      136.75       12.6812
     99        18         3            72      64.8      79.2        12.5        10          15       42.75       7.19809
    100        19         3          86.4      79.2      93.6        12.5        10          15        10.5       3.33542
    101        20         3         100.8      93.6       108        12.5        10          15        1.25       1.47902
    102        21         3         115.2       108     122.4        12.5        10          15        -0.5      0.353553
    103        22         3         129.6     122.4     136.8        12.5        10          15           0             0
    104        23         3           144     136.8     151.2        12.5        10          15           0             0
