# Kaon Beam-Spin Asymmetry (KIN-12)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  1.000000  1.000000  0.750000  1.030780  0.142857  0.832495 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  2.750000  1.750000  0.000000  0.000000  1.000000  0.000000 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  1.000000  1.000000  0.750000  1.030780  0.142857  0.832495 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  2.000000  1.414210  0.000000  0.000000  1.000000  0.000000 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  1.750000  1.436140  3.000000  1.732050  -0.263158  0.466954 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  3.500000  2.031010  5.750000  2.462210  -0.243243  0.339254 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  7.750000  3.051640  8.250000  3.031090  -0.031250  0.269011 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  12.750000  3.783190  14.500000  4.046600  -0.064220  0.202830 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  25.000000  5.361900  14.750000  4.190760  0.257862  0.166156 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  30.750000  6.005210  40.000000  6.422620  -0.130742  0.124251 
38  11  1  -28.80  -36.00  -21.60  2.50  0.00  5.00  54.000000  7.516650  36.750000  6.289870  0.190083  0.106320 
39  12  1  -14.40  -21.60  -7.20  2.50  0.00  5.00  52.000000  7.466590  44.000000  7.000000  0.083333  0.106409 
40  13  1  0.00  -7.20  7.20  2.50  0.00  5.00  45.250000  7.154540  42.000000  6.763870  0.037249  0.112687 
41  14  1  14.40  7.20  21.60  2.50  0.00  5.00  49.750000  7.420410  34.750000  6.229970  0.177515  0.112932 
42  15  1  28.80  21.60  36.00  2.50  0.00  5.00  40.250000  6.703540  29.750000  5.814850  0.150000  0.125507 
43  16  1  43.20  36.00  50.40  2.50  0.00  5.00  35.500000  6.214900  28.500000  5.733670  0.109375  0.131749 
44  17  1  57.60  50.40  64.80  2.50  0.00  5.00  21.750000  4.956060  18.750000  4.506940  0.074074  0.164696 
45  18  1  72.00  64.80  79.20  2.50  0.00  5.00  10.750000  3.508920  16.000000  4.153310  -0.196262  0.200491 
46  19  1  86.40  79.20  93.60  2.50  0.00  5.00  9.250000  3.191790  11.250000  3.491060  -0.097561  0.229827 
47  20  1  100.80  93.60  108.00  2.50  0.00  5.00  3.750000  2.015560  1.250000  1.479020  0.500000  0.487340 
48  21  1  115.20  108.00  122.40  2.50  0.00  5.00  5.000000  2.500000  3.000000  1.732050  0.250000  0.358014 
49  22  1  129.60  122.40  136.80  2.50  0.00  5.00  1.750000  1.436140  4.500000  2.263850  -0.440000  0.388111 
50  23  1  144.00  136.80  151.20  2.50  0.00  5.00  2.750000  1.750000  2.000000  1.414210  0.157895  0.463788 
51  24  1  158.40  151.20  165.60  2.50  0.00  5.00  2.750000  1.750000  4.000000  2.000000  -0.185185  0.390771 
52  25  1  172.80  165.60  180.00  2.50  0.00  5.00  1.750000  1.436140  1.750000  1.436140  0.000000  0.580288 
55  1  2  -172.80  -180.00  -165.60  7.50  5.00  10.00  -0.250000  0.250000  1.000000  1.000000  -1.666667  1.257079 
56  2  2  -158.40  -165.60  -151.20  7.50  5.00  10.00  -0.750000  0.433013  0.000000  0.000000  1.000000  0.000000 
57  3  2  -144.00  -151.20  -136.80  7.50  5.00  10.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
58  4  2  -129.60  -136.80  -122.40  7.50  5.00  10.00  -0.500000  0.353553  0.000000  0.000000  1.000000  0.000000 
59  5  2  -115.20  -122.40  -108.00  7.50  5.00  10.00  2.000000  1.802780  -0.750000  0.433013  2.200000  2.055241 
60  6  2  -100.80  -108.00  -93.60  7.50  5.00  10.00  1.250000  1.479020  3.750000  2.015560  -0.500000  0.487340 
61  7  2  -86.40  -93.60  -79.20  7.50  5.00  10.00  18.000000  4.387480  13.250000  3.929060  0.152000  0.187494 
62  8  2  -72.00  -79.20  -64.80  7.50  5.00  10.00  54.500000  7.754030  42.500000  6.846530  0.123711  0.105819 
63  9  2  -57.60  -64.80  -50.40  7.50  5.00  10.00  109.500000  11.073600  103.500000  10.741300  0.028169  0.072395 
64  10  2  -43.20  -50.40  -36.00  7.50  5.00  10.00  182.000000  14.256600  168.500000  13.797600  0.038516  0.056575 
65  11  2  -28.80  -36.00  -21.60  7.50  5.00  10.00  243.500000  16.481000  231.750000  16.265400  0.024724  0.048722 
66  12  2  -14.40  -21.60  -7.20  7.50  5.00  10.00  276.750000  17.876300  251.750000  17.235500  0.047304  0.046957 
67  13  2  0.00  -7.20  7.20  7.50  5.00  10.00  270.250000  17.886800  283.750000  18.174500  -0.024368  0.046025 
68  14  2  14.40  7.20  21.60  7.50  5.00  10.00  261.250000  17.275300  252.250000  17.159200  0.017527  0.047419 
69  15  2  28.80  21.60  36.00  7.50  5.00  10.00  231.000000  16.232700  253.500000  16.856000  -0.046440  0.048268 
70  16  2  43.20  36.00  50.40  7.50  5.00  10.00  168.500000  13.977700  147.500000  12.918000  0.066456  0.060048 
71  17  2  57.60  50.40  64.80  7.50  5.00  10.00  123.000000  11.640400  95.500000  10.362200  0.125858  0.070848 
72  18  2  72.00  64.80  79.20  7.50  5.00  10.00  45.750000  7.487490  51.750000  7.470780  -0.061538  0.108703 
73  19  2  86.40  79.20  93.60  7.50  5.00  10.00  13.000000  3.937000  11.500000  3.657180  0.061224  0.218750 
74  20  2  100.80  93.60  108.00  7.50  5.00  10.00  5.750000  2.462210  8.000000  3.041380  -0.163636  0.278644 
