# Kaon Beam-Spin Asymmetry (KIN-12) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  0.750000  1.030776  1.750000  1.436143  -0.400000  0.672310 
-158.40  2.250000  2.106538  -0.250000  0.250000  1.250000  0.385276 
-144.00  1.000000  1.000000  1.250000  1.479022  -0.111111  0.765035 
-129.60  1.500000  1.457734  0.500000  1.060664  0.500000  0.875002 
-115.20  5.750000  2.704166  1.750000  1.820027  0.533333  0.408369 
-100.80  4.500000  2.761340  10.000000  3.535528  -0.379310  0.303152 
-86.40  31.750000  5.984353  25.250000  5.471521  0.114035  0.141731 
-72.00  121.000000  11.715378  108.750000  11.138334  0.053319  0.070270 
-57.60  387.750000  21.343874  405.250000  21.591426  -0.022068  0.038285 
-43.20  918.500000  34.574190  973.000000  35.327080  -0.028813  0.026128 
-28.80  1468.000000  44.908195  1480.500000  44.915172  -0.004239  0.021542 
-14.40  1636.250000  47.942007  1575.000000  47.762449  0.019074  0.021076 
0.00  1556.000000  47.510537  1599.000000  48.039019  -0.013629  0.021414 
14.40  1491.250000  46.216240  1467.500000  45.927954  0.008027  0.022021 
28.80  1340.000000  42.880695  1299.250000  42.663663  0.015440  0.022920 
43.20  863.750000  33.396359  768.750000  31.726388  0.058193  0.028180 
57.60  343.750000  20.379172  341.750000  20.360822  0.002918  0.042024 
72.00  137.250000  12.725466  123.000000  11.958261  0.054755  0.066971 
86.40  37.000000  6.480743  34.500000  6.234982  0.034965  0.125684 
100.80  13.000000  3.774912  14.000000  4.213074  -0.037037  0.208807 
115.20  16.750000  4.562072  3.000000  2.061552  0.696203  0.190453 
129.60  3.250000  2.046341  5.500000  2.474877  -0.257143  0.361367 
144.00  2.250000  1.785357  2.500000  1.767766  -0.052632  0.529948 
158.40  1.750000  1.820027  4.500000  2.263848  -0.440000  0.465817 
172.80  2.250000  1.785359  2.250000  1.785356  0.000000  0.561084 
