# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5           9             3
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5        5.75       2.46221
     30         3         1          -144    -151.2    -136.8         2.5         0           5         0.5       1.06066
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5        6.75       2.65754
     32         5         1        -115.2    -122.4      -108         2.5         0           5           5       2.23607
     33         6         1        -100.8      -108     -93.6         2.5         0           5           4             2
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5          11       3.31662
     35         8         1           -72     -79.2     -64.8         2.5         0           5           7       2.64575
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5        3.75       2.01556
     37        10         1         -43.2     -50.4       -36         2.5         0           5        6.75       2.65754
     38        11         1         -28.8       -36     -21.6         2.5         0           5        12.5       3.62284
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5        5.75       2.46221
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5        8.75        3.0104
     41        14         1          14.4       7.2      21.6         2.5         0           5           6       2.44949
     42        15         1          28.8      21.6        36         2.5         0           5           4             2
     43        16         1          43.2        36      50.4         2.5         0           5           6       2.44949
     44        17         1          57.6      50.4      64.8         2.5         0           5          10       3.16228
     45        18         1            72      64.8      79.2         2.5         0           5        4.75          2.25
     46        19         1          86.4      79.2      93.6         2.5         0           5           9             3
     47        20         1         100.8      93.6       108         2.5         0           5           7       2.64575
     48        21         1         115.2       108     122.4         2.5         0           5        5.75       2.46221
     49        22         1         129.6     122.4     136.8         2.5         0           5         5.5       2.47487
     50        23         1           144     136.8     151.2         2.5         0           5        4.75          2.25
     51        24         1         158.4     151.2     165.6         2.5         0           5       11.25       3.49106
     52        25         1         172.8     165.6       180         2.5         0           5           3       1.73205
     55         1         2        -172.8      -180    -165.6         7.5         5          10          22       4.82183
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10       25.25       5.11737
     57         3         2          -144    -151.2    -136.8         7.5         5          10          21       4.71699
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10        12.5       3.79144
     59         5         2        -115.2    -122.4      -108         7.5         5          10        16.5       4.13824
     60         6         2        -100.8      -108     -93.6         7.5         5          10       14.25       3.89711
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10          13       3.60555
     62         8         2           -72     -79.2     -64.8         7.5         5          10       16.75       4.13068
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       12.25       3.63146
     64        10         2         -43.2     -50.4       -36         7.5         5          10        10.5       3.33542
     65        11         2         -28.8       -36     -21.6         7.5         5          10        12.5       3.62284
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10       15.25       4.02337
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10        6.75       2.88314
     68        14         2          14.4       7.2      21.6         7.5         5          10          12        3.4641
     69        15         2          28.8      21.6        36         7.5         5          10        15.5       4.01559
     70        16         2          43.2        36      50.4         7.5         5          10           9             3
     71        17         2          57.6      50.4      64.8         7.5         5          10        11.5        3.4821
     72        18         2            72      64.8      79.2         7.5         5          10       11.75       3.47311
     73        19         2          86.4      79.2      93.6         7.5         5          10       14.25       3.89711
     74        20         2         100.8      93.6       108         7.5         5          10       15.25       4.02337
     75        21         2         115.2       108     122.4         7.5         5          10        18.5       4.37321
     76        22         2         129.6     122.4     136.8         7.5         5          10        16.5       4.13824
     77        23         2           144     136.8     151.2         7.5         5          10       20.75       4.72361
     78        24         2         158.4     151.2     165.6         7.5         5          10          25             5
     79        25         2         172.8     165.6       180         7.5         5          10        7.25       2.86138
     82         1         3        -172.8      -180    -165.6        12.5        10          15       21.25       4.71036
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15          27       5.31507
     84         3         3          -144    -151.2    -136.8        12.5        10          15          24       5.02494
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15       22.75       4.93077
     86         5         3        -115.2    -122.4      -108        12.5        10          15       20.75       4.72361
     87         6         3        -100.8      -108     -93.6        12.5        10          15       32.75       5.85769
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15        21.5       4.70372
     89         8         3           -72     -79.2     -64.8        12.5        10          15       23.25       4.91808
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15        15.5       4.01559
     91        10         3         -43.2     -50.4       -36        12.5        10          15        19.5       4.62331
     92        11         3         -28.8       -36     -21.6        12.5        10          15        7.25       3.07205
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15        6.75       2.65754
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15           3       2.06155
     95        14         3          14.4       7.2      21.6        12.5        10          15        9.75       3.17214
     96        15         3          28.8      21.6        36        12.5        10          15         5.5       2.47487
     97        16         3          43.2        36      50.4        12.5        10          15       15.75       4.16083
     98        17         3          57.6      50.4      64.8        12.5        10          15       14.75       4.03887
     99        18         3            72      64.8      79.2        12.5        10          15       18.25       4.38035
    100        19         3          86.4      79.2      93.6        12.5        10          15        21.5       4.83477
    101        20         3         100.8      93.6       108        12.5        10          15       17.75        4.3946
    102        21         3         115.2       108     122.4        12.5        10          15          21       4.71699
    103        22         3         129.6     122.4     136.8        12.5        10          15        32.5       5.75543
    104        23         3           144     136.8     151.2        12.5        10          15       27.25       5.30919
    105        24         3         158.4     151.2     165.6        12.5        10          15       21.75        4.8283
    106        25         3         172.8     165.6       180        12.5        10          15          11           3.5
    109         1         4        -172.8      -180    -165.6        17.5        15          20        11.5        3.4821
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20         8.5       3.02076
    111         3         4          -144    -151.2    -136.8        17.5        15          20       17.75        4.3946
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20          19       4.63681
    113         5         4        -115.2    -122.4      -108        17.5        15          20       25.25       5.23808
    114         6         4        -100.8      -108     -93.6        17.5        15          20        23.5       4.91172
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20        30.5        5.6899
    116         8         4           -72     -79.2     -64.8        17.5        15          20       27.25       5.30919
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20       31.25        5.6734
    118        10         4         -43.2     -50.4       -36        17.5        15          20       10.75       3.32603
    119        11         4         -28.8       -36     -21.6        17.5        15          20        10.5       3.33542
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20       10.75       3.32603
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20        5.25       2.48747
    122        14         4          14.4       7.2      21.6        17.5        15          20        5.25       2.48747
    123        15         4          28.8      21.6        36        17.5        15          20         9.5       3.18198
    124        16         4          43.2        36      50.4        17.5        15          20       14.75       3.88104
    125        17         4          57.6      50.4      64.8        17.5        15          20       11.25       3.49106
    126        18         4            72      64.8      79.2        17.5        15          20       22.25       4.81534
    127        19         4          86.4      79.2      93.6        17.5        15          20        22.5       4.80885
    128        20         4         100.8      93.6       108        17.5        15          20       23.25       4.91808
    129        21         4         115.2       108     122.4        17.5        15          20          24       5.02494
    130        22         4         129.6     122.4     136.8        17.5        15          20        14.5        4.0466
    131        23         4           144     136.8     151.2        17.5        15          20       14.25       3.89711
    132        24         4         158.4     151.2     165.6        17.5        15          20          11           3.5
    133        25         4         172.8     165.6       180        17.5        15          20       10.75       3.50892
    136         1         5        -172.8      -180    -165.6        22.5        20          25        0.75       1.03078
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25        2.75          1.75
    138         3         5          -144    -151.2    -136.8        22.5        20          25           4             2
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25        6.75       2.65754
    140         5         5        -115.2    -122.4      -108        22.5        20          25       16.75       4.13068
    141         6         5        -100.8      -108     -93.6        22.5        20          25          21       4.71699
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25       20.25       4.60299
    143         8         5           -72     -79.2     -64.8        22.5        20          25       19.75          4.75
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25       13.75       3.91312
    145        10         5         -43.2     -50.4       -36        22.5        20          25           9             3
    146        11         5         -28.8       -36     -21.6        22.5        20          25           4       2.29129
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25        3.75       2.01556
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25        3.75       2.01556
    149        14         5          14.4       7.2      21.6        22.5        20          25        3.75       2.01556
    150        15         5          28.8      21.6        36        22.5        20          25         4.5       2.26385
    151        16         5          43.2        36      50.4        22.5        20          25        5.75       2.46221
    152        17         5          57.6      50.4      64.8        22.5        20          25          15       4.03113
    153        18         5            72      64.8      79.2        22.5        20          25       11.25       3.49106
    154        19         5          86.4      79.2      93.6        22.5        20          25        9.25       3.19179
    155        20         5         100.8      93.6       108        22.5        20          25        12.5       3.79144
    156        21         5         115.2       108     122.4        22.5        20          25       12.75       3.61421
    157        22         5         129.6     122.4     136.8        22.5        20          25        7.75       2.83945
    158        23         5           144     136.8     151.2        22.5        20          25        3.75       2.01556
    159        24         5         158.4     151.2     165.6        22.5        20          25           1             1
    160        25         5         172.8     165.6       180        22.5        20          25           4             2
    163         1         6        -172.8      -180    -165.6        27.5        25          30           0             0
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30           0             0
    165         3         6          -144    -151.2    -136.8        27.5        25          30        -0.5      0.353553
    166         4         6        -129.6    -136.8    -122.4        27.5        25          30       -0.25          0.25
    167         5         6        -115.2    -122.4      -108        27.5        25          30           9             3
    168         6         6        -100.8      -108     -93.6        27.5        25          30         6.5       2.66927
    169         7         6         -86.4     -93.6     -79.2        27.5        25          30        8.75        3.0104
    170         8         6           -72     -79.2     -64.8        27.5        25          30        10.5       3.33542
    171         9         6         -57.6     -64.8     -50.4        27.5        25          30         8.5       3.02076
    172        10         6         -43.2     -50.4       -36        27.5        25          30        3.75       2.01556
    173        11         6         -28.8       -36     -21.6        27.5        25          30           2       1.41421
    174        12         6         -14.4     -21.6      -7.2        27.5        25          30        1.75       1.43614
    175        13         6   1.42109e-14      -7.2       7.2        27.5        25          30        1.75       1.43614
    176        14         6          14.4       7.2      21.6        27.5        25          30           1             1
    177        15         6          28.8      21.6        36        27.5        25          30        4.75          2.25
    178        16         6          43.2        36      50.4        27.5        25          30         4.5       2.26385
    179        17         6          57.6      50.4      64.8        27.5        25          30           8       3.04138
    180        18         6            72      64.8      79.2        27.5        25          30        5.25       2.48747
    181        19         6          86.4      79.2      93.6        27.5        25          30        5.75       2.46221
    182        20         6         100.8      93.6       108        27.5        25          30           5       2.23607
    183        21         6         115.2       108     122.4        27.5        25          30           7       2.64575
