# Pion Beam-Spin Asymmetry (KIN-1)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
28  1  1  -172.80  -180.00  -165.60  2.50  0.00  5.00  729.500000  29.242500  697.500000  28.646600  0.022425  0.028681 
29  2  1  -158.40  -165.60  -151.20  2.50  0.00  5.00  729.750000  29.348100  676.500000  28.453900  0.037867  0.029055 
30  3  1  -144.00  -151.20  -136.80  2.50  0.00  5.00  752.250000  29.823400  709.000000  29.051700  0.029598  0.028483 
31  4  1  -129.60  -136.80  -122.40  2.50  0.00  5.00  760.000000  30.166200  780.250000  30.351100  -0.013147  0.027783 
32  5  1  -115.20  -122.40  -108.00  2.50  0.00  5.00  856.000000  31.992200  813.500000  30.989900  0.025457  0.026666 
33  6  1  -100.80  -108.00  -93.60  2.50  0.00  5.00  811.750000  31.397700  829.500000  31.466300  -0.010815  0.027085 
34  7  1  -86.40  -93.60  -79.20  2.50  0.00  5.00  801.250000  31.079500  854.750000  32.036100  -0.032307  0.026941 
35  8  1  -72.00  -79.20  -64.80  2.50  0.00  5.00  850.750000  31.875700  881.250000  32.437400  -0.017610  0.026253 
36  9  1  -57.60  -64.80  -50.40  2.50  0.00  5.00  823.500000  31.549600  854.000000  32.097500  -0.018182  0.026826 
37  10  1  -43.20  -50.40  -36.00  2.50  0.00  5.00  819.750000  31.623800  854.250000  32.096500  -0.020609  0.026914 
38  11  1  -28.80  -36.00  -21.60  2.50  0.00  5.00  873.750000  32.581600  846.750000  31.812900  0.015693  0.026461 
39  12  1  -14.40  -21.60  -7.20  2.50  0.00  5.00  821.000000  31.717500  833.000000  31.531700  -0.007255  0.027042 
40  13  1  0.00  -7.20  7.20  2.50  0.00  5.00  844.750000  31.840400  836.250000  31.873800  0.005057  0.026802 
41  14  1  14.40  7.20  21.60  2.50  0.00  5.00  836.250000  31.834500  823.000000  31.472200  0.007986  0.026978 
42  15  1  28.80  21.60  36.00  2.50  0.00  5.00  748.250000  30.379900  867.750000  32.043900  -0.073948  0.027291 
43  16  1  43.20  36.00  50.40  2.50  0.00  5.00  808.500000  31.170900  755.250000  30.392200  0.034053  0.027832 
44  17  1  57.60  50.40  64.80  2.50  0.00  5.00  770.000000  30.557300  800.250000  31.204000  -0.019264  0.027807 
45  18  1  72.00  64.80  79.20  2.50  0.00  5.00  878.000000  32.218000  778.500000  30.807900  0.060066  0.026887 
46  19  1  86.40  79.20  93.60  2.50  0.00  5.00  805.750000  30.879800  781.750000  30.529700  0.015118  0.027352 
47  20  1  100.80  93.60  108.00  2.50  0.00  5.00  847.250000  31.355800  767.500000  30.259300  0.049388  0.026971 
48  21  1  115.20  108.00  122.40  2.50  0.00  5.00  754.500000  30.002100  821.000000  31.060400  -0.042209  0.027394 
49  22  1  129.60  122.40  136.80  2.50  0.00  5.00  775.000000  30.166200  737.250000  29.380100  0.024963  0.027836 
50  23  1  144.00  136.80  151.20  2.50  0.00  5.00  675.250000  28.283200  653.500000  28.024500  0.016369  0.029964 
51  24  1  158.40  151.20  165.60  2.50  0.00  5.00  680.250000  28.172500  685.250000  28.590900  -0.003662  0.029394 
52  25  1  172.80  165.60  180.00  2.50  0.00  5.00  642.000000  27.852300  675.500000  28.282100  -0.025427  0.030126 
55  1  2  -172.80  -180.00  -165.60  7.50  5.00  10.00  1028.000000  34.792200  1092.250000  35.488600  -0.030303  0.023437 
56  2  2  -158.40  -165.60  -151.20  7.50  5.00  10.00  1222.000000  37.626500  1251.250000  38.107600  -0.011827  0.021651 
57  3  2  -144.00  -151.20  -136.80  7.50  5.00  10.00  1465.000000  41.352100  1423.750000  40.915300  0.014280  0.020137 
58  4  2  -129.60  -136.80  -122.40  7.50  5.00  10.00  1714.250000  45.016000  1639.500000  44.315600  0.022288  0.018833 
59  5  2  -115.20  -122.40  -108.00  7.50  5.00  10.00  2021.000000  49.076500  2020.750000  48.949600  0.000062  0.017150 
60  6  2  -100.80  -108.00  -93.60  7.50  5.00  10.00  2202.000000  51.388200  2336.250000  52.782000  -0.029582  0.016227 
61  7  2  -86.40  -93.60  -79.20  7.50  5.00  10.00  2224.250000  52.370700  2368.750000  53.376600  -0.031461  0.016279 
62  8  2  -72.00  -79.20  -64.80  7.50  5.00  10.00  2389.750000  53.654600  2474.250000  54.510900  -0.017373  0.015723 
63  9  2  -57.60  -64.80  -50.40  7.50  5.00  10.00  2195.750000  52.151800  2342.000000  53.532700  -0.032230  0.016465 
64  10  2  -43.20  -50.40  -36.00  7.50  5.00  10.00  2267.000000  52.507100  2138.000000  51.567900  0.029285  0.016706 
65  11  2  -28.80  -36.00  -21.60  7.50  5.00  10.00  2046.500000  50.617400  2274.000000  52.692500  -0.052656  0.016899 
66  12  2  -14.40  -21.60  -7.20  7.50  5.00  10.00  2128.750000  51.225600  2071.500000  50.839200  0.013630  0.017182 
67  13  2  0.00  -7.20  7.20  7.50  5.00  10.00  1968.750000  49.840400  2209.500000  52.082900  -0.057620  0.017238 
68  14  2  14.40  7.20  21.60  7.50  5.00  10.00  2089.250000  51.126700  2140.750000  51.342600  -0.012175  0.017130 
69  15  2  28.80  21.60  36.00  7.50  5.00  10.00  2155.750000  51.488500  2104.000000  50.759200  0.012149  0.016972 
70  16  2  43.20  36.00  50.40  7.50  5.00  10.00  2109.250000  50.820100  2034.750000  50.212700  0.017978  0.017239 
71  17  2  57.60  50.40  64.80  7.50  5.00  10.00  2180.750000  51.342600  2032.500000  49.918700  0.035187  0.016990 
72  18  2  72.00  64.80  79.20  7.50  5.00  10.00  2054.500000  49.951200  1997.500000  49.453300  0.014067  0.017346 
73  19  2  86.40  79.20  93.60  7.50  5.00  10.00  2009.000000  49.056100  1873.250000  47.491400  0.034967  0.017578 
74  20  2  100.80  93.60  108.00  7.50  5.00  10.00  1789.250000  46.018300  1663.250000  44.782100  0.036495  0.018592 
75  21  2  115.20  108.00  122.40  7.50  5.00  10.00  1532.250000  42.728100  1517.500000  42.374800  0.004836  0.019731 
76  22  2  129.60  122.40  136.80  7.50  5.00  10.00  1284.750000  39.020000  1260.000000  38.762100  0.009726  0.021613 
77  23  2  144.00  136.80  151.20  7.50  5.00  10.00  1189.250000  37.150900  1126.750000  36.531700  0.026986  0.022495 
78  24  2  158.40  151.20  165.60  7.50  5.00  10.00  1096.750000  35.718500  1069.000000  35.270400  0.012813  0.023176 
79  25  2  172.80  165.60  180.00  7.50  5.00  10.00  1067.750000  35.203900  1036.250000  34.654500  0.014971  0.023476 
82  1  3  -172.80  -180.00  -165.60  12.50  10.00  15.00  417.750000  22.148600  427.250000  22.292100  -0.011243  0.037188 
