# Pion Beam-Spin Asymmetry (KIN-1) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  2287.000000  51.884430  2299.250000  51.915254  -0.002671  0.016004 
-158.40  2683.250000  56.117647  2639.250000  55.825093  0.008267  0.014872 
-144.00  3449.250000  63.523086  3332.250000  62.715143  0.017253  0.013162 
-129.60  4553.500000  73.580744  4682.500000  74.418535  -0.013967  0.011330 
-115.20  6945.500000  91.041892  7133.500000  91.987133  -0.013353  0.009192 
-100.80  10052.250000  110.620666  10663.750000  113.232389  -0.029518  0.007639 
-86.40  12880.750000  127.086819  13960.250000  131.239039  -0.040218  0.006803 
-72.00  13358.750000  131.049822  14274.750000  134.550396  -0.033148  0.006795 
-57.60  12425.000000  128.937974  13669.000000  133.380090  -0.047674  0.007106 
-43.20  12465.750000  131.533534  13122.750000  134.184791  -0.025676  0.007342 
-28.80  12270.000000  134.261859  13179.000000  137.478164  -0.035718  0.007549 
-14.40  11821.000000  131.964961  11639.750000  131.501198  0.007726  0.007941 
0.00  11205.000000  128.242923  11707.250000  130.266814  -0.021921  0.007977 
14.40  11812.250000  131.141890  11815.250000  131.191451  -0.000127  0.007851 
28.80  12091.500000  130.717726  11961.750000  130.075224  0.005394  0.007667 
43.20  11431.000000  123.954575  10808.250000  121.610832  0.028002  0.007807 
57.60  10439.750000  115.823422  9881.500000  113.179640  0.027471  0.007967 
72.00  8869.000000  105.417032  8292.250000  102.874654  0.033608  0.008581 
86.40  7257.000000  93.985398  6707.250000  90.881403  0.039368  0.009357 
100.80  5453.500000  80.833901  5027.250000  78.330653  0.040670  0.010735 
115.20  4118.250000  69.949589  3992.500000  68.951957  0.015504  0.012109 
129.60  3170.750000  61.225491  3039.750000  60.010984  0.021093  0.013802 
144.00  2545.500000  54.599736  2456.250000  54.080381  0.017844  0.015364 
158.40  2328.000000  52.122464  2333.000000  52.302046  -0.001073  0.015842 
172.80  2186.500000  50.826939  2222.000000  50.973005  -0.008053  0.016328 
