# Kaon Beam-Spin Asymmetry (KIN-1) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  852.500000  35.925291  900.000000  36.725313  -0.027104  0.029308 
-158.40  975.750000  38.614220  1012.750000  38.962347  -0.018607  0.027587 
-144.00  1256.250000  43.571051  1295.500000  43.830644  -0.015382  0.024220 
-129.60  1677.750000  50.404025  1778.000000  51.397960  -0.029010  0.020828 
-115.20  2605.250000  62.369387  2600.250000  62.599392  0.000961  0.016976 
-100.80  3884.000000  76.926923  4030.250000  77.965963  -0.018479  0.013838 
-86.40  5378.250000  91.086114  5509.000000  91.802761  -0.012009  0.011878 
-72.00  5481.000000  94.086398  5763.500000  95.664137  -0.025123  0.011932 
-57.60  5160.000000  93.715040  5462.750000  95.213206  -0.028500  0.012576 
-43.20  5862.250000  100.831182  5855.750000  100.857892  0.000555  0.012171 
-28.80  6245.750000  105.681406  6218.000000  105.483438  0.002226  0.011980 
-14.40  5960.250000  103.814490  6059.750000  103.784952  -0.008278  0.012213 
0.00  5691.500000  100.639848  5568.250000  100.382727  0.010946  0.012625 
14.40  5821.250000  101.536623  5716.500000  101.104575  0.009079  0.012419 
28.80  5641.500000  99.408894  5809.250000  100.275488  -0.014650  0.012331 
43.20  5023.250000  91.633435  4988.250000  91.346486  0.003496  0.012924 
57.60  4170.000000  81.868785  4171.750000  81.950010  -0.000210  0.013886 
72.00  3446.000000  73.465995  3381.750000  72.969620  0.009410  0.015165 
86.40  2808.000000  64.666452  2622.500000  63.634680  0.034159  0.016707 
100.80  2124.000000  55.903976  1953.500000  54.397865  0.041815  0.019125 
115.20  1489.750000  46.931486  1385.750000  45.728102  0.036168  0.022781 
129.60  1202.000000  41.512057  1130.000000  41.003083  0.030875  0.025023 
144.00  941.500000  37.428270  871.000000  36.345576  0.038897  0.028773 
158.40  836.000000  35.174568  925.000000  36.486307  -0.050539  0.028763 
172.80  856.250000  35.562452  811.250000  34.959815  0.026987  0.029903 
