# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5       44.25       6.72216
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5          33       5.74456
     30         3         1          -144    -151.2    -136.8         2.5         0           5        33.5       5.84166
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5       37.75       6.26997
     32         5         1        -115.2    -122.4      -108         2.5         0           5        26.5       5.20817
     33         6         1        -100.8      -108     -93.6         2.5         0           5       25.25       5.11737
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5       20.25       4.60299
     35         8         1           -72     -79.2     -64.8         2.5         0           5       27.75       5.29741
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       16.75       4.13068
     37        10         1         -43.2     -50.4       -36         2.5         0           5       16.75       4.13068
     38        11         1         -28.8       -36     -21.6         2.5         0           5       21.75       4.69707
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5          18       4.24264
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5          13       3.60555
     41        14         1          14.4       7.2      21.6         2.5         0           5          13       3.60555
     42        15         1          28.8      21.6        36         2.5         0           5       18.75       4.36606
     43        16         1          43.2        36      50.4         2.5         0           5        13.5       3.75832
     44        17         1          57.6      50.4      64.8         2.5         0           5       15.75        4.0078
     45        18         1            72      64.8      79.2         2.5         0           5       21.75       4.69707
     46        19         1          86.4      79.2      93.6         2.5         0           5       25.25       5.11737
     47        20         1         100.8      93.6       108         2.5         0           5       20.75       4.58939
     48        21         1         115.2       108     122.4         2.5         0           5        30.5       5.57898
     49        22         1         129.6     122.4     136.8         2.5         0           5          23       4.92443
     50        23         1           144     136.8     151.2         2.5         0           5       32.25       5.86835
     51        24         1         158.4     151.2     165.6         2.5         0           5       32.75       5.85769
     52        25         1         172.8     165.6       180         2.5         0           5       32.75       5.85769
     55         1         2        -172.8      -180    -165.6         7.5         5          10       142.5       12.0675
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10      157.75       12.7206
     57         3         2          -144    -151.2    -136.8         7.5         5          10      123.75       11.1943
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10      100.75       10.2378
     59         5         2        -115.2    -122.4      -108         7.5         5          10      107.75       10.5149
     60         6         2        -100.8      -108     -93.6         7.5         5          10       95.75       9.92786
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10          74       8.74643
     62         8         2           -72     -79.2     -64.8         7.5         5          10          50       7.15891
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10       27.75       5.29741
     64        10         2         -43.2     -50.4       -36         7.5         5          10       16.75       4.27931
     65        11         2         -28.8       -36     -21.6         7.5         5          10        34.5       5.92663
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10          27       5.19615
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10          26       5.09902
     68        14         2          14.4       7.2      21.6         7.5         5          10       27.25       5.30919
     69        15         2          28.8      21.6        36         7.5         5          10          22       4.82183
     70        16         2          43.2        36      50.4         7.5         5          10       39.25       6.33936
     71        17         2          57.6      50.4      64.8         7.5         5          10          50       7.15891
     72        18         2            72      64.8      79.2         7.5         5          10       51.25        7.3101
     73        19         2          86.4      79.2      93.6         7.5         5          10        67.5       8.32917
     74        20         2         100.8      93.6       108         7.5         5          10      105.25       10.4253
     75        21         2         115.2       108     122.4         7.5         5          10       122.5       11.2639
     76        22         2         129.6     122.4     136.8         7.5         5          10      124.25       11.2444
     77        23         2           144     136.8     151.2         7.5         5          10       118.5       11.0849
     78        24         2         158.4     151.2     165.6         7.5         5          10      159.25       12.8525
     79        25         2         172.8     165.6       180         7.5         5          10       148.5       12.3643
     82         1         3        -172.8      -180    -165.6        12.5        10          15      266.25       16.5359
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15      251.25        15.998
     84         3         3          -144    -151.2    -136.8        12.5        10          15      255.25       16.1613
