# Kaon Beam-Spin Asymmetry (KIN-10) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  2203.500000  47.319419  2162.250000  46.964755  0.009449  0.015271 
-158.40  2118.250000  46.386274  2165.000000  46.997361  -0.010915  0.015415 
-144.00  1987.500000  45.034763  1975.750000  44.984062  0.002965  0.016061 
-129.60  1704.750000  41.758925  1768.750000  42.488937  -0.018425  0.017149 
-115.20  1073.500000  33.247173  1241.500000  35.579154  -0.072570  0.020987 
-100.80  482.500000  22.318718  467.000000  21.954533  0.016324  0.032968 
-86.40  111.750000  10.761623  133.000000  11.800420  -0.086823  0.064978 
-72.00  27.250000  5.309189  16.750000  4.279306  0.238636  0.151499 
-57.60  5.500000  2.474874  8.500000  3.020761  -0.214286  0.273531 
-43.20  4.000000  2.000000  2.000000  1.414210  0.333333  0.384900 
-28.80  3.500000  2.031010  1.750000  1.436141  0.333333  0.446706 
-14.40  4.000000  1.999999  2.000000  1.414214  0.333333  0.384900 
0.00  2.000000  1.414210  5.000000  2.236070  -0.428571  0.341493 
14.40  1.000000  1.000000  2.000000  1.414214  -0.333333  0.544331 
28.80  1.750000  1.436137  2.000000  1.414210  -0.066667  0.539225 
43.20  3.000000  1.732048  0.750000  1.030780  0.600000  0.477029 
57.60  8.250000  3.031089  1.750000  1.436137  0.650000  0.259627 
72.00  23.250000  4.918074  25.750000  5.226135  -0.051020  0.146193 
86.40  116.250000  11.110247  122.250000  11.321989  -0.025157  0.066500 
100.80  466.500000  21.957370  489.000000  22.477737  -0.023548  0.032877 
115.20  1057.500000  32.948866  1029.500000  32.501944  0.013416  0.022174 
129.60  1555.750000  39.903799  1495.000000  39.099190  0.019913  0.018309 
144.00  1815.500000  43.097254  1808.000000  42.973796  0.002070  0.016796 
158.40  2005.500000  45.234085  2071.750000  45.889128  -0.016249  0.015802 
172.80  2147.500000  46.777399  2067.750000  45.927277  0.018919  0.015549 
