# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5      207.25       14.5151
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5       195.5       14.0045
     30         3         1          -144    -151.2    -136.8         2.5         0           5      152.75       12.4223
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5       125.5       11.2861
     32         5         1        -115.2    -122.4      -108         2.5         0           5       120.5       11.0057
     33         6         1        -100.8      -108     -93.6         2.5         0           5       53.25       7.36122
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5        47.5       6.93722
     35         8         1           -72     -79.2     -64.8         2.5         0           5       29.75       5.48293
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       20.25       4.60299
     37        10         1         -43.2     -50.4       -36         2.5         0           5          12        3.4641
     38        11         1         -28.8       -36     -21.6         2.5         0           5           4             2
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5        4.75          2.25
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5        1.75       1.43614
     41        14         1          14.4       7.2      21.6         2.5         0           5           9             3
     42        15         1          28.8      21.6        36         2.5         0           5          13       3.60555
     43        16         1          43.2        36      50.4         2.5         0           5           8       2.82843
     44        17         1          57.6      50.4      64.8         2.5         0           5       22.75       4.80234
     45        18         1            72      64.8      79.2         2.5         0           5       24.75       5.00625
     46        19         1          86.4      79.2      93.6         2.5         0           5       46.75       6.86021
     47        20         1         100.8      93.6       108         2.5         0           5       64.75       8.06613
     48        21         1         115.2       108     122.4         2.5         0           5       105.5       10.3017
     49        22         1         129.6     122.4     136.8         2.5         0           5      134.25        11.627
     50        23         1           144     136.8     151.2         2.5         0           5      170.25       13.0839
     51        24         1         158.4     151.2     165.6         2.5         0           5      189.75       13.8316
     52        25         1         172.8     165.6       180         2.5         0           5      191.75       13.9037
     55         1         2        -172.8      -180    -165.6         7.5         5          10        1358       37.0034
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10        1360       37.0135
     57         3         2          -144    -151.2    -136.8         7.5         5          10     1063.25       32.7557
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       729.5       27.1593
     59         5         2        -115.2    -122.4      -108         7.5         5          10      430.25       20.8252
     60         6         2        -100.8      -108     -93.6         7.5         5          10      236.75       15.4778
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10      108.25       10.4493
     62         8         2           -72     -79.2     -64.8         7.5         5          10        21.5       4.70372
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10         8.5       3.02076
     64        10         2         -43.2     -50.4       -36         7.5         5          10       -0.25          0.25
     65        11         2         -28.8       -36     -21.6         7.5         5          10           1             1
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10           1             1
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10           0             0
     68        14         2          14.4       7.2      21.6         7.5         5          10           1             1
     69        15         2          28.8      21.6        36         7.5         5          10           0             0
     70        16         2          43.2        36      50.4         7.5         5          10           2       1.41421
     71        17         2          57.6      50.4      64.8         7.5         5          10           5       2.23607
     72        18         2            72      64.8      79.2         7.5         5          10       30.25       5.58458
     73        19         2          86.4      79.2      93.6         7.5         5          10       137.5       11.8057
     74        20         2         100.8      93.6       108         7.5         5          10       278.5       16.7444
     75        21         2         115.2       108     122.4         7.5         5          10      505.25       22.5541
     76        22         2         129.6     122.4     136.8         7.5         5          10      772.25        27.896
     77        23         2           144     136.8     151.2         7.5         5          10     1058.25       32.6793
     78        24         2         158.4     151.2     165.6         7.5         5          10     1269.75       35.7605
     79        25         2         172.8     165.6       180         7.5         5          10      1475.5       38.5665
     82         1         3        -172.8      -180    -165.6        12.5        10          15        2731       52.4619
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15      2567.5       50.8367
     84         3         3          -144    -151.2    -136.8        12.5        10          15     2195.25       47.0631
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15        1571        39.856
     86         5         3        -115.2    -122.4      -108        12.5        10          15      899.75       30.1258
     87         6         3        -100.8      -108     -93.6        12.5        10          15      379.75       19.5911
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15      111.25       10.6507
     89         8         3           -72     -79.2     -64.8        12.5        10          15       14.25       3.89711
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15           1             1
     91        10         3         -43.2     -50.4       -36        12.5        10          15       -0.25          0.25
     92        11         3         -28.8       -36     -21.6        12.5        10          15       -0.25          0.25
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15           0             0
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15           0             0
     95        14         3          14.4       7.2      21.6        12.5        10          15           0             0
     96        15         3          28.8      21.6        36        12.5        10          15           0             0
     97        16         3          43.2        36      50.4        12.5        10          15           0             0
     98        17         3          57.6      50.4      64.8        12.5        10          15           1             1
     99        18         3            72      64.8      79.2        12.5        10          15        22.5       4.80885
    100        19         3          86.4      79.2      93.6        12.5        10          15       186.5       13.7704
    101        20         3         100.8      93.6       108        12.5        10          15         528       23.0868
    102        21         3         115.2       108     122.4        12.5        10          15      938.25       30.8089
    103        22         3         129.6     122.4     136.8        12.5        10          15        1517       39.0768
    104        23         3           144     136.8     151.2        12.5        10          15     2076.25       45.7541
    105        24         3         158.4     151.2     165.6        12.5        10          15     2612.25       51.3024
    106        25         3         172.8     165.6       180        12.5        10          15      2669.5       51.8544
    109         1         4        -172.8      -180    -165.6        17.5        15          20     2037.25       45.2983
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20      2070.5       45.6741
    111         3         4          -144    -151.2    -136.8        17.5        15          20     2085.75        45.851
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20      1849.5        43.216
    113         5         4        -115.2    -122.4      -108        17.5        15          20      1126.5       33.7583
    114         6         4        -100.8      -108     -93.6        17.5        15          20      424.25       20.6806
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20       93.25       9.70502
    116         8         4           -72     -79.2     -64.8        17.5        15          20           3       1.73205
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20           0             0
    118        10         4         -43.2     -50.4       -36        17.5        15          20           0             0
    119        11         4         -28.8       -36     -21.6        17.5        15          20           0             0
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20           0             0
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20           0             0
    122        14         4          14.4       7.2      21.6        17.5        15          20           0             0
    123        15         4          28.8      21.6        36        17.5        15          20           0             0
    124        16         4          43.2        36      50.4        17.5        15          20       -0.25          0.25
    125        17         4          57.6      50.4      64.8        17.5        15          20           2       1.41421
    126        18         4            72      64.8      79.2        17.5        15          20          10       3.16228
    127        19         4          86.4      79.2      93.6        17.5        15          20      162.75       12.8671
    128        20         4         100.8      93.6       108        17.5        15          20       550.5       23.6088
    129        21         4         115.2       108     122.4        17.5        15          20     1040.75       32.3815
    130        22         4         129.6     122.4     136.8        17.5        15          20     1625.25       40.4807
    131        23         4           144     136.8     151.2        17.5        15          20     1914.75       43.9467
    132        24         4         158.4     151.2     165.6        17.5        15          20     2027.25       45.2016
    133        25         4         172.8     165.6       180        17.5        15          20        1958       44.3621
    136         1         5        -172.8      -180    -165.6        22.5        20          25       706.5       26.6857
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25      854.25       29.3503
    138         3         5          -144    -151.2    -136.8        22.5        20          25      953.25       31.0312
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25      942.25       30.8535
    140         5         5        -115.2    -122.4      -108        22.5        20          25      766.75       27.8534
    141         6         5        -100.8      -108     -93.6        22.5        20          25      264.25       16.3612
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25        31.5       5.66789
    143         8         5           -72     -79.2     -64.8        22.5        20          25       -0.25          0.25
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25           1             1
    145        10         5         -43.2     -50.4       -36        22.5        20          25           0             0
    146        11         5         -28.8       -36     -21.6        22.5        20          25           0             0
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25           0             0
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25           0             0
    149        14         5          14.4       7.2      21.6        22.5        20          25           0             0
    150        15         5          28.8      21.6        36        22.5        20          25           0             0
    151        16         5          43.2        36      50.4        22.5        20          25           0             0
    152        17         5          57.6      50.4      64.8        22.5        20          25           0             0
    153        18         5            72      64.8      79.2        22.5        20          25           3       1.73205
    154        19         5          86.4      79.2      93.6        22.5        20          25       59.75       7.83023
    155        20         5         100.8      93.6       108        22.5        20          25         271       16.6132
    156        21         5         115.2       108     122.4        22.5        20          25      555.25       23.7158
    157        22         5         129.6     122.4     136.8        22.5        20          25      729.75       27.2041
    158        23         5           144     136.8     151.2        22.5        20          25      814.75       28.7239
    159        24         5         158.4     151.2     165.6        22.5        20          25         726       27.0832
    160        25         5         172.8     165.6       180        22.5        20          25         677       26.1391
    163         1         6        -172.8      -180    -165.6        27.5        25          30        53.5       7.35697
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30       85.25       9.28372
    165         3         6          -144    -151.2    -136.8        27.5        25          30      144.25       12.1011
    166         4         6        -129.6    -136.8    -122.4        27.5        25          30      233.25        15.344
    167         5         6        -115.2    -122.4      -108        27.5        25          30         171       13.1244
    168         6         6        -100.8      -108     -93.6        27.5        25          30        27.5        5.3033
    169         7         6         -86.4     -93.6     -79.2        27.5        25          30        2.75          1.75
    170         8         6           -72     -79.2     -64.8        27.5        25          30           0             0
    171         9         6         -57.6     -64.8     -50.4        27.5        25          30           0             0
    172        10         6         -43.2     -50.4       -36        27.5        25          30           0             0
    173        11         6         -28.8       -36     -21.6        27.5        25          30           0             0
    174        12         6         -14.4     -21.6      -7.2        27.5        25          30           0             0
    175        13         6   1.42109e-14      -7.2       7.2        27.5        25          30           0             0
    176        14         6          14.4       7.2      21.6        27.5        25          30           0             0
    177        15         6          28.8      21.6        36        27.5        25          30           0             0
    178        16         6          43.2        36      50.4        27.5        25          30           0             0
    179        17         6          57.6      50.4      64.8        27.5        25          30           0             0
    180        18         6            72      64.8      79.2        27.5        25          30           3       1.73205
    181        19         6          86.4      79.2      93.6        27.5        25          30        5.75       2.46221
    182        20         6         100.8      93.6       108        27.5        25          30       25.25       5.23808
    183        21         6         115.2       108     122.4        27.5        25          30       102.5       10.2164
    184        22         6         129.6     122.4     136.8        27.5        25          30      167.25       13.0647
    185        23         6           144     136.8     151.2        27.5        25          30         138       11.9059
    186        24         6         158.4     151.2     165.6        27.5        25          30         100       10.0623
    187        25         6         172.8     165.6       180        27.5        25          30        54.5       7.42462
    190         1         7        -172.8      -180    -165.6        32.5        30          35        0.75       1.03078
    191         2         7        -158.4    -165.6    -151.2        32.5        30          35         1.5       1.45774
    192         3         7          -144    -151.2    -136.8        32.5        30          35        5.75       2.46221
    193         4         7        -129.6    -136.8    -122.4        32.5        30          35        7.75       2.83945
    194         5         7        -115.2    -122.4      -108        32.5        30          35           2       1.41421
    195         6         7        -100.8      -108     -93.6        32.5        30          35           1             1
    196         7         7         -86.4     -93.6     -79.2        32.5        30          35        2.75          1.75
    197         8         7           -72     -79.2     -64.8        32.5        30          35           0             0
    198         9         7         -57.6     -64.8     -50.4        32.5        30          35           0             0
    199        10         7         -43.2     -50.4       -36        32.5        30          35           0             0
    200        11         7         -28.8       -36     -21.6        32.5        30          35           0             0
    201        12         7         -14.4     -21.6      -7.2        32.5        30          35           0             0
    202        13         7   1.42109e-14      -7.2       7.2        32.5        30          35           0             0
    203        14         7          14.4       7.2      21.6        32.5        30          35           0             0
    204        15         7          28.8      21.6        36        32.5        30          35           0             0
    205        16         7          43.2        36      50.4        32.5        30          35           0             0
    206        17         7          57.6      50.4      64.8        32.5        30          35           0             0
    207        18         7            72      64.8      79.2        32.5        30          35           0             0
    208        19         7          86.4      79.2      93.6        32.5        30          35        1.75       1.43614
    209        20         7         100.8      93.6       108        32.5        30          35        1.25       1.47902
    210        21         7         115.2       108     122.4        32.5        30          35        8.25       3.23071
    211        22         7         129.6     122.4     136.8        32.5        30          35        3.25       2.33184
    212        23         7           144     136.8     151.2        32.5        30          35         5.5        2.7157
    213        24         7         158.4     151.2     165.6        32.5        30          35        1.75       1.43614
    214        25         7         172.8     165.6       180        32.5        30          35         3.5       2.03101
    217         1         8        -172.8      -180    -165.6        37.5        35          40           0             0
    218         2         8        -158.4    -165.6    -151.2        37.5        35          40           1             1
    219         3         8          -144    -151.2    -136.8        37.5        35          40           0             0
    220         4         8        -129.6    -136.8    -122.4        37.5        35          40           1             1
    221         5         8        -115.2    -122.4      -108        37.5        35          40           1             1
    222         6         8        -100.8      -108     -93.6        37.5        35          40           0             0
    223         7         8         -86.4     -93.6     -79.2        37.5        35          40           0             0
    224         8         8           -72     -79.2     -64.8        37.5        35          40           0             0
    225         9         8         -57.6     -64.8     -50.4        37.5        35          40           0             0
    226        10         8         -43.2     -50.4       -36        37.5        35          40           0             0
    227        11         8         -28.8       -36     -21.6        37.5        35          40           0             0
    228        12         8         -14.4     -21.6      -7.2        37.5        35          40           0             0
    229        13         8   1.42109e-14      -7.2       7.2        37.5        35          40           0             0
    230        14         8          14.4       7.2      21.6        37.5        35          40           0             0
    231        15         8          28.8      21.6        36        37.5        35          40           0             0
    232        16         8          43.2        36      50.4        37.5        35          40           0             0
    233        17         8          57.6      50.4      64.8        37.5        35          40           0             0
    234        18         8            72      64.8      79.2        37.5        35          40           3       1.73205
    235        19         8          86.4      79.2      93.6        37.5        35          40         4.5       2.26385
    236        20         8         100.8      93.6       108        37.5        35          40        1.25       1.47902
    237        21         8         115.2       108     122.4        37.5        35          40        1.75       1.82003
    238        22         8         129.6     122.4     136.8        37.5        35          40           1           1.5
    239        23         8           144     136.8     151.2        37.5        35          40         0.5       1.06066
    240        24         8         158.4     151.2     165.6        37.5        35          40         3.5       2.03101
    241        25         8         172.8     165.6       180        37.5        35          40         2.5       1.76777
