# Pion Beam-Spin Asymmetry (KIN-1-FINAL)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
71  17  2  57.60  50.40  64.80  7.50  5.00  10.00  551.500000  23.630000  558.000000  23.780200  -0.005858  0.030215 
72  18  2  72.00  64.80  79.20  7.50  5.00  10.00  418.500000  20.715300  406.750000  20.330100  0.014238  0.035165 
73  19  2  86.40  79.20  93.60  7.50  5.00  10.00  299.750000  17.466000  284.750000  16.957700  0.025663  0.041631 
74  20  2  100.80  93.60  108.00  7.50  5.00  10.00  195.250000  14.051200  188.000000  13.802200  0.018917  0.051384 
75  21  2  115.20  108.00  122.40  7.50  5.00  10.00  147.250000  12.173200  118.500000  10.971600  0.108184  0.061336 
76  22  2  129.60  122.40  136.80  7.50  5.00  10.00  91.250000  9.666310  69.750000  8.444670  0.133540  0.079001 
77  23  2  144.00  136.80  151.20  7.50  5.00  10.00  47.750000  6.932710  49.750000  7.075490  -0.020513  0.101577 
78  24  2  158.40  151.20  165.60  7.50  5.00  10.00  36.750000  6.087900  31.750000  5.662380  0.072993  0.121057 
79  25  2  172.80  165.60  180.00  7.50  5.00  10.00  26.750000  5.202160  20.750000  4.589390  0.126316  0.144907 
82  1  3  -172.80  -180.00  -165.60  12.50  10.00  15.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
83  2  3  -158.40  -165.60  -151.20  12.50  10.00  15.00  0.000000  0.000000  1.750000  1.436140  -1.000000  0.000000 
84  3  3  -144.00  -151.20  -136.80  12.50  10.00  15.00  4.000000  2.000000  2.000000  1.414210  0.333333  0.384900 
85  4  3  -129.60  -136.80  -122.40  12.50  10.00  15.00  18.500000  4.373210  23.000000  4.795830  -0.108434  0.155753 
86  5  3  -115.20  -122.40  -108.00  12.50  10.00  15.00  85.000000  9.287090  78.500000  8.965210  0.039755  0.078902 
87  6  3  -100.80  -108.00  -93.60  12.50  10.00  15.00  172.250000  13.207500  207.000000  14.474100  -0.091628  0.051450 
88  7  3  -86.40  -93.60  -79.20  12.50  10.00  15.00  404.500000  20.282400  437.250000  21.052000  -0.038907  0.034705 
89  8  3  -72.00  -79.20  -64.80  12.50  10.00  15.00  648.500000  25.722100  727.500000  27.283200  -0.057413  0.027203 
90  9  3  -57.60  -64.80  -50.40  12.50  10.00  15.00  861.000000  29.744700  924.250000  30.723600  -0.035429  0.023941 
91  10  3  -43.20  -50.40  -36.00  12.50  10.00  15.00  938.750000  31.189900  1141.500000  34.218100  -0.097464  0.022162 
92  11  3  -28.80  -36.00  -21.60  12.50  10.00  15.00  1072.000000  33.271600  1111.250000  33.870200  -0.017978  0.021743 
93  12  3  -14.40  -21.60  -7.20  12.50  10.00  15.00  1103.250000  33.862800  1100.250000  33.595900  0.001361  0.021648 
94  13  3  0.00  -7.20  7.20  12.50  10.00  15.00  1088.000000  33.641500  1126.250000  34.127500  -0.017274  0.021640 
95  14  3  14.40  7.20  21.60  12.50  10.00  15.00  1112.250000  34.068900  1085.500000  33.501900  0.012172  0.021738 
96  15  3  28.80  21.60  36.00  12.50  10.00  15.00  1074.500000  33.262200  1047.750000  32.852900  0.012605  0.022027 
97  16  3  43.20  36.00  50.40  12.50  10.00  15.00  945.750000  31.222000  867.500000  29.906100  0.043155  0.023821 
98  17  3  57.60  50.40  64.80  12.50  10.00  15.00  769.500000  28.042400  739.750000  27.501100  0.019712  0.026019 
99  18  3  72.00  64.80  79.20  12.50  10.00  15.00  552.750000  23.702600  510.500000  22.828200  0.039737  0.030929 
100  19  3  86.40  79.20  93.60  12.50  10.00  15.00  310.000000  17.748200  271.250000  16.648900  0.066667  0.041781 
101  20  3  100.80  93.60  108.00  12.50  10.00  15.00  148.250000  12.265300  148.250000  12.214200  0.000000  0.058380 
102  21  3  115.20  108.00  122.40  12.50  10.00  15.00  61.250000  7.885910  53.250000  7.361220  0.069869  0.093993 
103  22  3  129.60  122.40  136.80  12.50  10.00  15.00  16.750000  4.130680  18.750000  4.366060  -0.056338  0.169048 
104  23  3  144.00  136.80  151.20  12.50  10.00  15.00  2.750000  1.750000  3.000000  1.732050  -0.043478  0.428807 
105  24  3  158.40  151.20  165.60  12.50  10.00  15.00  3.000000  1.732050  2.750000  1.750000  0.043478  0.428807 
106  25  3  172.80  165.60  180.00  12.50  10.00  15.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
109  1  4  -172.80  -180.00  -165.60  17.50  15.00  20.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
110  2  4  -158.40  -165.60  -151.20  17.50  15.00  20.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
111  3  4  -144.00  -151.20  -136.80  17.50  15.00  20.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
112  4  4  -129.60  -136.80  -122.40  17.50  15.00  20.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
