# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# ybins      = 8   | ylabel: th_xq_CM [deg] 
# xbins      = 25   | xlabel: phi_xq [deg] 
# ybin width = 5.000 
# xbin width = 14.400 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  zcont[f,9]/  zcont_err[f,10]/  
     28         1         1        -172.8      -180    -165.6         2.5         0           5       10.75       3.68273
     29         2         1        -158.4    -165.6    -151.2         2.5         0           5         8.5       3.22102
     30         3         1          -144    -151.2    -136.8         2.5         0           5       19.75       4.61655
     31         4         1        -129.6    -136.8    -122.4         2.5         0           5       21.75        4.8283
     32         5         1        -115.2    -122.4      -108         2.5         0           5       16.75       4.27931
     33         6         1        -100.8      -108     -93.6         2.5         0           5       28.25       5.62917
     34         7         1         -86.4     -93.6     -79.2         2.5         0           5       34.75       6.12883
     35         8         1           -72     -79.2     -64.8         2.5         0           5       30.75       5.68441
     36         9         1         -57.6     -64.8     -50.4         2.5         0           5       28.75       5.61805
     37        10         1         -43.2     -50.4       -36         2.5         0           5        40.5       6.69888
     38        11         1         -28.8       -36     -21.6         2.5         0           5          29       5.72276
     39        12         1         -14.4     -21.6      -7.2         2.5         0           5        35.5       6.31467
     40        13         1   1.42109e-14      -7.2       7.2         2.5         0           5          29       5.83095
     41        14         1          14.4       7.2      21.6         2.5         0           5       44.25       6.99553
     42        15         1          28.8      21.6        36         2.5         0           5       35.25       6.21993
     43        16         1          43.2        36      50.4         2.5         0           5        27.5       5.64579
     44        17         1          57.6      50.4      64.8         2.5         0           5       29.75       5.70636
     45        18         1            72      64.8      79.2         2.5         0           5       21.25       4.96865
     46        19         1          86.4      79.2      93.6         2.5         0           5       27.25       5.42563
     47        20         1         100.8      93.6       108         2.5         0           5        22.5       4.80885
     48        21         1         115.2       108     122.4         2.5         0           5        13.5       4.07738
     49        22         1         129.6     122.4     136.8         2.5         0           5        31.5        5.8843
     50        23         1           144     136.8     151.2         2.5         0           5       16.75       4.27931
     51        24         1         158.4     151.2     165.6         2.5         0           5       19.25       4.49305
     52        25         1         172.8     165.6       180         2.5         0           5          16             4
     55         1         2        -172.8      -180    -165.6         7.5         5          10       20.25       4.60299
     56         2         2        -158.4    -165.6    -151.2         7.5         5          10       18.25       4.52079
     57         3         2          -144    -151.2    -136.8         7.5         5          10          28       5.40833
     58         4         2        -129.6    -136.8    -122.4         7.5         5          10       38.25       6.35905
     59         5         2        -115.2    -122.4      -108         7.5         5          10       33.75       6.04669
     60         6         2        -100.8      -108     -93.6         7.5         5          10       68.25       8.54035
     61         7         2         -86.4     -93.6     -79.2         7.5         5          10          82       9.46044
     62         8         2           -72     -79.2     -64.8         7.5         5          10          76       9.27362
     63         9         2         -57.6     -64.8     -50.4         7.5         5          10      102.75         10.75
     64        10         2         -43.2     -50.4       -36         7.5         5          10      117.75       11.6431
     65        11         2         -28.8       -36     -21.6         7.5         5          10      131.25       12.2857
     66        12         2         -14.4     -21.6      -7.2         7.5         5          10      141.25       12.7843
     67        13         2   1.42109e-14      -7.2       7.2         7.5         5          10      133.25       12.6664
     68        14         2          14.4       7.2      21.6         7.5         5          10         113       11.6404
     69        15         2          28.8      21.6        36         7.5         5          10      136.25       12.6368
     70        16         2          43.2        36      50.4         7.5         5          10      103.25       10.8022
     71        17         2          57.6      50.4      64.8         7.5         5          10       91.25       10.2926
     72        18         2            72      64.8      79.2         7.5         5          10       73.75        9.3039
     73        19         2          86.4      79.2      93.6         7.5         5          10       49.75       7.42041
     74        20         2         100.8      93.6       108         7.5         5          10        50.5       7.32291
     75        21         2         115.2       108     122.4         7.5         5          10       37.75       6.36887
     76        22         2         129.6     122.4     136.8         7.5         5          10        25.5       5.11126
     77        23         2           144     136.8     151.2         7.5         5          10        29.5       5.48862
     78        24         2         158.4     151.2     165.6         7.5         5          10        14.5        4.0466
     79        25         2         172.8     165.6       180         7.5         5          10       15.75       4.16083
     82         1         3        -172.8      -180    -165.6        12.5        10          15         7.5       2.85044
     83         2         3        -158.4    -165.6    -151.2        12.5        10          15           5       2.23607
     84         3         3          -144    -151.2    -136.8        12.5        10          15        4.25       2.27761
     85         4         3        -129.6    -136.8    -122.4        12.5        10          15        13.5       3.75832
     86         5         3        -115.2    -122.4      -108        12.5        10          15       28.75       5.61805
     87         6         3        -100.8      -108     -93.6        12.5        10          15       54.25       7.59523
     88         7         3         -86.4     -93.6     -79.2        12.5        10          15          90       9.87421
     89         8         3           -72     -79.2     -64.8        12.5        10          15      116.75       11.6001
     90         9         3         -57.6     -64.8     -50.4        12.5        10          15      166.75       13.9486
     91        10         3         -43.2     -50.4       -36        12.5        10          15       197.5       15.4717
     92        11         3         -28.8       -36     -21.6        12.5        10          15         204       16.0156
     93        12         3         -14.4     -21.6      -7.2        12.5        10          15      197.25       16.0293
     94        13         3   1.42109e-14      -7.2       7.2        12.5        10          15      188.25       15.6664
     95        14         3          14.4       7.2      21.6        12.5        10          15         216       16.3095
     96        15         3          28.8      21.6        36        12.5        10          15      200.25       15.9276
     97        16         3          43.2        36      50.4        12.5        10          15         195       15.2069
     98        17         3          57.6      50.4      64.8        12.5        10          15      138.25       12.5673
     99        18         3            72      64.8      79.2        12.5        10          15      111.25        11.333
    100        19         3          86.4      79.2      93.6        12.5        10          15       86.25       9.73075
    101        20         3         100.8      93.6       108        12.5        10          15          43       6.74537
    102        21         3         115.2       108     122.4        12.5        10          15       29.75       5.59576
    103        22         3         129.6     122.4     136.8        12.5        10          15       17.25       4.26468
    104        23         3           144     136.8     151.2        12.5        10          15         8.5       3.02076
    105        24         3         158.4     151.2     165.6        12.5        10          15         1.5       1.45774
    106        25         3         172.8     165.6       180        12.5        10          15           5       2.23607
    109         1         4        -172.8      -180    -165.6        17.5        15          20           0             0
    110         2         4        -158.4    -165.6    -151.2        17.5        15          20       -0.25          0.25
    111         3         4          -144    -151.2    -136.8        17.5        15          20           1             1
    112         4         4        -129.6    -136.8    -122.4        17.5        15          20        0.75       1.03078
    113         5         4        -115.2    -122.4      -108        17.5        15          20        8.25       3.03109
    114         6         4        -100.8      -108     -93.6        17.5        15          20          38       6.36396
    115         7         4         -86.4     -93.6     -79.2        17.5        15          20        73.5       8.89522
    116         8         4           -72     -79.2     -64.8        17.5        15          20      122.25       11.9138
    117         9         4         -57.6     -64.8     -50.4        17.5        15          20      203.75       15.7817
    118        10         4         -43.2     -50.4       -36        17.5        15          20      224.25       17.1446
    119        11         4         -28.8       -36     -21.6        17.5        15          20      214.25       17.0349
    120        12         4         -14.4     -21.6      -7.2        17.5        15          20       162.5       15.1451
    121        13         4   1.42109e-14      -7.2       7.2        17.5        15          20      162.75       14.8513
    122        14         4          14.4       7.2      21.6        17.5        15          20      169.75         15.25
    123        15         4          28.8      21.6        36        17.5        15          20      234.75       17.3943
    124        16         4          43.2        36      50.4        17.5        15          20         214       16.7033
    125        17         4          57.6      50.4      64.8        17.5        15          20       160.5       14.1377
    126        18         4            72      64.8      79.2        17.5        15          20        92.5       10.4583
    127        19         4          86.4      79.2      93.6        17.5        15          20       67.75       8.47423
    128        20         4         100.8      93.6       108        17.5        15          20       18.25       4.52079
    129        21         4         115.2       108     122.4        17.5        15          20        5.75       2.46221
    130        22         4         129.6     122.4     136.8        17.5        15          20         4.5       2.26385
    131        23         4           144     136.8     151.2        17.5        15          20         0.5       1.06066
    132        24         4         158.4     151.2     165.6        17.5        15          20           0             0
    133        25         4         172.8     165.6       180        17.5        15          20           1             1
    136         1         5        -172.8      -180    -165.6        22.5        20          25       -0.25          0.25
    137         2         5        -158.4    -165.6    -151.2        22.5        20          25           0             0
    138         3         5          -144    -151.2    -136.8        22.5        20          25       -0.25          0.25
    139         4         5        -129.6    -136.8    -122.4        22.5        20          25       -0.25          0.25
    140         5         5        -115.2    -122.4      -108        22.5        20          25        0.75       1.03078
    141         6         5        -100.8      -108     -93.6        22.5        20          25         9.5       3.18198
    142         7         5         -86.4     -93.6     -79.2        22.5        20          25        47.5       7.20243
    143         8         5           -72     -79.2     -64.8        22.5        20          25       84.75       10.3712
    144         9         5         -57.6     -64.8     -50.4        22.5        20          25       186.5       15.1946
    145        10         5         -43.2     -50.4       -36        22.5        20          25       164.5       15.0042
    146        11         5         -28.8       -36     -21.6        22.5        20          25       136.5       13.5416
    147        12         5         -14.4     -21.6      -7.2        22.5        20          25       82.75       10.8657
    148        13         5   1.42109e-14      -7.2       7.2        22.5        20          25          49       8.88819
    149        14         5          14.4       7.2      21.6        22.5        20          25       71.75       10.4073
    150        15         5          28.8      21.6        36        22.5        20          25      140.25       14.0067
    151        16         5          43.2        36      50.4        22.5        20          25       159.5       14.7521
    152        17         5          57.6      50.4      64.8        22.5        20          25       100.5       11.8269
    153        18         5            72      64.8      79.2        22.5        20          25       54.25       8.22724
    154        19         5          86.4      79.2      93.6        22.5        20          25          21       4.97494
    155        20         5         100.8      93.6       108        22.5        20          25           3       2.06155
    156        21         5         115.2       108     122.4        22.5        20          25           1             1
    157        22         5         129.6     122.4     136.8        22.5        20          25       -0.25          0.25
    158        23         5           144     136.8     151.2        22.5        20          25       -0.25          0.25
    159        24         5         158.4     151.2     165.6        22.5        20          25       -0.25          0.25
    160        25         5         172.8     165.6       180        22.5        20          25           0             0
    163         1         6        -172.8      -180    -165.6        27.5        25          30           1             1
    164         2         6        -158.4    -165.6    -151.2        27.5        25          30           0             0
    165         3         6          -144    -151.2    -136.8        27.5        25          30           0             0
    166         4         6        -129.6    -136.8    -122.4        27.5        25          30           0             0
    167         5         6        -115.2    -122.4      -108        27.5        25          30           0             0
    168         6         6        -100.8      -108     -93.6        27.5        25          30       -0.25          0.25
    169         7         6         -86.4     -93.6     -79.2        27.5        25          30          16       4.30116
    170         8         6           -72     -79.2     -64.8        27.5        25          30          40       7.24569
    171         9         6         -57.6     -64.8     -50.4        27.5        25          30          81        10.943
    172        10         6         -43.2     -50.4       -36        27.5        25          30      101.75       12.0234
    173        11         6         -28.8       -36     -21.6        27.5        25          30          62       9.19239
    174        12         6         -14.4     -21.6      -7.2        27.5        25          30       22.25       5.76086
    175        13         6   1.42109e-14      -7.2       7.2        27.5        25          30         8.5       4.51387
    176        14         6          14.4       7.2      21.6        27.5        25          30        22.5       5.64579
    177        15         6          28.8      21.6        36        27.5        25          30        47.5       8.17771
    178        16         6          43.2        36      50.4        27.5        25          30          77       10.5238
    179        17         6          57.6      50.4      64.8        27.5        25          30       59.25        9.5623
    180        18         6            72      64.8      79.2        27.5        25          30       28.75       6.14919
    181        19         6          86.4      79.2      93.6        27.5        25          30         5.5       2.47487
    182        20         6         100.8      93.6       108        27.5        25          30           1             1
    183        21         6         115.2       108     122.4        27.5        25          30           1             1
    184        22         6         129.6     122.4     136.8        27.5        25          30           0             0
    185        23         6           144     136.8     151.2        27.5        25          30         0.5       1.06066
    186        24         6         158.4     151.2     165.6        27.5        25          30           0             0
    187        25         6         172.8     165.6       180        27.5        25          30       -0.25          0.25
    190         1         7        -172.8      -180    -165.6        32.5        30          35           0             0
    191         2         7        -158.4    -165.6    -151.2        32.5        30          35           1             1
    192         3         7          -144    -151.2    -136.8        32.5        30          35           0             0
    193         4         7        -129.6    -136.8    -122.4        32.5        30          35           0             0
    194         5         7        -115.2    -122.4      -108        32.5        30          35           1             1
    195         6         7        -100.8      -108     -93.6        32.5        30          35       -0.25          0.25
    196         7         7         -86.4     -93.6     -79.2        32.5        30          35        1.25       1.47902
    197         8         7           -72     -79.2     -64.8        32.5        30          35       13.75       4.06971
    198         9         7         -57.6     -64.8     -50.4        32.5        30          35          57       8.91628
    199        10         7         -43.2     -50.4       -36        32.5        30          35       34.75       7.42041
    200        11         7         -28.8       -36     -21.6        32.5        30          35           8       3.42783
    201        12         7         -14.4     -21.6      -7.2        32.5        30          35        3.75       2.30489
    202        13         7   1.42109e-14      -7.2       7.2        32.5        30          35           0             0
    203        14         7          14.4       7.2      21.6        32.5        30          35        0.25       1.08972
    204        15         7          28.8      21.6        36        32.5        30          35          13       4.38748
    205        16         7          43.2        36      50.4        32.5        30          35       22.75       6.26997
    206        17         7          57.6      50.4      64.8        32.5        30          35       26.25        6.2998
    207        18         7            72      64.8      79.2        32.5        30          35         5.5        2.7157
    208        19         7          86.4      79.2      93.6        32.5        30          35        1.75       1.43614
    209        20         7         100.8      93.6       108        32.5        30          35       -0.25          0.25
    210        21         7         115.2       108     122.4        32.5        30          35           0             0
    211        22         7         129.6     122.4     136.8        32.5        30          35           0             0
    212        23         7           144     136.8     151.2        32.5        30          35           0             0
    213        24         7         158.4     151.2     165.6        32.5        30          35           0             0
    214        25         7         172.8     165.6       180        32.5        30          35       -0.25          0.25
    217         1         8        -172.8      -180    -165.6        37.5        35          40           0             0
    218         2         8        -158.4    -165.6    -151.2        37.5        35          40           0             0
    219         3         8          -144    -151.2    -136.8        37.5        35          40           0             0
    220         4         8        -129.6    -136.8    -122.4        37.5        35          40           1             1
    221         5         8        -115.2    -122.4      -108        37.5        35          40           0             0
    222         6         8        -100.8      -108     -93.6        37.5        35          40           0             0
    223         7         8         -86.4     -93.6     -79.2        37.5        35          40           0             0
    224         8         8           -72     -79.2     -64.8        37.5        35          40           1             1
    225         9         8         -57.6     -64.8     -50.4        37.5        35          40        9.25        3.7333
    226        10         8         -43.2     -50.4       -36        37.5        35          40           4       2.29129
    227        11         8         -28.8       -36     -21.6        37.5        35          40        1.75       1.43614
    228        12         8         -14.4     -21.6      -7.2        37.5        35          40           1             1
    229        13         8   1.42109e-14      -7.2       7.2        37.5        35          40           0             0
    230        14         8          14.4       7.2      21.6        37.5        35          40           0             0
    231        15         8          28.8      21.6        36        37.5        35          40        0.75       1.03078
    232        16         8          43.2        36      50.4        37.5        35          40           7       3.08221
    233        17         8          57.6      50.4      64.8        37.5        35          40        6.25       3.11247
    234        18         8            72      64.8      79.2        37.5        35          40       -0.25          0.25
    235        19         8          86.4      79.2      93.6        37.5        35          40       -0.75      0.433013
    236        20         8         100.8      93.6       108        37.5        35          40           0             0
    237        21         8         115.2       108     122.4        37.5        35          40       -0.25          0.25
    238        22         8         129.6     122.4     136.8        37.5        35          40           0             0
    239        23         8           144     136.8     151.2        37.5        35          40           1             1
    240        24         8         158.4     151.2     165.6        37.5        35          40           0             0
    241        25         8         172.8     165.6       180        37.5        35          40           0             0
