# Kaon Beam-Spin Asymmetry (KIN-1-FINAL) :: Integrated over all th_xq_cm bins
#
# histogram parameters:
# xbins      =  25    | phi_xq   [deg]
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ph_xq:      out-of-plane angle between detected particle (X) and q-vector [deg] 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ph_xq[f,0]/  Np[f,1]/  Np_err[f,2]/  Nn[f,3]/  Nn_err[f,4]/  Asy[f,5]/  Asy_err[f,6]/
-172.80  45.500000  6.973163  39.250000  6.628539  0.073746  0.113406 
-158.40  42.000000  6.763871  32.500000  6.072481  0.127517  0.121330 
-144.00  60.250000  7.980444  52.750000  7.537412  0.066372  0.096990 
-129.60  74.250000  9.024270  75.000000  8.944270  -0.005025  0.085136 
-115.20  123.250000  11.475516  89.250000  9.883696  0.160000  0.070489 
-100.80  167.250000  13.534676  197.750000  14.596665  -0.083562  0.054384 
-86.40  318.750000  18.750015  345.000000  19.397163  -0.039548  0.040622 
-72.00  496.750000  24.177709  485.250000  23.925673  0.011711  0.034636 
-57.60  771.750000  31.536709  835.750000  32.168512  -0.039813  0.028024 
-43.20  884.250000  33.840570  885.000000  33.819347  -0.000424  0.027041 
-28.80  771.500000  31.853143  786.750000  31.812940  -0.009787  0.028892 
-14.40  630.000000  28.657422  646.250000  29.106517  -0.012733  0.032001 
0.00  676.750000  29.296975  570.750000  27.564648  0.084970  0.032195 
14.40  679.750000  29.602585  637.500000  28.711896  0.032074  0.031293 
28.80  717.750000  31.013081  808.000000  32.218030  -0.059151  0.029295 
43.20  809.500000  32.153916  806.000000  32.186952  0.002167  0.028162 
57.60  660.000000  28.657449  612.000000  27.874717  0.037736  0.031419 
72.00  395.500000  21.444695  387.000000  21.494197  0.010863  0.038805 
86.40  234.750000  16.087652  258.500000  16.856009  -0.048150  0.047188 
100.80  161.500000  13.167190  138.000000  12.165529  0.078464  0.059669 
115.20  117.000000  11.157953  88.500000  9.829804  0.138686  0.071790 
129.60  73.250000  8.757139  78.500000  9.171967  -0.034596  0.083483 
144.00  46.500000  7.044497  56.500000  7.802239  -0.097087  0.101528 
158.40  38.000000  6.461425  35.000000  6.224948  0.041096  0.122822 
172.80  36.000000  6.204840  37.250000  6.279930  -0.017065  0.120515 
