# Kaon Beam-Spin Asymmetry (KIN-1)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
71  17  2  57.60  50.40  64.80  7.50  5.00  10.00  80.500000  9.740380  91.250000  10.292600  -0.062591  0.082386 
72  18  2  72.00  64.80  79.20  7.50  5.00  10.00  83.250000  9.705020  73.750000  9.303900  0.060510  0.085571 
73  19  2  86.40  79.20  93.60  7.50  5.00  10.00  58.750000  8.003910  49.750000  7.420410  0.082949  0.100309 
74  20  2  100.80  93.60  108.00  7.50  5.00  10.00  59.750000  7.988270  50.500000  7.322910  0.083900  0.097923 
75  21  2  115.20  108.00  122.40  7.50  5.00  10.00  46.500000  7.044500  37.750000  6.368870  0.103858  0.112151 
76  22  2  129.60  122.40  136.80  7.50  5.00  10.00  32.000000  5.766280  25.500000  5.111260  0.113043  0.133044 
77  23  2  144.00  136.80  151.20  7.50  5.00  10.00  26.250000  5.214160  29.500000  5.488620  -0.058296  0.135619 
78  24  2  158.40  151.20  165.60  7.50  5.00  10.00  16.250000  4.145780  14.500000  4.046600  0.056911  0.188446 
79  25  2  172.80  165.60  180.00  7.50  5.00  10.00  10.750000  3.508920  15.750000  4.160830  -0.188679  0.202487 
82  1  3  -172.80  -180.00  -165.60  12.50  10.00  15.00  7.500000  2.850440  7.500000  2.850440  0.000000  0.268742 
83  2  3  -158.40  -165.60  -151.20  12.50  10.00  15.00  9.500000  3.181980  5.000000  2.236070  0.310345  0.252462 
84  3  3  -144.00  -151.20  -136.80  12.50  10.00  15.00  6.250000  2.680950  4.250000  2.277610  0.190476  0.330767 
85  4  3  -129.60  -136.80  -122.40  12.50  10.00  15.00  18.250000  4.380350  13.500000  3.758320  0.149606  0.179675 
86  5  3  -115.20  -122.40  -108.00  12.50  10.00  15.00  38.250000  6.359050  28.750000  5.618050  0.141791  0.125702 
87  6  3  -100.80  -108.00  -93.60  12.50  10.00  15.00  56.000000  7.729810  54.250000  7.595230  0.015873  0.098278 
88  7  3  -86.40  -93.60  -79.20  12.50  10.00  15.00  95.000000  10.185800  90.000000  9.874210  0.027027  0.076646 
89  8  3  -72.00  -79.20  -64.80  12.50  10.00  15.00  113.500000  11.363300  116.750000  11.600100  -0.014115  0.070512 
90  9  3  -57.60  -64.80  -50.40  12.50  10.00  15.00  159.250000  13.699900  166.750000  13.948600  -0.023006  0.059964 
91  10  3  -43.20  -50.40  -36.00  12.50  10.00  15.00  164.250000  14.497800  197.500000  15.471700  -0.091914  0.058510 
92  11  3  -28.80  -36.00  -21.60  12.50  10.00  15.00  206.500000  16.035100  204.000000  16.015600  0.006090  0.055210 
93  12  3  -14.40  -21.60  -7.20  12.50  10.00  15.00  197.250000  15.990200  197.250000  16.029300  0.000000  0.057392 
94  13  3  0.00  -7.20  7.20  12.50  10.00  15.00  206.500000  16.267300  188.250000  15.666400  0.046232  0.057174 
95  14  3  14.40  7.20  21.60  12.50  10.00  15.00  234.500000  17.033100  216.000000  16.309500  0.041065  0.052298 
96  15  3  28.80  21.60  36.00  12.50  10.00  15.00  168.750000  15.134800  200.250000  15.927600  -0.085366  0.059501 
97  16  3  43.20  36.00  50.40  12.50  10.00  15.00  185.750000  15.076900  195.000000  15.206900  -0.024294  0.056247 
98  17  3  57.60  50.40  64.80  12.50  10.00  15.00  136.250000  12.686100  138.250000  12.567300  -0.007286  0.065059 
99  18  3  72.00  64.80  79.20  12.50  10.00  15.00  114.500000  11.461900  111.250000  11.333000  0.014396  0.071396 
100  19  3  86.40  79.20  93.60  12.50  10.00  15.00  78.750000  9.236480  86.250000  9.730750  -0.045455  0.081203 
101  20  3  100.80  93.60  108.00  12.50  10.00  15.00  51.750000  7.386640  43.000000  6.745370  0.092348  0.105140 
102  21  3  115.20  108.00  122.40  12.50  10.00  15.00  32.000000  5.766280  29.750000  5.595760  0.036437  0.130067 
103  22  3  129.60  122.40  136.80  12.50  10.00  15.00  16.750000  4.130680  17.250000  4.264680  -0.014706  0.174560 
104  23  3  144.00  136.80  151.20  12.50  10.00  15.00  5.750000  2.462210  8.500000  3.020760  -0.192982  0.267874 
105  24  3  158.40  151.20  165.60  12.50  10.00  15.00  6.500000  2.669270  1.500000  1.457740  0.625000  0.321454 
106  25  3  172.80  165.60  180.00  12.50  10.00  15.00  4.000000  2.000000  5.000000  2.236070  -0.111111  0.331269 
109  1  4  -172.80  -180.00  -165.60  17.50  15.00  20.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
110  2  4  -158.40  -165.60  -151.20  17.50  15.00  20.00  0.000000  0.000000  -0.250000  0.250000  -1.000000  0.000000 
111  3  4  -144.00  -151.20  -136.80  17.50  15.00  20.00  -0.750000  0.433013  1.000000  1.000000  -7.000000  27.712818 
112  4  4  -129.60  -136.80  -122.40  17.50  15.00  20.00  0.000000  1.118030  0.750000  1.030780  -1.000000  2.981413 
113  5  4  -115.20  -122.40  -108.00  17.50  15.00  20.00  13.000000  3.774920  8.250000  3.031090  0.223529  0.222451 
114  6  4  -100.80  -108.00  -93.60  17.50  15.00  20.00  25.750000  5.226140  38.000000  6.363960  -0.192157  0.126708 
115  7  4  -86.40  -93.60  -79.20  17.50  15.00  20.00  89.500000  9.880540  73.500000  8.895220  0.098160  0.081117 
116  8  4  -72.00  -79.20  -64.80  17.50  15.00  20.00  115.500000  11.879600  122.250000  11.913800  -0.028391  0.070788 
117  9  4  -57.60  -64.80  -50.40  17.50  15.00  20.00  184.500000  15.374500  203.750000  15.781700  -0.049581  0.056745 
118  10  4  -43.20  -50.40  -36.00  17.50  15.00  20.00  222.500000  17.011000  224.250000  17.144600  -0.003917  0.054060 
119  11  4  -28.80  -36.00  -21.60  17.50  15.00  20.00  198.500000  16.632000  214.250000  17.034900  -0.038159  0.057670 
120  12  4  -14.40  -21.60  -7.20  17.50  15.00  20.00  166.500000  15.029100  162.500000  15.145100  0.012158  0.064864 
121  13  4  0.00  -7.20  7.20  17.50  15.00  20.00  177.000000  15.394800  162.750000  14.851300  0.041943  0.062921 
122  14  4  14.40  7.20  21.60  17.50  15.00  20.00  160.500000  15.161600  169.750000  15.250000  -0.028009  0.065130 
123  15  4  28.80  21.60  36.00  17.50  15.00  20.00  216.500000  16.907800  234.750000  17.394300  -0.040443  0.053739 
